rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	NA	req-agree
flat,NOUN,DET	NA	NA
flat,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
det,NOUN,DET	NA	NA
compound,NOUN,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
appos,NOUN,NOUN	NA	NA
flat,NOUN,PROPN	NA	NA
appos,NOUN,PROPN	NA	NA
flat@name,PROPN,PROPN	NA	NA
flat,PROPN,DET	NA	NA
flat,PROPN,NOUN	NA	NA
mod,NOUN,PROPN	NA	NA
udep,NOUN,ADP	NA	NA
comp:obj,ADP,NOUN	NA	NA
mod,NOUN,PRON	NA	NA
det,PROPN,DET	NA	NA
conj,PROPN,PROPN	NA	NA
mod@poss,NOUN,DET	NA	NA
mod,PROPN,NOUN	NA	NA
flat@name,PROPN,PRON	NA	NA
appos,PROPN,NOUN	NA	req-agree
flat,PROPN,PROPN	NA	NA
mod,PROPN,PRON	NA	NA
subj,NOUN,PROPN	NA	NA
mod,PROPN,ADJ	NA	req-agree
flat@name,PROPN,NOUN	NA	NA
conj,ADJ,ADJ	NA	req-agree
conj,ADJ,NOUN	NA	NA
flat@name,NOUN,PROPN	NA	NA
comp:pred@pred,NOUN,NOUN	NA	NA
mod,PRON,ADJ	NA	NA
flat@name,PROPN,ADJ	NA	req-agree
mod,ADP,NOUN	NA	NA
appos,NOUN,PRON	NA	NA
comp:obj,PROPN,NOUN	NA	NA
comp:obj,NOUN,NOUN	NA	NA
conj,PROPN,NOUN	NA	NA
flat,NOUN,ADJ	NA	NA
comp:obl@x,PRON,ADP	NA	NA
conj,ADP,ADP	NA	NA
mod,ADP,PROPN	NA	NA
flat@foreign,NOUN,NOUN	NA	req-agree
subj,PROPN,PROPN	NA	req-agree
udep@prep,NOUN,ADP	NA	NA
comp:pred,AUX,NOUN	NA	NA
udep@prep,ADP,ADP	NA	req-agree
subj,NOUN,NOUN	NA	NA
conj,PRON,PRON	NA	NA
subj,NOUN,PRON	NA	req-agree
flat,DET,PROPN	NA	req-agree
mod,PROPN,PROPN	NA	NA
conj,NOUN,PROPN	NA	req-agree
subj,PROPN,NOUN	NA	NA
udep@prep,PROPN,ADP	NA	NA
flat@foreign,PROPN,PROPN	NA	req-agree
flat@foreign,PROPN,NOUN	NA	req-agree
mod,PRON,NOUN	NA	req-agree
comp:obj,PROPN,PRON	NA	req-agree
appos,PROPN,PROPN	NA	req-agree
