rel,head-pos,child-pos	tree-label	gold-label
flat,NOUN,VERB	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
subj@pass,AUX,NOUN	NA	req-agree
mod@relcl,NOUN,AUX	req-agree	req-agree
comp:aux@pass,AUX,VERB	req-agree	req-agree
comp:obj,VERB,NOUN	req-agree	NA
conj,VERB,VERB	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
mod,NOUN,AUX	req-agree	req-agree
subj,AUX,PRON	req-agree	req-agree
comp:pred,AUX,ADJ	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
conj,AUX,VERB	req-agree	NA
mod,NOUN,VERB	req-agree	req-agree
vocative,VERB,NOUN	NA	NA
subj,AUX,NOUN	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
mod@relcl,NOUN,VERB	req-agree	req-agree
comp:aux,AUX,AUX	NA	req-agree
comp:aux,AUX,VERB	req-agree	NA
mod,VERB,ADJ	req-agree	NA
mod,AUX,ADJ	req-agree	NA
subj@pass,ADJ,NOUN	NA	req-agree
conj,AUX,AUX	req-agree	NA
subj@pass,AUX,PRON	NA	req-agree
unk@expl,AUX,PRON	NA	req-agree
mod@relcl,VERB,VERB	NA	req-agree
mod@relcl,PRON,VERB	NA	NA
comp:obj,ADJ,NOUN	NA	req-agree
det@predet,NOUN,DET	req-agree	req-agree
det@poss,NOUN,DET	req-agree	req-agree
mod,ADJ,ADJ	req-agree	NA
vocative,NOUN,NOUN	NA	NA
compound,NOUN,NOUN	NA	NA
subj,VERB,NOUN	req-agree	req-agree
comp:pred,AUX,VERB	NA	req-agree
subj,VERB,PRON	req-agree	req-agree
comp:aux@pass,AUX,AUX	NA	req-agree
udep,AUX,NOUN	NA	NA
mod,VERB,AUX	NA	req-agree
comp:obl,VERB,PRON	NA	req-agree
vocative,AUX,NOUN	req-agree	req-agree
mod,NOUN,NOUN	NA	req-agree
subj@pass,VERB,PRON	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
conj,ADJ,VERB	req-agree	req-agree
conj,NOUN,PRON	req-agree	NA
comp:pred,VERB,NOUN	req-agree	NA
udep,VERB,NOUN	NA	req-agree
mod,PRON,VERB	req-agree	req-agree
subj@pass,AUX,ADJ	req-agree	req-agree
subj@pass,VERB,NOUN	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	req-agree
conj,NOUN,ADJ	req-agree	req-agree
mod@relcl,ADJ,VERB	req-agree	req-agree
appos,NOUN,NOUN	NA	req-agree
det,ADJ,DET	req-agree	req-agree
subj,VERB,ADJ	req-agree	req-agree
subj,VERB,AUX	req-agree	req-agree
mod@relcl,PRON,AUX	NA	req-agree
parataxis,AUX,VERB	NA	req-agree
mod,NOUN,PRON	req-agree	req-agree
mod@relcl,NOUN,NOUN	NA	req-agree
comp:obj,NOUN,NOUN	NA	req-agree
