rel,head-pos,child-pos	tree-label	gold-label
comp:obl,VERB,PRON	NA	NA
subj,AUX,PRON	NA	req-agree
subj,VERB,PRON	NA	req-agree
conj,VERB,AUX	NA	NA
parataxis,VERB,VERB	NA	NA
conj,VERB,VERB	NA	req-agree
mod,VERB,VERB	NA	NA
subj@pass,VERB,PRON	req-agree	req-agree
conj,AUX,VERB	NA	NA
comp:obj,VERB,PRON	NA	NA
comp:pred,AUX,PRON	NA	req-agree
det,PRON,PRON	NA	req-agree
comp:obj,VERB,VERB	NA	NA
udep,AUX,PRON	NA	NA
mod@relcl,PRON,AUX	NA	req-agree
comp:pred,AUX,VERB	NA	NA
mod@relcl,PRON,VERB	NA	NA
comp:obj,VERB,AUX	NA	req-agree
conj,AUX,AUX	NA	req-agree
subj@pass,AUX,PRON	req-agree	req-agree
udep,VERB,PRON	NA	req-agree
mod,AUX,VERB	NA	NA
mod@relcl,VERB,VERB	NA	req-agree
parataxis,AUX,VERB	NA	req-agree
unk@expl,AUX,PRON	NA	NA
parataxis,AUX,AUX	NA	req-agree
