rel,head-pos,child-pos	tree-label	gold-label
subj,AUX,PRON	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
comp:aux,AUX,VERB	req-agree	req-agree
comp:obl,VERB,PRON	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
subj,VERB,PRON	req-agree	req-agree
mod,PRON,NOUN	NA	req-agree
subj@pass,VERB,NOUN	req-agree	NA
subj,VERB,NOUN	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
mod@relcl,NOUN,VERB	NA	NA
conj,VERB,VERB	req-agree	NA
appos,DET,NOUN	req-agree	req-agree
subj,AUX,DET	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
mod,NOUN,PROPN	req-agree	req-agree
vocative,VERB,PROPN	req-agree	req-agree
subj,VERB,PROPN	req-agree	NA
comp:obj,VERB,PRON	NA	NA
conj,VERB,AUX	NA	NA
comp:pred,AUX,PRON	req-agree	NA
comp:pred,VERB,AUX	req-agree	NA
comp:obj,VERB,ADJ	req-agree	NA
conj,NOUN,AUX	NA	NA
comp:pred,VERB,VERB	req-agree	req-agree
comp:obj,VERB,DET	NA	NA
comp:obj,VERB,VERB	NA	NA
udep,AUX,NOUN	NA	NA
comp:aux,AUX,AUX	req-agree	req-agree
comp:pred,AUX,ADJ	req-agree	req-agree
mod,VERB,AUX	NA	NA
unk@expl,VERB,PRON	req-agree	NA
mod,VERB,VERB	NA	NA
subj,VERB,VERB	req-agree	req-agree
subj,AUX,NOUN	req-agree	NA
mod,NOUN,NUM	req-agree	NA
conj,ADJ,ADJ	req-agree	req-agree
subj,AUX,PROPN	req-agree	NA
appos,PRON,NOUN	req-agree	req-agree
comp:obj,VERB,PROPN	NA	NA
mod,PROPN,NOUN	NA	NA
conj,AUX,AUX	NA	NA
mod,VERB,ADV	NA	NA
appos,NOUN,NOUN	NA	NA
mod@relcl,PROPN,VERB	req-agree	NA
subj,VERB,DET	req-agree	req-agree
comp:aux@pass,AUX,VERB	req-agree	req-agree
subj@pass,AUX,NOUN	req-agree	req-agree
subj,AUX,VERB	req-agree	req-agree
conj,AUX,VERB	req-agree	NA
mod,PROPN,ADJ	req-agree	NA
mod,AUX,VERB	NA	NA
comp:pred,AUX,NUM	req-agree	NA
mod@relcl,NUM,VERB	req-agree	req-agree
comp:obl,NOUN,PRON	NA	NA
udep,VERB,NOUN	NA	NA
mod,NOUN,ADV	NA	NA
subj,VERB,ADJ	req-agree	req-agree
mod@relcl,NOUN,AUX	NA	NA
mod@relcl,ADJ,VERB	req-agree	NA
mod,PROPN,PROPN	req-agree	req-agree
mod@relcl,DET,VERB	req-agree	NA
mod,NOUN,VERB	NA	NA
comp:pred,AUX,DET	req-agree	req-agree
mod,DET,NOUN	NA	req-agree
conj,PROPN,PROPN	req-agree	req-agree
subj@pass,AUX,DET	req-agree	req-agree
mod@relcl,DET,AUX	req-agree	NA
mod,ADV,ADV	NA	req-agree
unk@fixed,VERB,VERB	req-agree	req-agree
mod,AUX,ADV	NA	NA
mod,PRON,ADJ	req-agree	req-agree
comp:obj,VERB,NUM	NA	NA
conj,NUM,ADJ	req-agree	NA
subj@pass,AUX,PRON	req-agree	req-agree
conj,PRON,NOUN	NA	NA
vocative,AUX,NOUN	req-agree	req-agree
conj,NUM,NUM	req-agree	NA
conj,VERB,NOUN	NA	NA
mod,NUM,ADJ	req-agree	req-agree
conj,PROPN,NOUN	NA	NA
flat,PROPN,PROPN	req-agree	req-agree
comp:obj,VERB,AUX	NA	NA
comp:pred,VERB,ADJ	req-agree	req-agree
discourse,AUX,PROPN	req-agree	req-agree
discourse,VERB,PROPN	req-agree	NA
comp:obj,VERB,ADV	NA	NA
subj@pass,VERB,PRON	req-agree	req-agree
parataxis,VERB,AUX	NA	NA
mod,ADJ,ADV	NA	NA
parataxis,VERB,VERB	NA	NA
det,NOUN,VERB	req-agree	req-agree
subj@pass,AUX,PROPN	req-agree	NA
conj,NOUN,PROPN	req-agree	NA
comp:aux@pass,AUX,AUX	req-agree	req-agree
flat,PROPN,ADJ	req-agree	req-agree
subj,AUX,ADV	req-agree	req-agree
mod,PROPN,NUM	NA	NA
discourse,NOUN,PROPN	NA	NA
subj@pass,VERB,PROPN	req-agree	req-agree
comp:pred,AUX,ADV	req-agree	req-agree
subj,VERB,NUM	req-agree	req-agree
flat,NUM,NUM	req-agree	req-agree
subj,AUX,NUM	req-agree	req-agree
conj,DET,ADJ	req-agree	req-agree
mod,NOUN,AUX	NA	req-agree
comp:obl,ADJ,PRON	req-agree	NA
subj,AUX,ADJ	req-agree	req-agree
conj,ADJ,VERB	req-agree	req-agree
subj,VERB,ADV	req-agree	NA
unk@expl,AUX,PRON	req-agree	NA
subj@pass,VERB,ADJ	req-agree	req-agree
comp:aux@pass,VERB,ADJ	req-agree	req-agree
mod@relcl,PROPN,AUX	req-agree	req-agree
discourse,PROPN,PROPN	req-agree	req-agree
discourse,AUX,NOUN	req-agree	req-agree
discourse,NOUN,NOUN	NA	NA
conj,NOUN,ADJ	req-agree	req-agree
subj@pass,VERB,VERB	req-agree	req-agree
mod,AUX,AUX	NA	req-agree
comp:obj,ADJ,PRON	NA	NA
