rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
mod,NOUN,NOUN	req-agree	NA
comp:obj,VERB,NOUN	req-agree	NA
compound,NOUN,PROPN	NA	NA
mod,NOUN,VERB	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
subj,VERB,NOUN	req-agree	req-agree
udep,VERB,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
mod,NOUN,NUM	req-agree	NA
mod,NOUN,PROPN	NA	NA
subj@pass,VERB,NOUN	req-agree	req-agree
subj,VERB,PROPN	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
appos,NOUN,PROPN	req-agree	NA
mod,PROPN,PROPN	req-agree	NA
comp:aux@pass,AUX,VERB	req-agree	req-agree
subj@pass,AUX,NOUN	req-agree	NA
conj,PROPN,PROPN	req-agree	NA
parataxis,PROPN,PROPN	NA	NA
appos,PROPN,NOUN	req-agree	NA
subj,NOUN,PROPN	req-agree	NA
conj,VERB,AUX	req-agree	NA
conj,AUX,NOUN	NA	NA
udep,AUX,NOUN	NA	NA
mod@gov,NOUN,NOUN	req-agree	NA
parataxis,NOUN,NOUN	NA	NA
flat,NOUN,NOUN	NA	req-agree
mod,NOUN,PRON	NA	NA
subj,ADJ,NOUN	req-agree	req-agree
parataxis,ADJ,NOUN	req-agree	NA
parataxis,NOUN,PROPN	NA	NA
appos,PROPN,PROPN	req-agree	NA
conj,AUX,VERB	req-agree	NA
appos,NOUN,NOUN	req-agree	NA
mod@relcl,NOUN,VERB	req-agree	NA
subj,NOUN,NUM	req-agree	NA
comp:obl,VERB,NOUN	req-agree	NA
comp:obl,VERB,PROPN	req-agree	NA
mod@gov,VERB,NOUN	req-agree	NA
comp:obl,NOUN,NOUN	NA	NA
flat@name,PROPN,PROPN	req-agree	req-agree
subj,ADJ,PROPN	req-agree	req-agree
parataxis,NOUN,ADJ	req-agree	NA
subj@pass,AUX,PROPN	req-agree	req-agree
conj,ADJ,NOUN	req-agree	NA
conj,PROPN,NOUN	req-agree	NA
conj,NOUN,ADJ	req-agree	NA
mod@gov,NOUN,NUM	req-agree	req-agree
mod,ADJ,ADJ	req-agree	req-agree
udep,AUX,PROPN	NA	NA
mod,PROPN,NOUN	req-agree	NA
conj,NOUN,PROPN	NA	NA
subj,VERB,PRON	req-agree	req-agree
comp:obj,VERB,PROPN	req-agree	NA
mod,VERB,NUM	req-agree	NA
comp:obl,NOUN,PRON	NA	NA
mod,PRON,ADJ	req-agree	req-agree
subj,AUX,NOUN	req-agree	NA
comp:pred,AUX,PRON	NA	NA
udep,AUX,ADJ	req-agree	req-agree
subj,VERB,ADJ	req-agree	req-agree
subj,AUX,PROPN	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
parataxis,AUX,VERB	NA	NA
subj,AUX,PRON	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
conj,ADJ,VERB	req-agree	NA
comp:obj,VERB,PRON	NA	NA
parataxis,VERB,AUX	NA	NA
subj,VERB,NUM	req-agree	req-agree
compound,NOUN,NOUN	NA	NA
mod,PROPN,VERB	req-agree	req-agree
conj,VERB,ADJ	req-agree	NA
mod,PRON,VERB	req-agree	NA
subj,VERB,DET	req-agree	req-agree
mod,NOUN,DET	req-agree	req-agree
comp:obl,ADJ,PRON	NA	NA
unk@fixed,ADJ,NOUN	req-agree	req-agree
comp:obl,VERB,PRON	NA	NA
udep,VERB,ADJ	req-agree	NA
mod@relcl,PROPN,VERB	req-agree	NA
mod@gov,VERB,NUM	req-agree	NA
comp:obj,PRON,AUX	NA	NA
det,ADJ,DET	req-agree	req-agree
parataxis,VERB,VERB	req-agree	NA
subj,ADJ,PRON	req-agree	req-agree
unk@fixed,NOUN,NOUN	NA	req-agree
subj,ADJ,DET	req-agree	req-agree
comp:pred,VERB,VERB	req-agree	NA
mod,VERB,AUX	NA	NA
appos,PRON,NOUN	req-agree	req-agree
subj,ADJ,VERB	req-agree	NA
parataxis,NOUN,PRON	NA	NA
comp:obj,PRON,NOUN	NA	NA
det,PRON,DET	req-agree	req-agree
appos,NOUN,ADJ	req-agree	NA
mod@relcl,ADJ,VERB	req-agree	NA
flat@name,NOUN,PROPN	NA	req-agree
udep,VERB,PRON	NA	NA
mod@relcl,NOUN,AUX	req-agree	NA
comp:obl,ADJ,NOUN	NA	NA
subj,ADJ,ADJ	req-agree	NA
udep,ADJ,NOUN	req-agree	NA
mod,DET,VERB	req-agree	req-agree
parataxis,VERB,NOUN	req-agree	NA
parataxis,NOUN,VERB	NA	NA
conj,VERB,NOUN	req-agree	NA
subj@pass,VERB,PRON	req-agree	req-agree
udep,VERB,PROPN	NA	NA
parataxis,PRON,NOUN	NA	NA
orphan,NOUN,NOUN	NA	NA
udep,ADJ,ADJ	req-agree	req-agree
parataxis,AUX,PROPN	NA	NA
subj,DET,NOUN	req-agree	NA
parataxis,DET,VERB	NA	NA
subj,NOUN,NOUN	NA	NA
subj,NOUN,PRON	NA	NA
conj,VERB,PRON	req-agree	NA
conj,PRON,PRON	req-agree	req-agree
udep,VERB,DET	req-agree	req-agree
parataxis,ADJ,VERB	req-agree	NA
parataxis,DET,NOUN	NA	NA
subj@pass,VERB,DET	req-agree	req-agree
det,VERB,DET	req-agree	NA
det,PROPN,DET	req-agree	req-agree
subj,DET,PROPN	req-agree	req-agree
orphan,ADJ,DET	req-agree	req-agree
udep,NOUN,ADJ	NA	NA
conj,VERB,PROPN	NA	req-agree
mod@relcl,DET,VERB	req-agree	req-agree
comp:obl,ADJ,PROPN	NA	NA
comp:obj,VERB,VERB	req-agree	NA
subj@pass,VERB,PROPN	req-agree	req-agree
conj,AUX,AUX	req-agree	NA
conj,PRON,PROPN	req-agree	req-agree
subj@pass,AUX,PRON	req-agree	req-agree
mod,VERB,PRON	req-agree	NA
unk@fixed,PRON,ADJ	req-agree	req-agree
conj,NOUN,NUM	req-agree	NA
conj,PRON,NOUN	NA	NA
appos,VERB,VERB	req-agree	req-agree
mod@relcl,NOUN,ADJ	req-agree	NA
parataxis,PROPN,NOUN	req-agree	NA
conj,NOUN,VERB	req-agree	NA
mod,NUM,VERB	req-agree	req-agree
mod@relcl,DET,AUX	req-agree	req-agree
udep,ADJ,PRON	NA	NA
parataxis,ADJ,ADJ	req-agree	NA
conj,NOUN,PRON	NA	NA
subj@pass,VERB,NUM	req-agree	req-agree
mod@relcl,NOUN,NOUN	NA	NA
subj,NUM,NOUN	req-agree	req-agree
conj,DET,ADJ	req-agree	req-agree
