rel,head-pos,child-pos	tree-label	gold-label
comp:aux@q,AUX,VERB	NA	req-agree
conj,VERB,VERB	req-agree	req-agree
udep,VERB,AUX	NA	NA
mod,VERB,AUX	req-agree	NA
mod,VERB,VERB	req-agree	NA
parataxis,VERB,VERB	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
comp:obj,VERB,AUX	NA	NA
comp:pred,AUX,PRON	req-agree	NA
comp:obj,VERB,PRON	req-agree	NA
comp:obj,VERB,VERB	NA	NA
udep,VERB,PRON	req-agree	NA
subj,AUX,PRON	req-agree	req-agree
udep,ADJ,PRON	NA	NA
conj,PRON,PRON	req-agree	NA
subj,VERB,VERB	req-agree	NA
comp:obl@agent,VERB,PRON	NA	req-agree
mod,VERB,PRON	NA	NA
comp:aux,AUX,PRON	NA	NA
discourse,VERB,VERB	req-agree	NA
conj,VERB,AUX	req-agree	NA
parataxis,AUX,VERB	req-agree	NA
comp:pred,VERB,PRON	req-agree	req-agree
mod,PRON,AUX	NA	req-agree
udep,AUX,PRON	NA	NA
comp:pred,VERB,VERB	NA	NA
subj@cop,AUX,VERB	req-agree	NA
comp:aux,AUX,VERB	NA	NA
mod,AUX,VERB	req-agree	NA
subj,VERB,AUX	req-agree	NA
comp:pred,VERB,AUX	NA	NA
dislocated,VERB,PRON	NA	req-agree
compound,VERB,PRON	NA	req-agree
mod,AUX,AUX	NA	NA
compound@redup,VERB,VERB	NA	req-agree
parataxis,AUX,AUX	NA	NA
