rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
comp:obj,VERB,NOUN	NA	NA
comp:obl,VERB,PRON	NA	NA
det,NOUN,DET	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
appos,PRON,NOUN	req-agree	NA
subj,VERB,NOUN	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
udep,VERB,NOUN	NA	NA
subj,AUX,NOUN	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
conj,ADJ,VERB	req-agree	NA
mod,NOUN,NOUN	NA	NA
comp:obj,VERB,PRON	NA	NA
det,ADJ,DET	req-agree	req-agree
mod@gov,NOUN,NUM	req-agree	NA
mod,NOUN,NUM	req-agree	req-agree
mod,PRON,VERB	req-agree	req-agree
comp:obj,VERB,DET	req-agree	NA
comp:obl,VERB,NOUN	NA	NA
mod,NOUN,VERB	req-agree	NA
comp:obj,ADJ,NOUN	NA	NA
mod,PROPN,NOUN	req-agree	req-agree
subj,VERB,PROPN	req-agree	req-agree
comp:pred,DET,ADJ	req-agree	req-agree
vocative,VERB,NOUN	NA	NA
comp:pred,PRON,ADJ	req-agree	req-agree
orphan,NOUN,ADJ	NA	req-agree
orphan,NOUN,NOUN	NA	NA
comp:pred,DET,DET	req-agree	req-agree
comp:obj,ADJ,PRON	NA	NA
mod,ADJ,ADJ	req-agree	req-agree
unk,ADJ,ADJ	req-agree	req-agree
appos,ADJ,ADJ	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
conj,NOUN,PROPN	NA	req-agree
conj,PROPN,PROPN	req-agree	req-agree
mod,DET,ADJ	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
conj,VERB,AUX	req-agree	NA
comp:obj,VERB,ADJ	req-agree	NA
subj,VERB,DET	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
vocative,VERB,PROPN	NA	NA
unk,VERB,DET	NA	req-agree
udep,VERB,PRON	NA	NA
udep,AUX,DET	NA	req-agree
comp:pred,VERB,DET	NA	req-agree
comp:pred,NOUN,ADJ	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
mod,DET,VERB	req-agree	NA
conj,VERB,NOUN	NA	NA
mod,NOUN,DET	NA	NA
mod,DET,AUX	NA	req-agree
comp:aux@pass,AUX,ADJ	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	NA
conj,AUX,AUX	NA	NA
conj,AUX,VERB	NA	NA
mod,ADJ,VERB	req-agree	NA
comp:pred,PRON,DET	req-agree	req-agree
flat,NOUN,PROPN	req-agree	req-agree
subj,VERB,VERB	req-agree	NA
comp:obj,NOUN,NOUN	NA	req-agree
unk,PROPN,NOUN	NA	req-agree
mod,DET,PRON	req-agree	req-agree
subj,AUX,DET	req-agree	NA
comp:pred,AUX,PROPN	NA	req-agree
subj@pass,VERB,NOUN	NA	req-agree
comp:obl@agent,ADJ,NOUN	NA	NA
subj@pass,VERB,PRON	NA	req-agree
subj@pass,AUX,NOUN	req-agree	NA
mod,ADJ,NOUN	NA	req-agree
comp:obj,ADJ,ADJ	req-agree	NA
unk,ADJ,NOUN	NA	NA
conj,VERB,PRON	NA	NA
comp:obj,VERB,VERB	NA	NA
mod,NOUN,PROPN	NA	NA
subj,VERB,NUM	req-agree	req-agree
appos,VERB,NUM	NA	NA
conj,NUM,NUM	req-agree	req-agree
subj,AUX,PROPN	req-agree	req-agree
comp:pred,AUX,NUM	NA	req-agree
comp:obj,VERB,PROPN	NA	NA
udep,VERB,PROPN	NA	req-agree
udep,AUX,PRON	NA	req-agree
mod,NOUN,AUX	NA	req-agree
mod,PROPN,VERB	req-agree	NA
comp:obj,NOUN,PRON	NA	NA
appos,NOUN,ADJ	NA	req-agree
comp:pred,VERB,VERB	NA	req-agree
comp:pred,ADJ,ADJ	req-agree	req-agree
conj,DET,DET	NA	req-agree
comp:pred,PRON,VERB	req-agree	req-agree
orphan,PRON,NOUN	NA	NA
comp:pred,PROPN,DET	req-agree	req-agree
unk,VERB,NOUN	NA	req-agree
mod,NOUN,PRON	NA	req-agree
conj,NUM,ADJ	req-agree	req-agree
subj,AUX,PRON	req-agree	req-agree
udep,AUX,NOUN	NA	NA
conj,NOUN,VERB	NA	req-agree
conj,PRON,NOUN	NA	req-agree
comp:pred,NOUN,VERB	req-agree	req-agree
det,DET,DET	req-agree	req-agree
comp:pred,DET,VERB	req-agree	req-agree
comp:obj,VERB,NUM	NA	req-agree
compound,NUM,NUM	req-agree	req-agree
det,PRON,DET	req-agree	NA
comp:obl,VERB,PROPN	NA	req-agree
orphan,ADJ,NOUN	NA	req-agree
comp:obj,ADJ,PROPN	NA	NA
unk,ADJ,VERB	NA	NA
flat,PROPN,PROPN	req-agree	req-agree
comp:pred,PROPN,ADJ	req-agree	req-agree
unk,NOUN,VERB	NA	req-agree
mod,NUM,NUM	NA	req-agree
mod,NUM,NOUN	NA	NA
subj,VERB,ADJ	req-agree	req-agree
subj,AUX,ADJ	req-agree	req-agree
conj,ADJ,DET	req-agree	req-agree
unk,VERB,ADJ	req-agree	req-agree
