rel,head-pos,child-pos	tree-label	gold-label
appos,PRON,PRON	req-agree	req-agree
mod,PRON,NOUN	req-agree	NA
mod,ADJ,ADJ	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
det,NOUN,DET	req-agree	NA
reparandum,ADJ,ADJ	req-agree	req-agree
reparandum,DET,PRON	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
mod,NOUN,ADJ	req-agree	NA
reparandum,PRON,PRON	req-agree	req-agree
appos,PRON,NOUN	req-agree	NA
comp:pred,PRON,ADJ	req-agree	req-agree
det,DET,DET	req-agree	req-agree
appos,NOUN,NOUN	req-agree	req-agree
mod,NOUN,NOUN	req-agree	NA
det,PRON,DET	req-agree	req-agree
conj,NOUN,PRON	req-agree	NA
parataxis@deletion,PRON,PRON	req-agree	NA
det,ADJ,DET	req-agree	req-agree
appos,NOUN,PRON	req-agree	NA
udep,PRON,NOUN	NA	NA
mod,NOUN,PRON	req-agree	NA
conj,NOUN,DET	req-agree	NA
reparandum,DET,NOUN	NA	req-agree
reparandum,NOUN,NOUN	req-agree	req-agree
mod,PRON,PRON	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
mod,DET,ADJ	req-agree	req-agree
det,NOUN,PRON	req-agree	req-agree
det,ADJ,PRON	req-agree	req-agree
reparandum,DET,DET	req-agree	NA
udep,ADJ,DET	req-agree	req-agree
mod,NOUN,NUM	req-agree	req-agree
unk@expl,NOUN,PRON	req-agree	req-agree
conj,NOUN,ADJ	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
