rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,PROPN	NA	req-agree
mod,PROPN,ADJ	NA	req-agree
udep,VERB,ADJ	NA	NA
mod,ADJ,NOUN	NA	NA
subj,VERB,NOUN	NA	NA
mod,NOUN,ADJ	NA	req-agree
mod,NOUN,NOUN	NA	NA
appos,NOUN,PROPN	NA	req-agree
conj,NOUN,VERB	NA	req-agree
comp:obj,VERB,NOUN	NA	NA
flat@name,PROPN,PROPN	NA	req-agree
udep,VERB,PRON	NA	NA
mod,NOUN,PROPN	NA	NA
comp:obj,VERB,PROPN	NA	NA
conj,ADJ,ADJ	NA	req-agree
parataxis,PROPN,VERB	NA	req-agree
subj,NOUN,PRON	NA	NA
mod,NOUN,NUM	NA	req-agree
subj,AUX,NOUN	NA	NA
mod,NOUN,VERB	NA	NA
comp:aux@pass,AUX,VERB	NA	req-agree
det,NOUN,DET	NA	NA
mod,NOUN,DET	NA	req-agree
flat,DET,ADJ	NA	req-agree
conj,PROPN,PROPN	NA	NA
conj,NOUN,NOUN	NA	NA
subj,ADJ,PROPN	NA	req-agree
comp:obl,NOUN,PRON	NA	NA
comp:obj,ADJ,NOUN	NA	NA
subj,ADJ,NOUN	NA	req-agree
subj,VERB,PRON	NA	req-agree
udep,AUX,ADJ	NA	req-agree
comp:aux@pass,AUX,ADJ	NA	req-agree
appos,NOUN,NOUN	NA	NA
conj,VERB,VERB	NA	req-agree
subj,ADJ,PRON	NA	req-agree
appos,NOUN,ADJ	NA	req-agree
appos,DET,NOUN	NA	NA
conj,PROPN,NOUN	NA	req-agree
appos,PROPN,NOUN	NA	req-agree
mod,PROPN,VERB	NA	req-agree
mod@relcl,PRON,ADJ	NA	NA
mod@relcl,NOUN,VERB	NA	NA
mod@gov,NOUN,NOUN	NA	NA
mod@relcl,PROPN,VERB	NA	req-agree
comp:obl@agent,VERB,PROPN	NA	NA
comp:obj,VERB,ADJ	NA	req-agree
mod,PROPN,PROPN	NA	req-agree
unk@fixed,ADJ,NOUN	NA	req-agree
comp:obl@agent,VERB,NOUN	NA	NA
mod@entity,NOUN,NUM	NA	NA
subj,NOUN,NOUN	NA	req-agree
appos,ADJ,ADJ	NA	req-agree
unk@fixed,DET,NOUN	NA	req-agree
parataxis,NOUN,NOUN	NA	req-agree
cc,NOUN,CCONJ	NA	NA
mod,ADJ,ADJ	NA	req-agree
subj@pass,VERB,NOUN	NA	req-agree
appos,NOUN,NUM	NA	req-agree
comp:obl,VERB,NOUN	NA	NA
mod,VERB,ADJ	NA	req-agree
conj,ADJ,VERB	NA	req-agree
