rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,NOUN	req-agree	NA
mod,NOUN,NOUN	req-agree	NA
conj,VERB,VERB	NA	NA
mod@gov,NOUN,NUM	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
comp:obl,ADJ,NOUN	NA	NA
det@numgov,NOUN,DET	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
mod,NOUN,NUM	req-agree	req-agree
subj,NOUN,NOUN	NA	NA
mod@arg,NOUN,PRON	NA	NA
mod@arg,NOUN,NOUN	req-agree	NA
comp:obl,VERB,NOUN	NA	NA
subj,VERB,DET	req-agree	req-agree
mod@relcl,NOUN,VERB	NA	NA
comp:obj,VERB,NOUN	NA	NA
comp:obj,ADJ,NOUN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
udep,VERB,NOUN	NA	NA
comp:obj,NOUN,NOUN	NA	NA
subj,VERB,ADJ	req-agree	req-agree
subj@pass,AUX,DET	req-agree	req-agree
comp:aux@pass,AUX,ADJ	req-agree	req-agree
mod@relcl,NOUN,AUX	NA	NA
subj,VERB,PROPN	req-agree	req-agree
subj@pass,AUX,ADJ	req-agree	req-agree
conj,VERB,AUX	NA	NA
udep,AUX,NOUN	NA	NA
subj@pass,AUX,NOUN	req-agree	req-agree
conj,AUX,VERB	NA	NA
det@nummod,NOUN,DET	req-agree	NA
det,NOUN,DET	req-agree	req-agree
comp:obl,VERB,DET	NA	NA
comp:obj,VERB,ADJ	req-agree	NA
mod,ADJ,ADJ	req-agree	req-agree
mod,NOUN,PRON	NA	NA
flat,PROPN,PROPN	req-agree	req-agree
comp:pred@pred,VERB,ADJ	req-agree	NA
det@poss,NOUN,DET	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
conj,DET,ADJ	req-agree	req-agree
comp:aux@clitic,AUX,VERB	req-agree	req-agree
mod,NOUN,PROPN	NA	NA
appos,NOUN,PROPN	NA	NA
subj,VERB,PRON	req-agree	NA
comp:obl,VERB,PRON	NA	NA
subj,AUX,PRON	req-agree	req-agree
comp:aux,AUX,VERB	NA	req-agree
conj,PROPN,PROPN	NA	req-agree
comp:obj,NOUN,PRON	NA	NA
comp:obl,NOUN,NOUN	NA	NA
mod@flat,NOUN,ADJ	req-agree	req-agree
mod@arg,NOUN,PROPN	NA	NA
subj@pass,AUX,PRON	req-agree	NA
comp:obj,PRON,VERB	req-agree	NA
mod@gov,PRON,NUM	req-agree	req-agree
comp:obl,VERB,PROPN	NA	NA
vocative,VERB,PROPN	NA	NA
vocative,VERB,NOUN	req-agree	NA
mod,PROPN,ADJ	req-agree	req-agree
udep,VERB,PRON	NA	req-agree
comp:pred@pred,VERB,NOUN	NA	NA
subj,AUX,ADJ	req-agree	req-agree
mod,VERB,AUX	NA	req-agree
comp:obj,VERB,VERB	NA	NA
conj,AUX,AUX	NA	NA
conj,PRON,PROPN	NA	req-agree
mod,PRON,ADJ	req-agree	NA
appos,NOUN,NOUN	req-agree	NA
mod@flat,PROPN,ADJ	req-agree	NA
comp:pred,AUX,NOUN	req-agree	NA
comp:obj,VERB,PROPN	req-agree	NA
subj,AUX,NOUN	req-agree	NA
mod,VERB,VERB	NA	NA
mod@flat,NOUN,NOUN	NA	NA
comp:pred,VERB,ADJ	req-agree	req-agree
parataxis@insert,NOUN,VERB	NA	req-agree
parataxis@obj,AUX,NOUN	NA	NA
parataxis@obj,VERB,AUX	NA	NA
mod@relcl,NOUN,NOUN	NA	NA
parataxis@obj,VERB,VERB	NA	NA
conj,NOUN,PROPN	NA	NA
mod@relcl,PROPN,VERB	NA	NA
comp:pred,AUX,ADJ	req-agree	req-agree
parataxis@insert,AUX,VERB	NA	req-agree
conj,NOUN,AUX	NA	req-agree
conj,ADJ,VERB	NA	req-agree
parataxis@obj,AUX,VERB	NA	req-agree
flat,NOUN,PROPN	req-agree	req-agree
comp:obl,ADJ,PRON	NA	NA
mod@relcl,PRON,VERB	NA	NA
mod,AUX,VERB	NA	NA
comp:obl,NOUN,PRON	NA	NA
mod,NOUN,VERB	NA	NA
subj,AUX,DET	req-agree	req-agree
flat,NUM,NUM	req-agree	req-agree
conj,PROPN,NOUN	req-agree	NA
subj,VERB,NUM	req-agree	NA
parataxis@obj,AUX,PRON	NA	req-agree
conj,NUM,NUM	req-agree	req-agree
mod@flat,NOUN,NUM	req-agree	req-agree
mod,PROPN,PROPN	NA	req-agree
appos,PROPN,NOUN	req-agree	req-agree
conj,DET,DET	req-agree	req-agree
subj,NOUN,PROPN	req-agree	NA
comp:obj,VERB,DET	NA	NA
parataxis@insert,NOUN,ADJ	req-agree	req-agree
comp:obl,VERB,ADJ	req-agree	NA
subj,NOUN,ADJ	req-agree	req-agree
comp:obl,VERB,NUM	req-agree	NA
comp:obj,NOUN,PROPN	req-agree	req-agree
mod,NOUN,AUX	NA	NA
parataxis@insert,VERB,NOUN	NA	NA
mod@flat,ADJ,ADJ	req-agree	req-agree
subj,ADJ,PRON	req-agree	req-agree
mod@relcl,ADJ,ADJ	req-agree	req-agree
vocative,AUX,NOUN	NA	req-agree
parataxis@obj,NOUN,AUX	NA	NA
comp:obl,ADJ,PROPN	NA	req-agree
subj,AUX,PROPN	req-agree	NA
comp:aux@clitic,AUX,AUX	req-agree	req-agree
conj,VERB,NOUN	req-agree	NA
appos,PROPN,PROPN	NA	req-agree
parataxis@obj,NOUN,VERB	NA	NA
mod@relcl,PRON,AUX	NA	NA
comp:obj,ADJ,VERB	NA	NA
comp:pred,AUX,PRON	NA	req-agree
comp:obj,VERB,AUX	NA	NA
conj,AUX,NUM	req-agree	NA
appos,PRON,NOUN	req-agree	req-agree
flat,NUM,NOUN	req-agree	req-agree
parataxis@obj,AUX,AUX	NA	NA
parataxis@obj,VERB,NOUN	NA	NA
det,ADJ,DET	req-agree	req-agree
parataxis@obj,VERB,PRON	NA	req-agree
parataxis@insert,VERB,VERB	NA	req-agree
conj,NOUN,PRON	NA	NA
parataxis@obj,NOUN,ADJ	req-agree	req-agree
subj,ADJ,NOUN	req-agree	req-agree
conj,NOUN,VERB	NA	req-agree
mod@relcl,VERB,VERB	NA	NA
conj,ADJ,NOUN	req-agree	NA
conj,PRON,NOUN	req-agree	NA
unk@fixed,DET,ADJ	req-agree	req-agree
det@numgov,PRON,DET	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
mod@flat,ADJ,NOUN	NA	NA
parataxis@obj,PROPN,AUX	req-agree	NA
mod,AUX,AUX	NA	req-agree
comp:pred,AUX,DET	req-agree	req-agree
conj,VERB,PRON	NA	req-agree
comp:pred,AUX,PROPN	NA	req-agree
mod@poss,NOUN,NOUN	NA	NA
mod@relcl,VERB,AUX	NA	req-agree
parataxis@insert,NOUN,AUX	NA	NA
subj,ADJ,ADJ	req-agree	req-agree
conj,NOUN,DET	req-agree	req-agree
unk@fixed,PRON,ADJ	req-agree	req-agree
appos,NOUN,ADJ	req-agree	req-agree
parataxis@insert,VERB,AUX	NA	NA
mod@relcl,DET,VERB	NA	NA
conj,PRON,VERB	NA	req-agree
comp:obj,ADJ,PRON	NA	NA
subj@pass,AUX,PROPN	NA	req-agree
udep,VERB,ADJ	req-agree	req-agree
parataxis@obj,PROPN,VERB	req-agree	NA
subj,DET,NOUN	req-agree	req-agree
udep,VERB,AUX	NA	NA
mod@arg,NOUN,DET	req-agree	NA
conj,AUX,NOUN	NA	NA
unk@fixed,DET,NOUN	NA	req-agree
mod,PROPN,NUM	req-agree	req-agree
subj,AUX,NUM	req-agree	req-agree
parataxis@insert,AUX,PROPN	NA	req-agree
conj,PROPN,VERB	NA	NA
parataxis@insert,AUX,NOUN	NA	NA
comp:obj,ADJ,AUX	NA	req-agree
parataxis@obj,NOUN,NOUN	NA	NA
mod@arg,NOUN,ADJ	NA	req-agree
mod@gov,PROPN,NUM	req-agree	req-agree
subj@pass,ADJ,NOUN	NA	req-agree
comp:aux,AUX,ADJ	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
comp:pred@pred,VERB,PRON	NA	req-agree
det,NUM,DET	req-agree	req-agree
comp:obl,ADJ,ADJ	req-agree	req-agree
udep,ADJ,PRON	NA	req-agree
det@numgov,PROPN,DET	req-agree	req-agree
conj,PROPN,PRON	NA	req-agree
parataxis@insert,ADJ,PROPN	NA	req-agree
det@poss,PRON,DET	req-agree	req-agree
mod@relcl,PRON,PRON	NA	req-agree
udep,VERB,DET	req-agree	NA
comp:obj,NOUN,AUX	NA	NA
unk@fixed,NOUN,NOUN	NA	req-agree
subj,ADJ,PROPN	req-agree	req-agree
conj,ADJ,AUX	NA	req-agree
comp:pred@pred,ADJ,NOUN	NA	req-agree
conj,ADJ,DET	req-agree	req-agree
conj,NUM,NOUN	req-agree	NA
conj,NOUN,NUM	req-agree	NA
mod,PROPN,VERB	NA	req-agree
comp:pred,AUX,VERB	NA	NA
unk@fixed,PRON,NOUN	NA	req-agree
comp:obl,ADJ,DET	NA	NA
udep,VERB,PROPN	NA	NA
conj,DET,NOUN	req-agree	req-agree
parataxis@insert,NOUN,NOUN	NA	req-agree
udep,ADJ,ADJ	req-agree	req-agree
conj,PRON,PRON	NA	req-agree
det,PROPN,DET	req-agree	req-agree
vocative,AUX,PROPN	NA	req-agree
unk@fixed,ADJ,ADJ	req-agree	req-agree
mod,PRON,NOUN	NA	NA
vocative,PRON,NOUN	req-agree	req-agree
vocative,NOUN,NOUN	req-agree	req-agree
mod,PROPN,NOUN	NA	req-agree
mod@pred,NOUN,ADJ	req-agree	req-agree
conj,NUM,DET	req-agree	req-agree
vocative,VERB,ADJ	req-agree	req-agree
conj,PROPN,AUX	NA	req-agree
