rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,PROPN	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
mod,NOUN,PROPN	NA	NA
mod,NOUN,NOUN	req-agree	NA
conj,VERB,AUX	NA	NA
comp:aux@pass,AUX,VERB	req-agree	req-agree
subj,NOUN,NOUN	NA	NA
flat,ADJ,NOUN	req-agree	NA
comp:pred,VERB,NOUN	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
comp:obl,VERB,PROPN	req-agree	NA
subj,VERB,NOUN	req-agree	NA
appos,NOUN,PROPN	req-agree	NA
flat@name,PROPN,PROPN	req-agree	req-agree
conj,VERB,VERB	req-agree	req-agree
comp:obj,VERB,NOUN	req-agree	NA
comp:obl,VERB,NOUN	req-agree	NA
comp:pred,VERB,NUM	NA	req-agree
conj,ADJ,ADJ	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
mod,NOUN,NUM	req-agree	req-agree
subj@pass,AUX,NOUN	req-agree	req-agree
subj,NUM,NOUN	req-agree	req-agree
udep,VERB,ADJ	req-agree	NA
subj,ADJ,NOUN	req-agree	req-agree
mod,NOUN,VERB	req-agree	req-agree
appos,PROPN,ADJ	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
comp:obj,VERB,PROPN	req-agree	NA
comp:obl,VERB,PRON	NA	NA
subj,VERB,ADJ	req-agree	req-agree
appos,PROPN,NOUN	req-agree	NA
parataxis,NOUN,NOUN	req-agree	NA
subj@pass,AUX,PROPN	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
appos,NOUN,ADJ	req-agree	NA
conj,ADJ,NOUN	NA	NA
conj,NOUN,PROPN	NA	NA
conj,PROPN,NOUN	req-agree	NA
appos,NOUN,NOUN	req-agree	NA
mod,PROPN,VERB	req-agree	req-agree
conj,VERB,ADJ	req-agree	req-agree
mod@relcl,NOUN,VERB	req-agree	NA
subj,AUX,NOUN	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
mod@gov,NOUN,NUM	req-agree	NA
appos,PRON,NOUN	req-agree	req-agree
udep,ADJ,NUM	NA	req-agree
mod@relcl,PROPN,VERB	req-agree	NA
flat@foreign,NOUN,NOUN	NA	NA
subj,NOUN,PROPN	req-agree	NA
comp:aux@pass,AUX,ADJ	req-agree	req-agree
det,VERB,DET	req-agree	req-agree
subj,PROPN,NOUN	req-agree	NA
conj,PROPN,PROPN	req-agree	NA
list,ADJ,PROPN	req-agree	NA
list,ADJ,ADJ	req-agree	req-agree
conj,NOUN,NUM	req-agree	req-agree
conj,NUM,NOUN	req-agree	req-agree
appos,PROPN,NUM	req-agree	req-agree
mod@relcl,NOUN,AUX	req-agree	NA
udep,AUX,ADJ	req-agree	NA
parataxis,VERB,AUX	NA	NA
mod,ADJ,ADJ	req-agree	req-agree
comp:obl@agent,VERB,NOUN	NA	NA
flat@foreign,PROPN,NOUN	NA	req-agree
flat@name,PROPN,NOUN	NA	req-agree
list,PROPN,ADJ	req-agree	NA
udep,VERB,NOUN	NA	NA
mod@relcl,VERB,VERB	req-agree	NA
parataxis,VERB,VERB	req-agree	NA
subj,ADJ,PRON	req-agree	req-agree
subj@pass,VERB,NOUN	req-agree	NA
subj@pass,AUX,PRON	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
conj,ADJ,NUM	req-agree	req-agree
conj,NUM,ADJ	req-agree	req-agree
mod,PROPN,NOUN	req-agree	NA
appos,PROPN,PROPN	req-agree	NA
mod,ADJ,PRON	NA	NA
parataxis,ADJ,VERB	NA	NA
conj,VERB,NOUN	req-agree	req-agree
comp:pred,AUX,ADJ	req-agree	req-agree
subj,NUM,PROPN	req-agree	req-agree
conj,AUX,AUX	req-agree	NA
unk@fixed,DET,NOUN	req-agree	req-agree
subj@pass,AUX,ADJ	req-agree	req-agree
parataxis,PROPN,NOUN	req-agree	NA
list,NOUN,NOUN	NA	NA
mod,PROPN,PROPN	req-agree	NA
conj,NOUN,ADJ	req-agree	req-agree
mod,NOUN,DET	req-agree	req-agree
