rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
comp:obj,VERB,NOUN	req-agree	NA
mod,NOUN,VERB	req-agree	NA
comp:aux@pass,AUX,VERB	req-agree	req-agree
compound,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
conj,VERB,VERB	req-agree	req-agree
subj@pass,VERB,NOUN	NA	req-agree
mod,NOUN,NOUN	NA	NA
mod,PRON,VERB	req-agree	req-agree
udep,VERB,NOUN	NA	NA
unk@expl,VERB,PRON	req-agree	NA
det,PRON,DET	req-agree	NA
det@poss,NOUN,DET	req-agree	req-agree
det@predet,NOUN,DET	req-agree	req-agree
mod,ADJ,ADJ	req-agree	req-agree
mod,NOUN,PRON	req-agree	req-agree
conj,ADJ,VERB	req-agree	req-agree
mod,NOUN,NUM	req-agree	req-agree
comp:obj,VERB,PRON	req-agree	NA
conj,NOUN,PRON	req-agree	NA
appos,NOUN,NOUN	NA	NA
conj,PRON,NOUN	NA	NA
comp:obj,NOUN,NOUN	NA	NA
det,ADV,DET	req-agree	req-agree
comp:pred,AUX,PRON	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
det,ADJ,DET	req-agree	NA
mod,PRON,PRON	req-agree	NA
parataxis,NOUN,NOUN	NA	NA
det@predet,DET,DET	req-agree	req-agree
comp:obj,VERB,DET	req-agree	NA
det,X,DET	NA	req-agree
comp:obj,SCONJ,VERB	req-agree	req-agree
unk@fixed,SCONJ,SCONJ	req-agree	req-agree
det,DET,DET	req-agree	req-agree
comp:pred,VERB,NOUN	req-agree	req-agree
mod,DET,PRON	req-agree	req-agree
appos,NOUN,VERB	req-agree	req-agree
comp:pred,AUX,ADJ	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	req-agree
mod,VERB,ADJ	req-agree	req-agree
appos,NOUN,PRON	req-agree	req-agree
mod,PRON,NOUN	NA	NA
comp:obj,ADP,NOUN	NA	req-agree
conj,ADJ,NOUN	NA	req-agree
subj,VERB,NOUN	NA	req-agree
appos,PRON,VERB	req-agree	req-agree
appos,NOUN,DET	req-agree	req-agree
conj,PRON,PRON	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
subj,NOUN,NOUN	NA	NA
comp:pred,AUX,DET	req-agree	req-agree
det,VERB,DET	req-agree	NA
det@predet,PRON,DET	req-agree	req-agree
subj,NOUN,PRON	req-agree	NA
comp:pred,NOUN,NOUN	req-agree	NA
mod@relcl,NOUN,VERB	req-agree	req-agree
subj@pass,NOUN,NOUN	NA	req-agree
appos,NOUN,ADJ	req-agree	req-agree
conj,DET,DET	req-agree	req-agree
udep,ADJ,NOUN	NA	req-agree
appos,ADJ,NOUN	NA	req-agree
appos,PRON,NOUN	NA	req-agree
udep,ADJ,PRON	req-agree	NA
comp:obl,VERB,PRON	req-agree	NA
udep,DET,ADP	req-agree	req-agree
