rel,head-pos,child-pos	tree-label	gold-label
conj,AUX,AUX	req-agree	NA
conj,AUX,VERB	req-agree	NA
conj,VERB,VERB	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
comp:obj,VERB,VERB	NA	req-agree
conj,VERB,AUX	req-agree	NA
parataxis,AUX,VERB	req-agree	NA
subj,AUX,PRON	NA	NA
mod,AUX,VERB	req-agree	NA
comp:obj,VERB,AUX	NA	NA
comp:aux,AUX,AUX	req-agree	NA
comp:pred@own,AUX,PRON	NA	NA
comp:obj,VERB,PRON	NA	NA
parataxis,AUX,AUX	req-agree	NA
mod@relcl,VERB,AUX	req-agree	NA
udep,VERB,PRON	NA	NA
discourse,AUX,VERB	NA	NA
mod,VERB,AUX	NA	req-agree
mod@relcl,VERB,VERB	req-agree	req-agree
parataxis,VERB,AUX	NA	NA
parataxis,VERB,VERB	NA	NA
comp:aux,AUX,VERB	req-agree	req-agree
mod,VERB,VERB	req-agree	req-agree
subj@cop,AUX,PRON	req-agree	req-agree
subj,AUX,VERB	NA	NA
comp:pred,AUX,VERB	NA	req-agree
conj,VERB,PRON	req-agree	NA
comp:pred,VERB,VERB	req-agree	req-agree
udep,AUX,PRON	NA	req-agree
subj,VERB,VERB	req-agree	NA
subj@cop,AUX,VERB	NA	NA
