rel,head-pos,child-pos	tree-label	gold-label
conj,AUX,AUX	NA	NA
conj,AUX,VERB	NA	req-agree
conj,VERB,AUX	NA	NA
mod,VERB,VERB	NA	NA
conj,VERB,VERB	NA	NA
parataxis,AUX,AUX	NA	NA
appos,VERB,AUX	NA	NA
parataxis,VERB,VERB	NA	NA
parataxis,AUX,VERB	NA	NA
mod,VERB,AUX	NA	NA
subj,VERB,PRON	NA	req-agree
comp:obj,VERB,PRON	NA	NA
parataxis,VERB,AUX	NA	NA
compound@svc,VERB,VERB	NA	req-agree
dislocated,VERB,VERB	NA	req-agree
mod,AUX,VERB	NA	NA
dislocated,AUX,AUX	NA	req-agree
mod,AUX,AUX	NA	req-agree
subj,AUX,PRON	NA	NA
comp:pred,AUX,PRON	NA	req-agree
conj,PRON,AUX	NA	NA
udep,AUX,PRON	NA	req-agree
comp:obl,VERB,PRON	NA	NA
comp:obj,VERB,VERB	NA	req-agree
parataxis,AUX,PRON	NA	req-agree
comp:pred,VERB,VERB	NA	req-agree
comp:aux,AUX,VERB	NA	NA
comp:pred,VERB,AUX	NA	req-agree
