rel,head-pos,child-pos	tree-label	gold-label
conj,AUX,AUX	req-agree	NA
conj,VERB,VERB	req-agree	NA
comp:obj,VERB,PRON	NA	NA
conj,AUX,VERB	req-agree	NA
subj,AUX,PRON	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
parataxis,VERB,VERB	NA	NA
udep,VERB,PRON	NA	NA
mod,VERB,VERB	NA	NA
appos,VERB,VERB	req-agree	req-agree
subj@pass,VERB,VERB	NA	NA
comp:obj,VERB,AUX	NA	NA
conj,VERB,AUX	req-agree	NA
comp:obl,VERB,PRON	NA	NA
comp:obj,VERB,VERB	NA	NA
parataxis,VERB,AUX	NA	NA
subj,VERB,VERB	req-agree	req-agree
mod,PRON,AUX	NA	NA
orphan,PRON,AUX	NA	NA
parataxis,AUX,VERB	NA	NA
subj,AUX,VERB	req-agree	req-agree
subj,VERB,AUX	req-agree	NA
subj,AUX,AUX	req-agree	req-agree
unk,VERB,PRON	NA	req-agree
unk,VERB,AUX	NA	req-agree
udep,AUX,AUX	NA	req-agree
comp:pred,AUX,PRON	NA	NA
discourse,AUX,PRON	NA	req-agree
parataxis,AUX,AUX	NA	req-agree
mod,AUX,AUX	NA	NA
unk,VERB,VERB	NA	NA
udep,VERB,AUX	NA	req-agree
subj@pass,VERB,AUX	NA	req-agree
mod,AUX,VERB	NA	NA
mod,VERB,AUX	NA	NA
discourse,VERB,PRON	NA	req-agree
flat@foreign,PRON,PRON	NA	NA
conj,VERB,PRON	req-agree	NA
comp:pred,AUX,DET	NA	NA
conj,DET,DET	NA	NA
appos,VERB,AUX	req-agree	NA
mod,PRON,VERB	NA	req-agree
mod,PRON,DET	NA	req-agree
subj@pass,AUX,PRON	NA	req-agree
appos,PRON,PRON	NA	req-agree
