rel,head-pos,child-pos	tree-label	gold-label
comp:pred,AUX,NOUN	NA	NA
mod@poss,NOUN,NOUN	NA	NA
subj,AUX,PRON	NA	NA
subj,VERB,PROPN	NA	req-agree
flat,PROPN,PROPN	NA	req-agree
mod@poss,NOUN,PRON	NA	NA
conj,VERB,VERB	NA	NA
subj,VERB,PRON	NA	NA
comp:obj,VERB,PROPN	NA	NA
unk,VERB,PRON	NA	NA
subj,AUX,VERB	NA	req-agree
mod@poss,VERB,NOUN	NA	req-agree
parataxis,AUX,VERB	NA	req-agree
subj,AUX,NOUN	NA	NA
comp:obj,VERB,AUX	NA	NA
mod@dat,VERB,PRON	NA	NA
parataxis,VERB,AUX	NA	NA
comp:obj,VERB,PRON	NA	NA
det,NOUN,DET	NA	NA
comp:obj,VERB,VERB	NA	NA
subj,VERB,NOUN	NA	NA
comp:obj,VERB,NOUN	NA	NA
parataxis,PROPN,VERB	NA	NA
compound,VERB,NOUN	NA	req-agree
parataxis,VERB,VERB	NA	req-agree
discourse,VERB,NOUN	NA	req-agree
comp:pred,AUX,PROPN	NA	NA
unk,NOUN,ADP	NA	req-agree
mod@poss,NOUN,PROPN	NA	NA
appos,NOUN,PROPN	NA	req-agree
parataxis,AUX,AUX	NA	req-agree
mod,NOUN,PRON	NA	NA
conj,NOUN,VERB	NA	NA
comp:obj,NOUN,VERB	NA	NA
conj,VERB,AUX	NA	NA
mod,VERB,NOUN	NA	NA
mod@poss,VERB,PRON	NA	NA
discourse,VERB,PROPN	NA	req-agree
mod,AUX,PRON	NA	NA
mod,VERB,PRON	NA	NA
comp:obj,NOUN,NOUN	NA	NA
comp:aux,VERB,NOUN	NA	req-agree
flat,NOUN,PROPN	NA	NA
parataxis,NOUN,AUX	NA	req-agree
comp:pred,AUX,NUM	NA	NA
mod,NUM,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
compound,NUM,NUM	NA	req-agree
mod,NOUN,NUM	NA	NA
comp:pred,VERB,NOUN	NA	NA
mod,VERB,PROPN	NA	NA
appos,NOUN,NOUN	NA	NA
unk,NOUN,PROPN	NA	req-agree
compound@lvc,VERB,NOUN	NA	NA
subj,NOUN,PRON	NA	NA
comp:obj,ADP,NOUN	NA	req-agree
subj,VERB,ADP	NA	req-agree
parataxis,NOUN,VERB	NA	req-agree
