rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
mod,NOUN,NOUN	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
mod,PRON,NOUN	req-agree	req-agree
appos,DET,NOUN	req-agree	NA
mod,NOUN,PROPN	req-agree	NA
comp:aux,AUX,VERB	req-agree	req-agree
comp:pred,AUX,ADJ	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
mod,NOUN,NUM	req-agree	NA
subj,VERB,NOUN	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
appos,PRON,NOUN	req-agree	req-agree
mod,PROPN,NOUN	req-agree	NA
appos,NOUN,NOUN	req-agree	req-agree
comp:obl,VERB,PRON	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
mod,PROPN,ADJ	req-agree	NA
comp:obl,NOUN,PRON	req-agree	req-agree
mod,PROPN,PROPN	req-agree	NA
subj,VERB,VERB	req-agree	req-agree
mod,DET,NOUN	NA	NA
conj,PROPN,PROPN	req-agree	NA
mod@relcl,NOUN,VERB	req-agree	NA
conj,NUM,NUM	req-agree	req-agree
conj,PROPN,NOUN	req-agree	NA
flat,PROPN,PROPN	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	NA
subj,VERB,PROPN	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
conj,NOUN,PROPN	req-agree	NA
flat,PROPN,ADJ	req-agree	req-agree
comp:aux@pass,AUX,VERB	req-agree	req-agree
discourse,NOUN,PROPN	req-agree	req-agree
subj@pass,VERB,PROPN	req-agree	req-agree
subj,AUX,NOUN	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
conj,AUX,VERB	req-agree	req-agree
udep,AUX,NOUN	req-agree	NA
subj@pass,AUX,NOUN	req-agree	req-agree
mod,NUM,ADJ	req-agree	req-agree
udep,VERB,NOUN	req-agree	NA
conj,VERB,VERB	req-agree	req-agree
comp:obj,VERB,PROPN	NA	NA
mod,AUX,VERB	req-agree	NA
discourse,PROPN,PROPN	req-agree	req-agree
discourse,NOUN,NOUN	req-agree	req-agree
conj,DET,ADJ	req-agree	req-agree
subj,VERB,DET	req-agree	req-agree
