rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
mod,NOUN,NUM	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
comp:obj,VERB,NOUN	NA	NA
mod,VERB,DET	req-agree	NA
comp:pred,VERB,NOUN	NA	NA
det,ADJ,PRON	req-agree	req-agree
det,NUM,DET	req-agree	req-agree
conj,NOUN,ADJ	req-agree	req-agree
conj,ADJ,NOUN	req-agree	NA
appos,NOUN,NOUN	req-agree	NA
conj,NOUN,PRON	req-agree	req-agree
comp:aux@pass,AUX,VERB	req-agree	NA
det,PROPN,DET	req-agree	NA
mod,NOUN,PROPN	req-agree	NA
det,ADJ,DET	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
subj,NOUN,PRON	NA	req-agree
unk@fixed,ADJ,NOUN	NA	req-agree
conj,VERB,ADJ	req-agree	req-agree
mod,NOUN,VERB	req-agree	req-agree
comp:obl,VERB,PRON	NA	NA
flat,NOUN,ADJ	req-agree	NA
comp:pred,AUX,NOUN	NA	NA
udep,ADJ,NOUN	NA	NA
flat,NOUN,PROPN	req-agree	NA
unk@fixed,NOUN,ADJ	req-agree	req-agree
comp:obj,NOUN,NOUN	NA	NA
comp:obj,ADJ,NOUN	NA	NA
mod,ADJ,ADJ	req-agree	NA
det,PRON,DET	req-agree	NA
mod,NOUN,PRON	NA	NA
conj,VERB,NOUN	req-agree	req-agree
flat,NOUN,NOUN	NA	NA
comp:pred,AUX,DET	req-agree	NA
unk@fixed,ADJ,DET	req-agree	NA
unk@fixed,DET,NOUN	NA	NA
det,DET,DET	req-agree	NA
unk@fixed,NOUN,NOUN	NA	NA
conj,VERB,VERB	req-agree	req-agree
comp:obl,VERB,NOUN	NA	NA
comp:obj,NOUN,ADJ	req-agree	req-agree
conj,NOUN,VERB	req-agree	req-agree
appos,NOUN,PRON	req-agree	req-agree
det,NUM,PRON	req-agree	req-agree
mod,NUM,VERB	req-agree	req-agree
mod,NUM,NOUN	NA	req-agree
flat,VERB,NOUN	NA	NA
parataxis,NOUN,NOUN	NA	NA
comp:obl,ADJ,NOUN	NA	NA
mod,PRON,VERB	req-agree	req-agree
comp:aux,AUX,VERB	req-agree	NA
subj@pass,ADJ,NOUN	NA	req-agree
det,VERB,PRON	NA	req-agree
mod,ADJ,DET	req-agree	NA
conj,PRON,DET	NA	req-agree
mod,PRON,NOUN	NA	NA
conj,PRON,PRON	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	NA
unk,NOUN,NOUN	NA	req-agree
udep,VERB,NOUN	NA	NA
comp:pred,ADJ,NOUN	NA	req-agree
mod,PRON,ADJ	req-agree	req-agree
unk@fixed,NUM,NOUN	NA	req-agree
comp:obj,VERB,PRON	NA	NA
mod,NOUN,DET	NA	NA
conj,PROPN,NOUN	req-agree	NA
det,NOUN,PRON	NA	req-agree
unk@fixed,VERB,NOUN	NA	NA
subj,VERB,NOUN	NA	req-agree
subj,ADJ,NOUN	NA	NA
mod,VERB,VERB	req-agree	req-agree
mod,DET,DET	req-agree	NA
mod,NUM,DET	req-agree	NA
det,PRON,PRON	req-agree	req-agree
comp:pred,AUX,ADJ	req-agree	NA
mod,ADJ,VERB	req-agree	req-agree
comp:aux@pass,VERB,ADJ	req-agree	req-agree
comp:obl,NOUN,NOUN	NA	NA
mod,NUM,NUM	req-agree	req-agree
orphan,NOUN,NOUN	NA	req-agree
comp:pred,VERB,PRON	NA	req-agree
mod,ADJ,PRON	NA	req-agree
comp:pred,AUX,VERB	req-agree	req-agree
unk@fixed,ADJ,ADJ	req-agree	NA
conj,PRON,NUM	req-agree	NA
conj,ADJ,VERB	req-agree	req-agree
flat,NOUN,NUM	req-agree	req-agree
conj,NUM,NOUN	NA	NA
comp:pred,VERB,VERB	req-agree	req-agree
mod,PRON,PRON	NA	req-agree
comp:aux@pass,VERB,VERB	req-agree	NA
mod,PROPN,ADJ	req-agree	NA
mod,VERB,ADJ	req-agree	NA
comp:obl,VERB,PROPN	NA	NA
mod@tmod,VERB,NOUN	NA	NA
unk@fixed,NOUN,PROPN	req-agree	req-agree
unk@fixed,PRON,ADJ	NA	req-agree
goeswith,NOUN,NOUN	NA	req-agree
appos,ADJ,ADJ	req-agree	req-agree
