rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,PRON	req-agree	req-agree
mod,NOUN,ADJ	req-agree	NA
conj,ADJ,PRON	req-agree	NA
mod,ADJ,PRON	req-agree	NA
udep,ADJ,PRON	req-agree	NA
mod,NOUN,PRON	NA	NA
mod,NOUN,VERB	req-agree	NA
mod,NOUN,NOUN	NA	NA
det,PROPN,PRON	req-agree	req-agree
mod,PRON,PROPN	NA	NA
mod,PRON,NOUN	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
mod,PRON,ADJ	req-agree	req-agree
udep,NUM,NOUN	NA	NA
comp:obj,NUM,PRON	NA	NA
det,PRON,PRON	req-agree	req-agree
conj,NOUN,VERB	req-agree	NA
mod,NOUN,PROPN	NA	NA
conj,NUM,PRON	req-agree	req-agree
mod,ADJ,ADJ	req-agree	NA
mod,ADJ,PROPN	NA	NA
mod,NOUN,NUM	req-agree	NA
conj,PRON,PRON	req-agree	NA
mod,PRON,PRON	req-agree	req-agree
comp:pred,VERB,VERB	req-agree	req-agree
mod,VERB,ADJ	req-agree	req-agree
comp:obj,NOUN,PRON	NA	NA
comp:obj,VERB,NOUN	NA	NA
orphan,VERB,NOUN	req-agree	req-agree
comp:obj,VERB,PRON	req-agree	NA
det,VERB,PRON	req-agree	req-agree
subj@pass,VERB,NOUN	req-agree	req-agree
subj@pass,VERB,PROPN	req-agree	req-agree
conj,PROPN,NOUN	req-agree	NA
conj,PRON,NOUN	NA	NA
subj@pass,VERB,PRON	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
mod,ADJ,NOUN	NA	NA
mod,VERB,VERB	req-agree	req-agree
appos,PRON,NOUN	req-agree	NA
comp:obj,ADJ,PRON	NA	NA
conj,NOUN,PRON	NA	NA
mod,PRON,VERB	req-agree	req-agree
conj,ADJ,VERB	req-agree	req-agree
mod,ADJ,VERB	req-agree	req-agree
mod@advmod,PRON,NOUN	NA	NA
conj,VERB,VERB	req-agree	req-agree
mod@advmod,NOUN,VERB	req-agree	req-agree
mod,PROPN,VERB	req-agree	req-agree
conj,PROPN,PRON	req-agree	NA
conj,NUM,ADJ	req-agree	req-agree
det,ADJ,PRON	req-agree	req-agree
mod@advmod,NOUN,NOUN	req-agree	req-agree
subj@pass,VERB,ADJ	req-agree	req-agree
mod,NUM,PRON	req-agree	req-agree
orphan,NOUN,NOUN	NA	NA
mod@advmod,NOUN,PRON	NA	NA
udep,VERB,NOUN	NA	NA
conj,ADJ,NOUN	req-agree	NA
comp:obj,VERB,ADJ	NA	NA
comp:obj,VERB,NUM	NA	NA
comp:pred,ADJ,VERB	req-agree	req-agree
mod,NUM,VERB	req-agree	req-agree
conj,PRON,ADJ	req-agree	req-agree
comp:obl,VERB,NOUN	req-agree	NA
conj,VERB,ADJ	req-agree	req-agree
mod@relcl,NOUN,VERB	req-agree	NA
mod@advmod,NOUN,ADJ	req-agree	req-agree
orphan,PRON,NOUN	NA	req-agree
udep,NOUN,PRON	NA	req-agree
mod,VERB,PRON	req-agree	req-agree
appos,NOUN,NOUN	NA	NA
orphan,PRON,PRON	req-agree	req-agree
conj,NOUN,ADJ	req-agree	NA
udep,ADJ,NOUN	NA	NA
flat,NOUN,PROPN	req-agree	req-agree
subj,NOUN,ADJ	req-agree	req-agree
mod@advmod,PRON,VERB	req-agree	req-agree
udep,NOUN,NOUN	NA	NA
det,NUM,PRON	req-agree	req-agree
mod@advmod,ADJ,NUM	req-agree	req-agree
mod@advmod,ADJ,VERB	req-agree	req-agree
mod@advmod,ADJ,ADJ	req-agree	req-agree
mod@advmod,PRON,ADJ	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	req-agree
conj,VERB,NOUN	req-agree	req-agree
subj,VERB,NOUN	req-agree	NA
udep,PRON,NOUN	NA	NA
comp:pred,VERB,NOUN	req-agree	req-agree
mod,VERB,PROPN	NA	NA
mod,VERB,NOUN	NA	NA
udep,VERB,PRON	req-agree	NA
mod,PRON,NUM	req-agree	req-agree
udep,NOUN,ADJ	req-agree	NA
subj@pass,VERB,NUM	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
comp@pass,VERB,PRON	req-agree	req-agree
udep,VERB,ADJ	req-agree	req-agree
mod@appos,ADJ,NOUN	NA	req-agree
udep,NOUN,PROPN	req-agree	NA
mod@advmod,PROPN,VERB	req-agree	req-agree
comp:obj,ADJ,VERB	NA	req-agree
comp:obj,VERB,PROPN	req-agree	NA
comp:obj,VERB,VERB	req-agree	NA
comp:obl,VERB,PROPN	req-agree	req-agree
mod@relcl,VERB,VERB	req-agree	req-agree
mod@appos,ADJ,ADJ	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
