rel,head-pos,child-pos	tree-label	gold-label
udep,AUX,NOUN	NA	NA
mod,NOUN,PROPN	NA	NA
conj,PROPN,PROPN	req-agree	NA
subj,AUX,NOUN	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
det,PRON,DET	req-agree	NA
subj,NOUN,NOUN	NA	NA
mod,NOUN,VERB	req-agree	NA
comp:obj,VERB,NOUN	req-agree	NA
conj,VERB,VERB	req-agree	NA
mod,NOUN,NOUN	req-agree	NA
appos,NOUN,ADJ	req-agree	NA
subj,VERB,NOUN	req-agree	NA
parataxis,NOUN,NOUN	NA	NA
det,NOUN,DET	req-agree	req-agree
det,NOUN,PRON	NA	NA
orphan,NOUN,NOUN	NA	NA
subj,AUX,DET	req-agree	req-agree
mod@relcl,DET,VERB	req-agree	req-agree
comp:obl,VERB,NOUN	req-agree	NA
subj,NOUN,PRON	NA	NA
udep,ADJ,NOUN	req-agree	NA
appos,NOUN,PROPN	req-agree	NA
flat@name,PROPN,PROPN	req-agree	req-agree
det,PROPN,DET	req-agree	NA
mod,PRON,ADJ	req-agree	req-agree
comp:obl,ADJ,PRON	NA	NA
unk@expl,VERB,PRON	NA	NA
appos,NOUN,NOUN	req-agree	NA
subj,ADJ,PRON	req-agree	req-agree
parataxis,ADJ,ADJ	req-agree	NA
mod,NOUN,NUM	req-agree	NA
subj,ADJ,NOUN	req-agree	req-agree
conj,ADJ,ADJ	req-agree	NA
conj,ADJ,NOUN	req-agree	NA
det,ADJ,DET	req-agree	req-agree
vocative,ADJ,ADJ	req-agree	NA
udep,VERB,NOUN	NA	NA
mod,PROPN,ADJ	req-agree	NA
subj,ADJ,PROPN	req-agree	req-agree
mod,NOUN,PRON	NA	NA
subj,PRON,NOUN	req-agree	NA
parataxis,ADJ,NOUN	NA	NA
parataxis,VERB,VERB	req-agree	NA
comp:obl,VERB,PROPN	req-agree	NA
mod,PROPN,PROPN	req-agree	NA
subj,VERB,PROPN	req-agree	NA
conj,ADJ,VERB	req-agree	NA
comp:obl@agent,VERB,NOUN	NA	req-agree
vocative,NOUN,PROPN	NA	NA
