rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
mod@poss,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
flat,PROPN,PROPN	req-agree	req-agree
conj,PROPN,PROPN	NA	req-agree
mod,NOUN,NOUN	NA	NA
mod,PROPN,NOUN	NA	NA
conj,DET,ADJ	req-agree	NA
compound,NOUN,PROPN	NA	NA
flat,PROPN,NOUN	NA	req-agree
compound,NOUN,NOUN	NA	req-agree
mod,NOUN,PROPN	NA	req-agree
appos,NOUN,PROPN	NA	NA
comp:obj,ADJ,NOUN	NA	NA
appos,NOUN,NOUN	req-agree	NA
det,ADJ,DET	req-agree	NA
subj,ADJ,ADJ	req-agree	req-agree
appos,NOUN,ADJ	req-agree	NA
conj,ADJ,ADJ	req-agree	req-agree
mod,NOUN,PRON	NA	NA
mod@poss,NOUN,PRON	req-agree	req-agree
unk@fixed,DET,NOUN	NA	req-agree
conj,PRON,PRON	NA	req-agree
mod,ADJ,ADJ	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
mod@poss,NOUN,PROPN	NA	NA
unk@fixed,ADJ,NOUN	NA	req-agree
mod,PROPN,ADJ	req-agree	req-agree
appos,PROPN,NOUN	NA	req-agree
conj,PROPN,ADJ	req-agree	NA
conj,NOUN,PROPN	NA	NA
conj,PRON,PROPN	NA	req-agree
mod,ADJ,PRON	NA	NA
unk@fixed,PRON,PRON	NA	req-agree
conj,PROPN,NOUN	NA	NA
unk@fixed,PROPN,PROPN	NA	req-agree
appos,PRON,PROPN	NA	req-agree
discourse,NOUN,PRON	NA	NA
appos,ADJ,NOUN	NA	req-agree
mod,ADJ,NOUN	NA	NA
conj,ADJ,NOUN	req-agree	NA
det,PRON,DET	req-agree	req-agree
reparandum,PRON,PRON	NA	req-agree
appos,NOUN,PRON	NA	req-agree
appos,PRON,NOUN	NA	NA
mod,PRON,NOUN	NA	NA
conj,NOUN,ADJ	req-agree	req-agree
mod,NOUN,DET	req-agree	req-agree
det,PROPN,DET	req-agree	req-agree
conj,NOUN,PRON	NA	req-agree
vocative,NOUN,PROPN	req-agree	req-agree
subj,ADJ,NOUN	NA	NA
conj,PRON,NOUN	NA	req-agree
udep,NOUN,NOUN	NA	req-agree
