rel,head-pos,child-pos	tree-label	gold-label
comp:aux@pass,AUX,VERB	req-agree	NA
subj@pass,AUX,NOUN	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
mod@relcl,NOUN,VERB	req-agree	NA
comp:obj,VERB,NOUN	req-agree	NA
conj,VERB,AUX	req-agree	NA
comp:aux,AUX,VERB	req-agree	NA
conj,AUX,AUX	req-agree	NA
subj,AUX,NOUN	req-agree	req-agree
mod,NOUN,VERB	req-agree	req-agree
mod@relcl,NOUN,AUX	req-agree	NA
subj,VERB,NOUN	req-agree	req-agree
compound,NOUN,NOUN	NA	NA
comp:aux,AUX,AUX	req-agree	NA
det,ADJ,DET	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
conj,VERB,VERB	req-agree	NA
comp:pred,VERB,VERB	req-agree	req-agree
subj@pass,VERB,NOUN	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
udep,VERB,PRON	NA	NA
mod,PRON,VERB	req-agree	req-agree
mod,VERB,VERB	req-agree	NA
udep,VERB,NOUN	NA	NA
det,PRON,DET	req-agree	req-agree
conj,AUX,VERB	req-agree	NA
det,DET,DET	req-agree	req-agree
det@poss,NOUN,DET	req-agree	req-agree
comp:pred,AUX,PRON	req-agree	req-agree
mod,AUX,VERB	NA	NA
comp:obj,VERB,PRON	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
comp:pred,AUX,ADJ	req-agree	req-agree
det@predet,NOUN,DET	req-agree	req-agree
mod,ADJ,ADJ	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	NA
comp:pred,AUX,NOUN	req-agree	req-agree
mod,NOUN,PRON	req-agree	req-agree
conj,ADJ,VERB	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
parataxis,AUX,VERB	NA	NA
mod,NOUN,NUM	req-agree	NA
mod@relcl,PRON,AUX	req-agree	NA
conj,NOUN,PRON	req-agree	NA
mod,PRON,ADJ	req-agree	req-agree
mod,AUX,AUX	NA	NA
comp:obj,VERB,VERB	NA	NA
appos,NOUN,NOUN	NA	NA
comp:obl,VERB,PRON	req-agree	NA
mod,NOUN,DET	req-agree	req-agree
udep,AUX,NOUN	NA	NA
subj,AUX,PRON	req-agree	req-agree
mod,VERB,ADV	NA	NA
conj,PRON,NOUN	req-agree	NA
unk@expl,VERB,PRON	req-agree	NA
comp:obj,NOUN,NOUN	NA	NA
det,ADV,DET	req-agree	req-agree
mod,PRON,PRON	req-agree	req-agree
parataxis,AUX,AUX	NA	NA
appos,VERB,AUX	NA	req-agree
parataxis,NOUN,NOUN	NA	NA
det@predet,DET,DET	req-agree	req-agree
comp:obj,VERB,DET	req-agree	NA
unk@expl,AUX,PRON	NA	NA
subj,AUX,DET	req-agree	req-agree
dislocated,AUX,NOUN	req-agree	NA
comp:pred,AUX,DET	req-agree	NA
mod@relcl,ADJ,AUX	req-agree	NA
parataxis,AUX,NOUN	NA	req-agree
parataxis,VERB,VERB	req-agree	NA
comp:pred,PRON,ADJ	req-agree	req-agree
dislocated,VERB,NOUN	req-agree	NA
parataxis,NOUN,AUX	req-agree	NA
comp:pred,VERB,NOUN	req-agree	NA
comp:obj,VERB,SCONJ	NA	req-agree
comp:obj,SCONJ,VERB	NA	req-agree
unk@fixed,SCONJ,SCONJ	NA	req-agree
parataxis,VERB,AUX	req-agree	NA
comp:pred,AUX,VERB	req-agree	req-agree
parataxis,NOUN,VERB	NA	NA
mod,DET,PRON	req-agree	NA
mod,VERB,AUX	req-agree	NA
subj,VERB,DET	req-agree	req-agree
appos,NOUN,VERB	req-agree	NA
parataxis,AUX,ADJ	req-agree	NA
appos,VERB,NOUN	req-agree	req-agree
mod,VERB,ADJ	req-agree	NA
parataxis,VERB,NOUN	req-agree	NA
subj,AUX,ADJ	req-agree	req-agree
dislocated,AUX,PRON	NA	req-agree
subj,VERB,ADJ	req-agree	req-agree
comp:aux@pass,AUX,AUX	NA	req-agree
appos,NOUN,PRON	NA	NA
subj,NOUN,NOUN	NA	req-agree
mod,PRON,NOUN	NA	NA
conj,ADJ,NOUN	req-agree	req-agree
mod@relcl,PRON,VERB	req-agree	NA
comp:obj,VERB,ADJ	NA	NA
appos,PRON,VERB	NA	req-agree
appos,NOUN,DET	NA	NA
conj,PRON,PRON	req-agree	NA
parataxis,PRON,AUX	NA	NA
mod,AUX,ADV	NA	req-agree
comp:obj,SCONJ,AUX	NA	req-agree
mod@relcl,DET,VERB	req-agree	req-agree
mod@relcl,DET,AUX	req-agree	req-agree
mod@relcl,ADJ,VERB	req-agree	req-agree
comp:obj,VERB,NUM	NA	NA
appos,NOUN,ADJ	NA	req-agree
det,VERB,DET	req-agree	req-agree
det@predet,PRON,DET	req-agree	req-agree
subj,NOUN,PRON	req-agree	NA
comp:pred,NOUN,NOUN	NA	NA
conj,NOUN,VERB	req-agree	req-agree
udep,AUX,PRON	NA	req-agree
vocative,AUX,NOUN	req-agree	req-agree
mod,AUX,ADP	NA	req-agree
subj@pass,AUX,PRON	NA	req-agree
mod,DET,ADJ	req-agree	req-agree
subj@pass,NOUN,NOUN	NA	req-agree
appos,VERB,VERB	NA	req-agree
comp:obj,VERB,AUX	req-agree	NA
appos,PRON,NOUN	NA	NA
conj,DET,DET	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
vocative,VERB,NOUN	NA	req-agree
appos,VERB,PRON	NA	req-agree
unk@fixed,PRON,PRON	NA	req-agree
comp:obj,ADV,AUX	NA	req-agree
conj,AUX,NOUN	NA	req-agree
conj,NOUN,AUX	req-agree	req-agree
udep,ADJ,PRON	NA	NA
appos,NOUN,AUX	NA	NA
udep,DET,ADP	NA	NA
mod,DET,VERB	req-agree	NA
