rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,PRON	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
mod,PRON,AUX	NA	req-agree
conj,AUX,VERB	NA	NA
conj,PRON,PRON	NA	req-agree
conj,AUX,AUX	NA	NA
udep,VERB,PRON	NA	req-agree
comp:obl,VERB,PRON	req-agree	NA
comp:obj,VERB,PRON	req-agree	NA
flat,VERB,VERB	NA	req-agree
discourse,VERB,VERB	NA	req-agree
comp:pred,VERB,VERB	NA	req-agree
subj,AUX,PRON	req-agree	NA
conj,VERB,AUX	req-agree	NA
mod,VERB,VERB	NA	NA
mod@relcl,VERB,VERB	NA	req-agree
parataxis,VERB,VERB	NA	NA
mod,VERB,PRON	req-agree	req-agree
dislocated,PRON,PRON	NA	req-agree
mod,VERB,AUX	NA	NA
comp:obj,VERB,VERB	NA	NA
mod@relcl,PRON,VERB	NA	req-agree
mod,AUX,VERB	NA	req-agree
parataxis,VERB,AUX	NA	NA
parataxis,AUX,VERB	NA	NA
mod,AUX,SCONJ	NA	req-agree
parataxis,AUX,AUX	req-agree	req-agree
