rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,PRON	req-agree	req-agree
subj,AUX,PRON	req-agree	req-agree
unk@fixed,PRON,PRON	req-agree	req-agree
unk@fixed,PRON,VERB	req-agree	req-agree
unk@expl,VERB,PRON	req-agree	req-agree
subj@pass,AUX,PRON	req-agree	req-agree
conj,AUX,VERB	NA	req-agree
unk@fixed,DET,PRON	req-agree	req-agree
conj,AUX,AUX	req-agree	req-agree
conj,PRON,PRON	req-agree	req-agree
unk@expl,AUX,PRON	req-agree	req-agree
mod,AUX,AUX	req-agree	req-agree
conj,VERB,VERB	req-agree	req-agree
comp@pass,VERB,PRON	req-agree	req-agree
conj,VERB,AUX	req-agree	req-agree
mod,PRON,VERB	req-agree	req-agree
comp:pred,VERB,PRON	req-agree	req-agree
comp:obj,VERB,PRON	NA	req-agree
comp@pass,AUX,PRON	req-agree	req-agree
mod,VERB,VERB	NA	req-agree
parataxis,AUX,VERB	NA	req-agree
subj@pass,VERB,PRON	req-agree	req-agree
parataxis,VERB,AUX	NA	req-agree
comp:pred,AUX,PRON	req-agree	req-agree
mod,PRON,AUX	req-agree	req-agree
parataxis,AUX,AUX	NA	req-agree
mod,VERB,AUX	req-agree	req-agree
comp:obl,VERB,PRON	NA	req-agree
udep,AUX,AUX	req-agree	req-agree
mod,AUX,VERB	req-agree	req-agree
parataxis,VERB,PRON	NA	req-agree
det,PRON,DET	NA	req-agree
