rel,head-pos,child-pos	tree-label	gold-label
conj,NOUN,NOUN	NA	NA
mod,NOUN,ADJ	NA	NA
subj,ADJ,NOUN	NA	NA
conj,ADJ,ADJ	NA	NA
det,VERB,DET	NA	NA
mod,NOUN,VERB	NA	NA
det,NOUN,DET	NA	NA
conj,ADJ,VERB	NA	NA
subj@pass,VERB,NOUN	NA	req-agree
comp:obj,VERB,ADJ	NA	NA
mod,NOUN,NOUN	NA	NA
det,NOUN,PRON	NA	NA
mod,ADJ,NOUN	NA	NA
comp:obj,VERB,NOUN	NA	NA
mod,PRON,VERB	NA	NA
comp:obj,VERB,PRON	NA	NA
subj,VERB,PRON	NA	req-agree
det,PRON,PRON	NA	NA
mod,NOUN,PRON	NA	NA
conj,VERB,VERB	NA	req-agree
conj,PROPN,PROPN	NA	req-agree
det,ADJ,DET	NA	NA
subj,VERB,PROPN	NA	req-agree
mod,NOUN,PROPN	NA	NA
comp:pred,VERB,NOUN	NA	NA
comp:pred,VERB,ADJ	NA	NA
appos,PROPN,NOUN	NA	req-agree
mod,VERB,VERB	NA	NA
mod,NOUN,NUM	NA	NA
orphan,NOUN,NOUN	NA	req-agree
mod,ADJ,ADJ	NA	req-agree
mod,VERB,ADJ	NA	NA
comp:obl,PRON,PRON	NA	NA
conj,PRON,PRON	NA	req-agree
vocative,PRON,PROPN	NA	NA
conj,NOUN,ADJ	NA	req-agree
udep,VERB,NOUN	NA	NA
comp:pred,VERB,VERB	NA	NA
dislocated,ADJ,PRON	NA	req-agree
appos,PRON,NOUN	NA	NA
appos,PRON,ADJ	NA	NA
appos,NOUN,NOUN	NA	NA
orphan,NOUN,VERB	NA	req-agree
subj,AUX,NOUN	NA	req-agree
conj,AUX,VERB	NA	NA
mod,ADJ,PRON	NA	req-agree
orphan,NOUN,NUM	NA	NA
conj,PROPN,NOUN	NA	req-agree
det,PROPN,DET	NA	NA
mod,PROPN,PROPN	NA	NA
conj,PROPN,ADJ	NA	req-agree
orphan,ADJ,PROPN	NA	req-agree
comp:obj,ADJ,NUM	NA	req-agree
mod,NUM,NOUN	NA	NA
unk@expl,VERB,PRON	NA	req-agree
mod,PRON,ADJ	NA	NA
conj,PRON,NOUN	NA	NA
comp:obj,VERB,PROPN	NA	req-agree
comp:pred,VERB,PROPN	NA	req-agree
conj,ADJ,NOUN	NA	NA
appos,ADJ,PROPN	NA	req-agree
appos,ADJ,NOUN	NA	NA
comp:obl,VERB,NOUN	NA	NA
orphan,NUM,NUM	NA	req-agree
det,ADJ,PRON	NA	NA
comp:obl,VERB,PRON	NA	NA
mod,ADJ,VERB	NA	req-agree
flat@name,PROPN,PROPN	NA	req-agree
appos,PROPN,ADJ	NA	req-agree
conj,PRON,ADJ	NA	req-agree
comp:obl,NOUN,PROPN	NA	req-agree
comp:obl,ADJ,NOUN	NA	NA
dislocated,PRON,NUM	NA	req-agree
mod,PROPN,NOUN	NA	NA
appos,NOUN,PROPN	NA	req-agree
comp:obl,VERB,ADJ	NA	NA
appos,NOUN,NUM	NA	NA
mod,PRON,NOUN	NA	NA
orphan,NUM,PRON	NA	NA
orphan,NUM,PROPN	NA	NA
appos,NOUN,ADJ	NA	req-agree
comp:pred,VERB,NUM	NA	req-agree
comp:obl,ADJ,PRON	NA	NA
conj,VERB,ADJ	NA	req-agree
subj,VERB,ADJ	NA	req-agree
comp:pred,AUX,ADJ	NA	req-agree
det,PRON,DET	NA	NA
appos,NUM,ADJ	NA	req-agree
comp:obl,NOUN,NOUN	NA	NA
comp:obl,NOUN,PRON	NA	req-agree
vocative,NOUN,NOUN	NA	req-agree
subj@pass,VERB,VERB	NA	req-agree
appos,VERB,NOUN	NA	req-agree
appos,NUM,PROPN	NA	req-agree
mod,PROPN,NUM	NA	req-agree
orphan,NOUN,ADJ	NA	NA
comp:obl,ADJ,VERB	NA	req-agree
mod,NUM,PRON	NA	NA
mod,PROPN,VERB	NA	req-agree
appos,PROPN,VERB	NA	req-agree
conj,ADJ,PROPN	NA	req-agree
subj,NOUN,PROPN	NA	NA
comp:obl,NOUN,VERB	NA	NA
comp:obl@agent,VERB,VERB	NA	req-agree
subj,NOUN,NOUN	NA	NA
udep,NOUN,NOUN	NA	NA
subj,PRON,NOUN	NA	NA
mod,AUX,ADJ	NA	req-agree
comp:pred,AUX,NOUN	NA	req-agree
orphan,NOUN,PRON	NA	NA
orphan,PRON,VERB	NA	req-agree
subj,ADJ,PRON	NA	req-agree
subj,NOUN,ADJ	NA	req-agree
udep,NOUN,PRON	NA	NA
conj,VERB,NOUN	NA	NA
conj,NUM,ADJ	NA	req-agree
subj,ADJ,ADJ	NA	req-agree
orphan,PRON,ADJ	NA	NA
udep,ADJ,NOUN	NA	NA
subj,AUX,PRON	NA	req-agree
comp:obl,VERB,PROPN	NA	req-agree
mod,PRON,AUX	NA	req-agree
udep,AUX,NOUN	NA	NA
appos,PRON,VERB	NA	req-agree
det,NUM,DET	NA	req-agree
comp:obl,NOUN,ADJ	NA	req-agree
unk@fixed,VERB,VERB	NA	req-agree
subj,PROPN,NOUN	NA	NA
comp:pred,AUX,VERB	NA	req-agree
