rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,NUM	req-agree	req-agree
appos,PROPN,NOUN	req-agree	req-agree
subj,VERB,NOUN	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
subj,VERB,NUM	req-agree	NA
conj,NUM,NUM	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
udep,VERB,NOUN	NA	NA
mod,VERB,ADJ	req-agree	req-agree
subj,AUX,PRON	req-agree	req-agree
comp:aux@aglt,AUX,VERB	NA	req-agree
det,NOUN,DET	req-agree	req-agree
subj,AUX,NOUN	req-agree	req-agree
subj,VERB,DET	req-agree	NA
subj,VERB,ADJ	req-agree	req-agree
mod,ADJ,ADJ	req-agree	req-agree
comp:obj,VERB,NOUN	NA	NA
mod@poss,NOUN,PROPN	NA	NA
conj,VERB,VERB	NA	NA
comp:pred,AUX,ADJ	req-agree	req-agree
subj,AUX,PROPN	req-agree	req-agree
subj,VERB,PROPN	req-agree	req-agree
mod@poss,NOUN,NOUN	req-agree	NA
flat,NOUN,PROPN	req-agree	req-agree
mod,AUX,ADJ	req-agree	req-agree
vocative,VERB,NOUN	req-agree	NA
conj,VERB,AUX	NA	NA
comp:pred,AUX,NOUN	req-agree	NA
mod,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
udep,VERB,PRON	NA	NA
udep,VERB,PROPN	NA	NA
udep,AUX,PRON	NA	NA
comp:pred,VERB,ADJ	req-agree	NA
conj,PROPN,PROPN	NA	NA
mod@poss,NOUN,PRON	NA	NA
subj@pass,AUX,PRON	req-agree	req-agree
comp:aux@pass,AUX,ADJ	req-agree	req-agree
conj,AUX,VERB	NA	req-agree
flat,PROPN,PROPN	req-agree	req-agree
comp:obj,VERB,PROPN	req-agree	NA
vocative,VERB,PROPN	NA	req-agree
comp:obl,VERB,PROPN	NA	NA
flat,NOUN,NOUN	req-agree	req-agree
subj@pass,AUX,NOUN	req-agree	req-agree
conj,AUX,AUX	NA	NA
comp:obl,VERB,PRON	NA	NA
comp:obl,VERB,NOUN	NA	NA
mod,AUX,VERB	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
comp:aux@aglt,AUX,AUX	NA	req-agree
comp:aux,AUX,VERB	NA	req-agree
udep,AUX,NUM	req-agree	NA
appos,NUM,NOUN	req-agree	req-agree
comp:obl,ADJ,NOUN	NA	NA
udep,AUX,NOUN	NA	NA
mod,PROPN,ADJ	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
det,PROPN,DET	req-agree	req-agree
appos,NOUN,NOUN	req-agree	req-agree
det,PRON,DET	req-agree	NA
comp:pred,AUX,PRON	NA	req-agree
det,ADJ,DET	req-agree	req-agree
mod,PRON,VERB	NA	NA
mod,VERB,VERB	NA	NA
udep,VERB,DET	req-agree	req-agree
mod,NOUN,PRON	NA	NA
comp:pred,NOUN,NOUN	NA	req-agree
mod@relcl,PROPN,VERB	NA	req-agree
comp:pred,AUX,PROPN	NA	req-agree
comp:obj,VERB,VERB	NA	NA
comp:pred,AUX,DET	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
appos,PRON,NOUN	req-agree	req-agree
mod,VERB,AUX	NA	req-agree
mod,AUX,AUX	NA	NA
comp:pred,VERB,NOUN	NA	req-agree
comp:obj,VERB,ADJ	req-agree	NA
conj,PRON,PRON	NA	req-agree
mod@relcl,DET,VERB	NA	req-agree
mod@relcl,NOUN,VERB	NA	NA
vocative,AUX,NOUN	NA	req-agree
comp:obj,VERB,AUX	NA	req-agree
subj@pass,AUX,DET	req-agree	req-agree
comp:obj,VERB,DET	NA	NA
conj,DET,ADJ	req-agree	req-agree
udep,VERB,ADJ	req-agree	req-agree
mod,PRON,NUM	req-agree	req-agree
conj,DET,DET	req-agree	req-agree
det,DET,DET	req-agree	req-agree
mod,NOUN,PROPN	NA	req-agree
comp:obj,ADJ,NOUN	NA	NA
appos,NUM,NUM	req-agree	req-agree
appos,NOUN,NUM	req-agree	NA
mod@relcl,NOUN,AUX	NA	req-agree
comp:obj,ADJ,PROPN	NA	req-agree
conj,PRON,PROPN	NA	req-agree
mod@poss,NOUN,ADJ	req-agree	req-agree
