rel,head-pos,child-pos	tree-label	gold-label
mod,ADJ,ADJ	req-agree	NA
mod,NOUN,PRON	NA	NA
mod,NOUN,ADJ	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
comp:obj,VERB,NOUN	NA	NA
comp:pred,NOUN,ADJ	req-agree	req-agree
mod,ADJ,NOUN	NA	NA
mod,VERB,NOUN	req-agree	NA
subj,VERB,NOUN	req-agree	req-agree
mod,NOUN,VERB	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
mod,ADJ,VERB	req-agree	NA
comp:obj,ADJ,NOUN	NA	NA
comp:pred,VERB,ADJ	req-agree	NA
comp:pred,PRON,NOUN	NA	NA
subj,VERB,ADJ	req-agree	req-agree
mod,NOUN,NUM	req-agree	NA
comp:obj,ADJ,ADJ	NA	NA
comp:obj,VERB,ADJ	NA	NA
conj,ADJ,NOUN	req-agree	NA
comp:obj,VERB,PRON	req-agree	NA
conj,ADJ,ADJ	req-agree	NA
subj,NOUN,PRON	NA	req-agree
conj,ADJ,VERB	req-agree	req-agree
mod,PRON,ADJ	req-agree	NA
conj,NOUN,ADJ	req-agree	NA
comp:pred,PRON,VERB	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
conj,PRON,PRON	req-agree	NA
comp:pred,PRON,ADJ	req-agree	NA
comp:obj,NOUN,NOUN	NA	NA
comp:pred,NOUN,NOUN	NA	req-agree
mod,PRON,NOUN	req-agree	NA
conj,VERB,ADJ	req-agree	req-agree
comp:pred,VERB,VERB	req-agree	req-agree
mod,PRON,VERB	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
comp:pred,ADJ,VERB	req-agree	req-agree
comp:pred,NOUN,VERB	req-agree	req-agree
comp:obj,ADJ,PRON	NA	req-agree
comp:obj,NOUN,PRON	NA	NA
appos,PRON,PRON	req-agree	req-agree
mod,VERB,PRON	req-agree	NA
mod,ADJ,PRON	req-agree	req-agree
mod,PRON,PRON	req-agree	req-agree
appos,PRON,NOUN	NA	req-agree
conj,PRON,NOUN	NA	NA
subj,NOUN,NOUN	NA	req-agree
mod,NOUN,X	req-agree	req-agree
conj,NOUN,VERB	req-agree	NA
mod,VERB,VERB	req-agree	req-agree
comp:pred,VERB,NOUN	req-agree	req-agree
appos,NOUN,ADJ	req-agree	req-agree
appos,ADJ,NOUN	NA	NA
conj,NOUN,PRON	NA	req-agree
vocative,PRON,NOUN	NA	req-agree
comp:obl,VERB,PRON	req-agree	req-agree
comp:obl,VERB,NOUN	req-agree	req-agree
