rel,head-pos,child-pos	tree-label	gold-label
comp:aux,AUX,AUX	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
subj,AUX,NOUN	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
comp:obj,VERB,NOUN	req-agree	NA
mod@relcl,NOUN,VERB	req-agree	NA
subj,AUX,PRON	req-agree	req-agree
mod@relcl,NOUN,AUX	req-agree	NA
subj,VERB,NOUN	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
conj,VERB,VERB	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
parataxis,VERB,VERB	NA	NA
det@poss,NOUN,DET	req-agree	req-agree
subj@pass,AUX,NOUN	req-agree	req-agree
conj,AUX,AUX	req-agree	NA
comp:aux@pass,AUX,VERB	req-agree	req-agree
comp:aux,AUX,VERB	req-agree	NA
udep,AUX,NOUN	NA	NA
udep,VERB,NOUN	NA	NA
comp:obj,VERB,PRON	req-agree	NA
parataxis,AUX,VERB	NA	NA
subj@pass,AUX,PRON	req-agree	req-agree
conj,VERB,AUX	req-agree	NA
comp:pred,VERB,NOUN	req-agree	NA
vocative,AUX,NOUN	req-agree	NA
conj,AUX,VERB	req-agree	NA
comp:obl,VERB,PRON	req-agree	NA
det@predet,NOUN,DET	req-agree	req-agree
parataxis,AUX,AUX	NA	req-agree
comp:pred,VERB,ADJ	req-agree	NA
parataxis,VERB,AUX	NA	req-agree
compound,NOUN,NOUN	NA	NA
mod,NOUN,VERB	req-agree	req-agree
unk@expl,VERB,PRON	NA	req-agree
mod@relcl,PRON,VERB	req-agree	NA
comp:pred,AUX,PRON	req-agree	req-agree
det,ADJ,DET	req-agree	req-agree
appos,NOUN,ADJ	NA	NA
mod,ADJ,VERB	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
mod,ADJ,ADJ	req-agree	NA
unk@fixed,ADJ,PRON	req-agree	req-agree
mod,VERB,VERB	NA	NA
udep,AUX,ADJ	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
comp:pred,AUX,ADJ	req-agree	req-agree
mod@relcl,PRON,AUX	req-agree	NA
comp:pred,VERB,VERB	NA	req-agree
conj,NOUN,ADJ	req-agree	req-agree
unk@expl,AUX,PRON	NA	req-agree
mod,PRON,VERB	req-agree	req-agree
appos,NOUN,NOUN	NA	NA
det,VERB,DET	req-agree	req-agree
parataxis,NOUN,NOUN	NA	req-agree
mod@relcl,ADJ,AUX	req-agree	NA
subj@pass,VERB,NOUN	req-agree	req-agree
subj,VERB,ADJ	req-agree	req-agree
conj,NOUN,PRON	req-agree	req-agree
conj,ADJ,VERB	req-agree	req-agree
conj,PRON,PRON	NA	req-agree
conj,NOUN,AUX	req-agree	req-agree
comp:aux@pass,AUX,NOUN	NA	NA
mod,AUX,AUX	NA	NA
udep,AUX,PRON	NA	req-agree
comp:obj,VERB,VERB	NA	req-agree
comp:obj,VERB,ADJ	NA	NA
comp:obj,ADJ,NOUN	NA	req-agree
mod,NOUN,AUX	req-agree	req-agree
comp:aux@pass,AUX,AUX	NA	req-agree
subj@pass,VERB,PRON	req-agree	req-agree
comp:obj,VERB,AUX	NA	req-agree
mod,NOUN,PRON	req-agree	NA
unk,NOUN,DET	req-agree	NA
subj@pass,AUX,ADJ	req-agree	req-agree
