rel,head-pos,child-pos	tree-label	gold-label
parataxis,VERB,AUX	req-agree	NA
unk@expl,VERB,PRON	req-agree	NA
conj,VERB,AUX	req-agree	NA
comp:pred,AUX,PRON	NA	req-agree
parataxis,VERB,VERB	req-agree	NA
comp@pass,VERB,PRON	NA	req-agree
conj,VERB,VERB	req-agree	NA
comp:obl,VERB,PRON	NA	NA
parataxis@discourse,VERB,VERB	NA	NA
mod,AUX,VERB	NA	NA
parataxis,AUX,AUX	NA	NA
conj,AUX,VERB	req-agree	NA
comp:obj,VERB,VERB	NA	NA
subj,AUX,PRON	req-agree	NA
parataxis,AUX,VERB	req-agree	NA
mod,VERB,VERB	NA	NA
comp@pass,AUX,PRON	NA	req-agree
comp:obj,VERB,PRON	req-agree	NA
parataxis@discourse,AUX,VERB	req-agree	NA
conj,AUX,AUX	req-agree	NA
comp:aux,AUX,VERB	NA	NA
unk@expl,AUX,PRON	NA	NA
comp:aux,AUX,AUX	NA	NA
mod,VERB,AUX	NA	req-agree
subj,VERB,PRON	req-agree	req-agree
parataxis@obj,VERB,AUX	NA	NA
parataxis@hashtag,AUX,AUX	NA	req-agree
comp:aux@pass,AUX,VERB	NA	NA
parataxis@hashtag,VERB,AUX	NA	NA
mod,PRON,VERB	NA	req-agree
parataxis,AUX,PRON	NA	NA
comp:obj,VERB,AUX	NA	NA
parataxis@discourse,AUX,AUX	NA	NA
parataxis@obj,VERB,VERB	NA	NA
mod@relcl,PRON,VERB	NA	req-agree
conj,PRON,VERB	NA	req-agree
parataxis@insert,AUX,AUX	NA	req-agree
parataxis@insert,AUX,VERB	req-agree	NA
list,VERB,VERB	NA	req-agree
unk,VERB,AUX	NA	req-agree
unk,PRON,VERB	NA	NA
