rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,NUM	req-agree	req-agree
appos,PROPN,NOUN	req-agree	req-agree
subj,VERB,NOUN	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
subj,VERB,NUM	req-agree	NA
conj,NUM,NUM	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
mod,ADJ,ADJ	req-agree	req-agree
comp:obj,VERB,NOUN	NA	NA
mod@poss,NOUN,PROPN	NA	NA
udep,VERB,NOUN	NA	NA
subj,VERB,PRON	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
mod@poss,NOUN,NOUN	NA	NA
flat,NOUN,PROPN	NA	NA
subj,VERB,PROPN	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
comp:pred,VERB,ADJ	req-agree	req-agree
conj,PROPN,PROPN	req-agree	NA
mod@poss,NOUN,PRON	req-agree	NA
subj@pass,AUX,PRON	NA	req-agree
comp:aux@pass,AUX,ADJ	req-agree	req-agree
flat,PROPN,PROPN	req-agree	req-agree
comp:obj,VERB,PROPN	NA	NA
comp:obj,VERB,PRON	NA	NA
flat,NOUN,NOUN	NA	req-agree
subj@pass,AUX,NOUN	req-agree	req-agree
comp:obl,VERB,NOUN	NA	NA
comp:pred,AUX,ADJ	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
mod,AUX,VERB	req-agree	req-agree
subj,AUX,NOUN	req-agree	req-agree
conj,AUX,VERB	req-agree	req-agree
appos,NUM,NOUN	req-agree	req-agree
comp:obl,ADJ,NOUN	NA	NA
udep,VERB,PRON	req-agree	NA
comp:obl,VERB,PRON	req-agree	NA
vocative,VERB,PROPN	req-agree	NA
mod,PROPN,ADJ	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
det,PROPN,DET	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
det,PRON,DET	req-agree	req-agree
comp:pred,AUX,PRON	NA	NA
det,ADJ,DET	req-agree	req-agree
subj,VERB,ADJ	req-agree	req-agree
subj,AUX,PROPN	req-agree	req-agree
mod,PRON,VERB	req-agree	NA
udep,VERB,PROPN	req-agree	NA
mod,NOUN,PRON	NA	NA
comp:pred,NOUN,NOUN	NA	NA
subj,VERB,DET	req-agree	NA
mod@relcl,PROPN,VERB	req-agree	req-agree
udep,AUX,NOUN	req-agree	NA
udep,ADJ,NOUN	NA	NA
appos,PRON,NOUN	req-agree	NA
subj,AUX,PRON	req-agree	req-agree
comp:pred,VERB,NOUN	NA	req-agree
comp:obl,VERB,PROPN	NA	NA
comp:obj,VERB,ADJ	NA	NA
conj,PRON,PRON	NA	req-agree
mod@relcl,DET,VERB	req-agree	req-agree
comp:obj,VERB,VERB	NA	NA
conj,VERB,AUX	NA	NA
mod@relcl,NOUN,VERB	req-agree	NA
subj@pass,AUX,DET	req-agree	req-agree
conj,DET,ADJ	req-agree	req-agree
mod,PRON,NUM	req-agree	req-agree
conj,DET,DET	req-agree	req-agree
mod,VERB,ADJ	req-agree	req-agree
det,DET,DET	req-agree	req-agree
mod,NOUN,PROPN	NA	NA
comp:obj,ADJ,NOUN	NA	req-agree
appos,NUM,NUM	req-agree	req-agree
appos,NOUN,NUM	req-agree	NA
comp:obj,VERB,DET	NA	NA
mod,VERB,VERB	req-agree	NA
comp:obj,ADJ,PROPN	NA	NA
conj,PRON,PROPN	NA	NA
mod@poss,NOUN,ADJ	req-agree	req-agree
vocative,VERB,NOUN	NA	req-agree
comp:pred,AUX,DET	req-agree	req-agree
