rel,head-pos,child-pos	tree-label	gold-label
conj,VERB,VERB	NA	req-agree
mod,VERB,VERB	NA	req-agree
comp:obj,VERB,VERB	NA	NA
mod@obl,VERB,PRON	NA	NA
parataxis,VERB,VERB	NA	NA
subj,VERB,PRON	NA	req-agree
subj,VERB,VERB	NA	req-agree
comp:obj,VERB,PRON	NA	NA
comp:obl,VERB,AUX	NA	req-agree
comp:aux,AUX,VERB	NA	NA
mod,PRON,VERB	NA	NA
comp:obj@x,VERB,VERB	NA	NA
mod@att,VERB,PRON	NA	NA
mod@mode,VERB,PRON	NA	NA
subj,AUX,PRON	NA	req-agree
conj,VERB,AUX	NA	NA
mod,AUX,VERB	NA	req-agree
mod,VERB,AUX	NA	req-agree
comp:pred,VERB,VERB	NA	NA
parataxis,AUX,VERB	NA	NA
conj,AUX,VERB	NA	req-agree
comp:pred,AUX,PRON	NA	req-agree
comp:obl,VERB,VERB	NA	req-agree
mod@att,PRON,PRON	NA	req-agree
mod@locy,VERB,PRON	NA	req-agree
comp:obj,VERB,AUX	NA	req-agree
comp:obl,VERB,PRON	NA	NA
comp:aux,AUX,AUX	NA	req-agree
mod@att,VERB,AUX	NA	req-agree
compound@preverb,VERB,PRON	NA	req-agree
udep,VERB,PRON	NA	req-agree
mod@to,VERB,PRON	NA	req-agree
mod@mode,VERB,AUX	NA	req-agree
