rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,NOUN	NA	NA
mod@gov,NOUN,NUM	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
comp:obl,ADJ,NOUN	NA	NA
det@numgov,NOUN,DET	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
mod,NOUN,NUM	req-agree	req-agree
subj,NOUN,NOUN	NA	NA
mod@arg,NOUN,PRON	req-agree	NA
mod@arg,NOUN,NOUN	NA	NA
comp:obj,ADJ,NOUN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
comp:obj,NOUN,NOUN	NA	NA
subj,VERB,NOUN	req-agree	req-agree
det@nummod,NOUN,DET	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
comp:obl,VERB,DET	NA	NA
mod@relcl,NOUN,VERB	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
mod,ADJ,ADJ	req-agree	req-agree
mod,NOUN,PRON	req-agree	NA
subj,VERB,PROPN	req-agree	req-agree
flat,PROPN,PROPN	req-agree	req-agree
det@poss,NOUN,DET	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
conj,DET,ADJ	req-agree	req-agree
comp:pred@pred,VERB,ADJ	req-agree	NA
conj,VERB,VERB	req-agree	NA
mod,NOUN,PROPN	NA	NA
udep,VERB,NOUN	NA	NA
comp:obl,VERB,NOUN	NA	NA
appos,NOUN,PROPN	req-agree	NA
subj,VERB,PRON	req-agree	NA
conj,PROPN,PROPN	req-agree	NA
comp:obj,NOUN,PRON	NA	NA
comp:obl,NOUN,NOUN	NA	NA
mod@flat,NOUN,ADJ	req-agree	req-agree
comp:obl,VERB,PRON	req-agree	NA
mod@arg,NOUN,PROPN	NA	NA
comp:obj,PRON,VERB	NA	NA
mod@gov,PRON,NUM	req-agree	req-agree
subj@pass,AUX,NOUN	req-agree	req-agree
comp:aux@pass,AUX,ADJ	req-agree	req-agree
subj,VERB,DET	req-agree	req-agree
subj,VERB,ADJ	req-agree	req-agree
comp:obl,VERB,PROPN	NA	NA
mod,PROPN,ADJ	req-agree	req-agree
comp:pred@pred,VERB,NOUN	NA	NA
comp:obj,VERB,VERB	NA	NA
conj,PRON,PROPN	NA	NA
mod,PRON,ADJ	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
mod@flat,PROPN,ADJ	req-agree	req-agree
comp:obj,VERB,PROPN	NA	NA
comp:obj,VERB,ADJ	NA	NA
mod,VERB,VERB	req-agree	NA
mod@flat,NOUN,NOUN	NA	NA
comp:pred,VERB,ADJ	req-agree	req-agree
mod@relcl,NOUN,NOUN	NA	NA
conj,NOUN,PROPN	req-agree	NA
subj,AUX,NOUN	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
mod@relcl,PROPN,VERB	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
conj,ADJ,VERB	req-agree	req-agree
flat,NOUN,PROPN	NA	NA
comp:obl,ADJ,PRON	NA	NA
mod@relcl,PRON,VERB	NA	NA
comp:obl,NOUN,PRON	req-agree	NA
mod@relcl,NOUN,AUX	req-agree	NA
flat,NUM,NUM	req-agree	req-agree
conj,PROPN,NOUN	req-agree	NA
subj,VERB,NUM	req-agree	NA
conj,NUM,NUM	req-agree	req-agree
conj,VERB,AUX	NA	req-agree
conj,AUX,VERB	req-agree	NA
mod@flat,NOUN,NUM	req-agree	req-agree
mod,PROPN,PROPN	NA	req-agree
appos,PROPN,NOUN	req-agree	NA
conj,DET,DET	req-agree	NA
subj,NOUN,PROPN	NA	NA
parataxis@insert,NOUN,ADJ	req-agree	req-agree
subj,NOUN,ADJ	req-agree	req-agree
comp:obj,NOUN,PROPN	NA	NA
comp:obj,VERB,DET	NA	NA
mod@flat,ADJ,ADJ	req-agree	req-agree
subj,ADJ,PRON	req-agree	req-agree
mod@relcl,ADJ,ADJ	req-agree	NA
comp:obl,ADJ,PROPN	NA	NA
appos,PROPN,PROPN	req-agree	req-agree
comp:aux,AUX,VERB	NA	req-agree
parataxis@obj,NOUN,VERB	NA	NA
mod@relcl,PRON,AUX	req-agree	NA
subj,AUX,PROPN	req-agree	req-agree
appos,PRON,NOUN	req-agree	NA
flat,NUM,NOUN	req-agree	req-agree
parataxis@obj,VERB,NOUN	NA	req-agree
det,ADJ,DET	req-agree	req-agree
parataxis@obj,VERB,PRON	NA	NA
parataxis@obj,VERB,VERB	NA	NA
parataxis@obj,VERB,AUX	NA	NA
parataxis@insert,VERB,VERB	NA	NA
conj,NOUN,PRON	NA	NA
parataxis@obj,NOUN,ADJ	req-agree	NA
subj,ADJ,NOUN	req-agree	req-agree
conj,ADJ,NOUN	req-agree	req-agree
conj,PRON,NOUN	req-agree	NA
unk@fixed,DET,ADJ	req-agree	req-agree
det@numgov,PRON,DET	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
mod@flat,ADJ,NOUN	req-agree	req-agree
conj,VERB,PRON	NA	NA
subj,AUX,PRON	req-agree	req-agree
comp:pred,AUX,PROPN	req-agree	req-agree
mod@poss,NOUN,NOUN	NA	NA
subj,ADJ,ADJ	req-agree	req-agree
conj,NOUN,DET	req-agree	NA
comp:pred,AUX,DET	req-agree	req-agree
unk@fixed,PRON,ADJ	req-agree	req-agree
appos,NOUN,ADJ	req-agree	req-agree
parataxis@insert,VERB,AUX	NA	NA
comp:obj,ADJ,PRON	NA	NA
subj@pass,AUX,PROPN	req-agree	req-agree
udep,VERB,ADJ	req-agree	NA
subj@pass,AUX,DET	req-agree	req-agree
subj,DET,NOUN	req-agree	req-agree
mod@relcl,DET,VERB	req-agree	NA
udep,VERB,AUX	NA	NA
mod@arg,NOUN,DET	NA	NA
conj,AUX,NOUN	NA	NA
unk@fixed,DET,NOUN	NA	req-agree
mod,PROPN,NUM	req-agree	req-agree
parataxis@obj,NOUN,NOUN	NA	NA
mod@arg,NOUN,ADJ	NA	NA
mod,NOUN,VERB	req-agree	req-agree
mod@gov,PROPN,NUM	req-agree	req-agree
subj@pass,ADJ,NOUN	req-agree	req-agree
mod@relcl,VERB,VERB	req-agree	NA
det,PRON,DET	req-agree	req-agree
det,NUM,DET	req-agree	req-agree
comp:obl,ADJ,ADJ	NA	req-agree
udep,ADJ,PRON	NA	NA
det@numgov,PROPN,DET	req-agree	req-agree
conj,PROPN,PRON	NA	req-agree
subj,AUX,DET	req-agree	req-agree
parataxis@insert,ADJ,PROPN	req-agree	NA
det@poss,PRON,DET	req-agree	req-agree
mod@relcl,PRON,PRON	NA	req-agree
comp:obl,VERB,ADJ	NA	req-agree
comp:pred,AUX,PRON	NA	req-agree
unk@fixed,NOUN,NOUN	NA	NA
subj,ADJ,PROPN	req-agree	req-agree
udep,AUX,NOUN	req-agree	req-agree
conj,ADJ,AUX	NA	req-agree
comp:pred@pred,ADJ,NOUN	NA	req-agree
conj,ADJ,DET	req-agree	req-agree
conj,NUM,NOUN	req-agree	NA
conj,NOUN,NUM	req-agree	NA
unk@fixed,PRON,NOUN	NA	NA
comp:obl,ADJ,DET	NA	req-agree
udep,VERB,PRON	NA	NA
conj,DET,NOUN	NA	NA
parataxis@insert,NOUN,VERB	NA	NA
subj@pass,AUX,PRON	NA	req-agree
parataxis@insert,NOUN,NOUN	NA	NA
udep,ADJ,ADJ	req-agree	req-agree
conj,PRON,PRON	NA	req-agree
det,PROPN,DET	req-agree	req-agree
parataxis@insert,VERB,NOUN	NA	NA
unk@fixed,ADJ,ADJ	req-agree	req-agree
mod,PRON,NOUN	NA	NA
vocative,PRON,NOUN	NA	NA
vocative,NOUN,NOUN	NA	NA
mod,PROPN,NOUN	NA	req-agree
comp:obj,VERB,AUX	NA	NA
mod@pred,NOUN,ADJ	req-agree	NA
conj,NUM,DET	req-agree	req-agree
vocative,VERB,ADJ	req-agree	req-agree
vocative,VERB,PROPN	req-agree	req-agree
conj,VERB,NOUN	NA	req-agree
