rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
comp:pred,AUX,NOUN	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
vocative,AUX,PROPN	req-agree	req-agree
subj,AUX,NOUN	req-agree	NA
subj,VERB,PRON	req-agree	NA
comp:obj,VERB,PRON	req-agree	NA
subj,AUX,PRON	req-agree	NA
mod,VERB,NOUN	req-agree	NA
mod,ADJ,NOUN	NA	NA
comp:pred,AUX,ADJ	req-agree	req-agree
subj,VERB,NOUN	req-agree	NA
mod,NOUN,NOUN	req-agree	NA
subj@cop,AUX,PRON	req-agree	NA
mod,ADJ,PRON	NA	NA
det,PROPN,DET	req-agree	NA
mod,VERB,PROPN	req-agree	NA
unk@fixed,PRON,PRON	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
comp:aux,AUX,VERB	req-agree	req-agree
mod,NOUN,DET	req-agree	req-agree
conj,NOUN,VERB	req-agree	NA
mod,VERB,VERB	req-agree	NA
subj,VERB,ADJ	req-agree	NA
comp:aux,AUX,AUX	req-agree	req-agree
conj,AUX,VERB	req-agree	NA
conj,NOUN,ADJ	req-agree	NA
conj,ADJ,NOUN	NA	req-agree
mod@gobj,NOUN,NOUN	NA	NA
subj@cop,AUX,NOUN	req-agree	NA
mod,NOUN,PROPN	NA	NA
conj,VERB,VERB	req-agree	req-agree
subj@cop,AUX,PROPN	req-agree	NA
unk@expl,VERB,PRON	req-agree	req-agree
subj@cop,AUX,VERB	req-agree	NA
mod,VERB,ADJ	req-agree	NA
mod,ADJ,ADJ	NA	NA
conj,AUX,AUX	req-agree	NA
mod,VERB,PRON	NA	NA
comp:obj,VERB,VERB	NA	NA
subj,AUX,PROPN	req-agree	req-agree
mod,NOUN,VERB	req-agree	NA
mod,NOUN,NUM	req-agree	req-agree
mod,ADJ,PROPN	NA	NA
mod,ADJ,NUM	req-agree	NA
mod,AUX,VERB	req-agree	NA
comp:obj,VERB,ADJ	req-agree	NA
conj,VERB,AUX	req-agree	NA
mod,NOUN,AUX	req-agree	NA
mod,PROPN,VERB	req-agree	NA
subj,VERB,PROPN	req-agree	NA
conj,PROPN,PROPN	req-agree	req-agree
flat,PROPN,PROPN	req-agree	req-agree
compound@nn,NOUN,NOUN	NA	req-agree
conj,ADJ,ADJ	req-agree	req-agree
det,ADJ,DET	req-agree	NA
unk,VERB,PRON	req-agree	req-agree
mod,NOUN,PRON	NA	NA
mod,VERB,NUM	req-agree	NA
conj,PRON,PRON	req-agree	req-agree
subj,AUX,VERB	req-agree	req-agree
comp:obj,VERB,AUX	req-agree	NA
compound@prt,VERB,NOUN	NA	NA
mod,PROPN,PRON	NA	NA
mod,PROPN,PROPN	req-agree	NA
comp:obj,VERB,PROPN	req-agree	NA
compound@nn,PROPN,NOUN	req-agree	req-agree
mod,PRON,NOUN	NA	req-agree
mod,PROPN,NOUN	NA	req-agree
mod@gsubj,NOUN,NOUN	NA	NA
det,PRON,DET	req-agree	NA
mod,PROPN,ADJ	req-agree	req-agree
unk,NOUN,NOUN	NA	req-agree
comp:pred,AUX,VERB	req-agree	req-agree
conj,ADJ,VERB	req-agree	NA
comp:pred,VERB,VERB	req-agree	NA
mod,ADJ,VERB	NA	req-agree
flat,PROPN,NUM	req-agree	req-agree
conj,PROPN,NOUN	req-agree	NA
compound@nn,NUM,NOUN	NA	req-agree
det,NUM,DET	req-agree	NA
comp:pred,AUX,PROPN	req-agree	NA
mod,DET,ADJ	NA	req-agree
flat,PROPN,NOUN	NA	req-agree
comp:obj,NOUN,NOUN	NA	req-agree
subj,VERB,VERB	req-agree	req-agree
det,VERB,DET	req-agree	req-agree
mod,ADJ,AUX	NA	req-agree
subj,AUX,ADJ	req-agree	NA
mod,AUX,ADJ	req-agree	NA
subj,VERB,NUM	req-agree	req-agree
subj,AUX,NUM	req-agree	req-agree
mod,AUX,NOUN	req-agree	NA
conj,AUX,NOUN	req-agree	NA
