rel,head-pos,child-pos	tree-label	gold-label
subj,AUX,PRON	req-agree	NA
subj,VERB,PRON	req-agree	NA
discourse,VERB,PRON	req-agree	NA
comp:obj,VERB,VERB	req-agree	NA
udep,VERB,PRON	NA	NA
mod,VERB,VERB	req-agree	NA
conj,VERB,VERB	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
comp:pred,AUX,AUX	NA	req-agree
conj,VERB,AUX	NA	req-agree
mod@cau,VERB,PRON	NA	NA
comp:pred,AUX,VERB	NA	NA
mod@cond,VERB,VERB	req-agree	NA
mod,VERB,AUX	NA	NA
comp:aux,VERB,VERB	NA	NA
compound@redup,VERB,VERB	NA	req-agree
comp:obj,VERB,AUX	NA	req-agree
subj,VERB,AUX	req-agree	req-agree
flat,VERB,VERB	req-agree	NA
parataxis,VERB,VERB	req-agree	NA
parataxis,AUX,VERB	req-agree	NA
subj,VERB,VERB	req-agree	NA
discourse,AUX,VERB	NA	req-agree
subj,AUX,VERB	req-agree	req-agree
mod,AUX,AUX	NA	NA
mod,AUX,VERB	NA	req-agree
udep,VERB,AUX	NA	req-agree
comp:pred,AUX,PRON	NA	req-agree
subj,AUX,AUX	req-agree	req-agree
