rel,head-pos,child-pos	tree-label	gold-label
conj,AUX,VERB	NA	req-agree
conj,VERB,VERB	NA	req-agree
mod,VERB,VERB	NA	req-agree
conj,AUX,AUX	NA	req-agree
mod,AUX,AUX	NA	req-agree
subj@pass,VERB,VERB	NA	NA
subj,VERB,VERB	NA	req-agree
comp:obj,VERB,VERB	req-agree	NA
conj,VERB,AUX	NA	req-agree
mod,VERB,AUX	NA	req-agree
subj@pass,AUX,VERB	NA	req-agree
subj,AUX,VERB	NA	NA
subj@pass,VERB,AUX	NA	req-agree
comp:obj,VERB,AUX	req-agree	req-agree
mod,AUX,VERB	NA	req-agree
parataxis,VERB,VERB	NA	req-agree
mod@relcl,VERB,AUX	NA	req-agree
subj,VERB,AUX	NA	req-agree
subj,AUX,AUX	NA	req-agree
parataxis,VERB,AUX	NA	req-agree
parataxis,AUX,VERB	NA	NA
