rel,head-pos,child-pos	tree-label	gold-label
conj,VERB,AUX	req-agree	NA
conj,AUX,AUX	req-agree	NA
unk@expl,VERB,PRON	req-agree	NA
conj,AUX,VERB	req-agree	NA
comp:obj,VERB,PRON	req-agree	NA
conj,VERB,VERB	req-agree	NA
unk@expl,AUX,PRON	NA	NA
parataxis,AUX,VERB	req-agree	NA
mod,AUX,AUX	NA	req-agree
comp:obj,VERB,VERB	NA	NA
mod,PRON,PRON	NA	req-agree
comp:obl,VERB,PRON	NA	NA
parataxis,AUX,AUX	NA	NA
appos,VERB,AUX	NA	req-agree
subj,AUX,PRON	req-agree	NA
parataxis,VERB,VERB	req-agree	NA
comp:pred,AUX,PRON	NA	req-agree
subj,VERB,PRON	req-agree	NA
parataxis,VERB,AUX	req-agree	NA
comp:aux@pass,AUX,VERB	NA	NA
comp:aux,AUX,VERB	NA	NA
mod,AUX,VERB	NA	NA
comp:obj,VERB,AUX	req-agree	NA
mod@relcl,PRON,VERB	NA	req-agree
