rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
mod,NOUN,NOUN	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
compound,NOUN,PROPN	NA	NA
mod,NOUN,VERB	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
subj,VERB,NOUN	req-agree	NA
udep,VERB,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
comp:obj,VERB,PROPN	req-agree	NA
mod,NOUN,PROPN	req-agree	NA
mod@relcl,NOUN,VERB	req-agree	NA
subj@pass,VERB,NOUN	req-agree	NA
conj,VERB,VERB	req-agree	NA
subj,VERB,PROPN	req-agree	NA
det,NOUN,DET	req-agree	req-agree
conj,PROPN,NOUN	req-agree	NA
mod,PROPN,ADJ	req-agree	req-agree
appos,NOUN,PROPN	req-agree	req-agree
mod,PROPN,PROPN	req-agree	NA
comp:aux@pass,AUX,VERB	req-agree	req-agree
subj@pass,AUX,NOUN	req-agree	NA
conj,PROPN,PROPN	req-agree	NA
parataxis,PROPN,PROPN	req-agree	req-agree
appos,PROPN,NOUN	req-agree	req-agree
subj,NOUN,PROPN	NA	NA
conj,VERB,AUX	req-agree	NA
conj,AUX,NOUN	NA	req-agree
udep,AUX,NOUN	NA	NA
mod@gov,NOUN,NOUN	NA	NA
parataxis,NOUN,NOUN	NA	NA
flat,NOUN,NOUN	NA	req-agree
mod,NOUN,PRON	NA	NA
comp:pred,AUX,NOUN	req-agree	NA
subj,AUX,NOUN	req-agree	req-agree
discourse,VERB,PRON	req-agree	NA
udep,VERB,ADJ	req-agree	NA
subj,ADJ,NOUN	req-agree	req-agree
parataxis,ADJ,NOUN	NA	NA
parataxis,NOUN,PROPN	NA	NA
appos,PROPN,PROPN	req-agree	req-agree
conj,AUX,VERB	req-agree	NA
appos,NOUN,NOUN	req-agree	NA
subj,AUX,PRON	req-agree	req-agree
comp:obl,VERB,NOUN	NA	NA
comp:obl,VERB,PROPN	req-agree	NA
mod@gov,VERB,NOUN	NA	req-agree
comp:obl,NOUN,NOUN	NA	NA
flat@name,PROPN,PROPN	req-agree	req-agree
subj,ADJ,PROPN	req-agree	NA
parataxis,NOUN,ADJ	req-agree	NA
subj@pass,AUX,PROPN	req-agree	NA
subj,VERB,ADJ	req-agree	req-agree
conj,ADJ,NOUN	NA	NA
conj,NOUN,ADJ	req-agree	NA
mod,ADJ,ADJ	req-agree	req-agree
comp:obj,VERB,PRON	req-agree	NA
comp:obl,VERB,PRON	NA	NA
parataxis,VERB,VERB	req-agree	NA
udep,AUX,PROPN	NA	req-agree
mod,PROPN,NOUN	req-agree	NA
conj,NOUN,PROPN	NA	NA
conj,PROPN,ADJ	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
comp:obl,NOUN,PRON	NA	NA
udep,AUX,PRON	NA	NA
mod,PRON,ADJ	req-agree	req-agree
parataxis,VERB,NOUN	NA	NA
comp:pred,AUX,PRON	NA	req-agree
udep,AUX,ADJ	req-agree	req-agree
comp:pred,VERB,VERB	req-agree	NA
subj,AUX,PROPN	req-agree	NA
parataxis,AUX,VERB	NA	NA
comp:pred,AUX,ADJ	req-agree	req-agree
conj,ADJ,VERB	req-agree	NA
parataxis,VERB,AUX	NA	NA
compound,NOUN,NOUN	NA	NA
mod,PROPN,VERB	req-agree	req-agree
conj,VERB,ADJ	req-agree	NA
mod,PRON,VERB	req-agree	NA
conj,VERB,NOUN	NA	NA
conj,NOUN,VERB	req-agree	NA
subj,VERB,DET	req-agree	req-agree
mod,NOUN,DET	req-agree	req-agree
comp:obl,ADJ,PRON	req-agree	NA
unk@fixed,ADJ,NOUN	NA	req-agree
mod@relcl,PROPN,VERB	req-agree	NA
unk@fixed,PRON,VERB	req-agree	req-agree
comp:obj,PRON,AUX	NA	NA
det,PRON,DET	req-agree	req-agree
mod,ADJ,PROPN	req-agree	NA
subj,NOUN,PRON	NA	NA
det,ADJ,DET	req-agree	req-agree
subj,ADJ,PRON	req-agree	req-agree
unk@fixed,NOUN,NOUN	NA	NA
mod@relcl,PRON,VERB	req-agree	NA
unk@fixed,DET,NOUN	req-agree	req-agree
parataxis,ADJ,VERB	NA	NA
subj,ADJ,DET	req-agree	req-agree
mod@relcl,DET,VERB	NA	NA
mod,VERB,AUX	NA	NA
appos,PRON,NOUN	req-agree	req-agree
comp:obl,PRON,PRON	NA	NA
unk@fixed,ADJ,ADJ	req-agree	req-agree
comp:obj,VERB,VERB	NA	NA
conj,VERB,PRON	req-agree	req-agree
udep,VERB,PRON	req-agree	NA
conj,AUX,AUX	req-agree	NA
udep,ADJ,NOUN	NA	NA
subj,ADJ,VERB	req-agree	req-agree
parataxis,NOUN,VERB	NA	NA
parataxis,NOUN,PRON	NA	NA
comp:obj,PRON,NOUN	NA	NA
appos,NOUN,ADJ	req-agree	NA
mod@relcl,ADJ,VERB	NA	NA
flat@name,NOUN,PROPN	NA	req-agree
mod@relcl,NOUN,AUX	req-agree	NA
comp:obl,ADJ,NOUN	NA	NA
det,DET,DET	req-agree	req-agree
subj,ADJ,ADJ	req-agree	req-agree
mod,DET,VERB	req-agree	NA
subj@pass,VERB,PRON	req-agree	req-agree
udep,VERB,PROPN	req-agree	NA
parataxis,PRON,NOUN	NA	NA
orphan,NOUN,NOUN	NA	NA
udep,ADJ,ADJ	req-agree	req-agree
orphan,PRON,NOUN	NA	req-agree
parataxis,AUX,PROPN	req-agree	req-agree
mod@relcl,DET,AUX	NA	NA
subj,DET,NOUN	req-agree	req-agree
parataxis,DET,VERB	NA	NA
subj,NOUN,NOUN	req-agree	NA
conj,PRON,PRON	req-agree	req-agree
conj,PRON,VERB	req-agree	NA
det,VERB,DET	req-agree	NA
udep,VERB,DET	req-agree	NA
subj,DET,PRON	req-agree	NA
parataxis,DET,NOUN	req-agree	req-agree
conj,NOUN,PRON	NA	NA
appos,NOUN,PRON	NA	NA
subj@pass,VERB,DET	req-agree	req-agree
det,PROPN,DET	req-agree	req-agree
subj,DET,PROPN	req-agree	req-agree
orphan,ADJ,DET	req-agree	NA
udep,NOUN,ADJ	req-agree	NA
subj@pass,VERB,ADJ	req-agree	req-agree
conj,VERB,PROPN	req-agree	NA
comp:obl,ADJ,PROPN	NA	NA
subj,PRON,PRON	req-agree	req-agree
udep,VERB,AUX	req-agree	req-agree
comp:pred,VERB,NOUN	req-agree	NA
mod,VERB,VERB	req-agree	NA
comp:obj,VERB,ADJ	NA	NA
subj@pass,AUX,PRON	req-agree	req-agree
subj@pass,VERB,PROPN	req-agree	NA
conj,PRON,PROPN	req-agree	req-agree
mod,VERB,PRON	req-agree	NA
