rel,head-pos,child-pos	tree-label	gold-label
comp:obj,VERB,NOUN	NA	NA
mod,NOUN,ADJ	req-agree	req-agree
subj,AUX,PRON	req-agree	req-agree
appos,NOUN,AUX	req-agree	NA
subj,VERB,NOUN	req-agree	req-agree
comp:obl,VERB,PRON	NA	NA
subj,VERB,PRON	req-agree	req-agree
mod,VERB,VERB	req-agree	NA
comp:obj,VERB,PRON	NA	NA
comp:obj,VERB,VERB	NA	NA
subj,AUX,NOUN	req-agree	req-agree
mod,NOUN,VERB	req-agree	NA
conj,VERB,VERB	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
subj@pass,VERB,NOUN	req-agree	req-agree
mod,NOUN,PRON	req-agree	NA
comp:obj,VERB,AUX	NA	NA
comp:obl,AUX,PRON	NA	NA
vocative,VERB,NOUN	NA	NA
comp:obl,VERB,NOUN	NA	NA
det,NOUN,PRON	req-agree	NA
comp:pred,VERB,VERB	req-agree	NA
udep,VERB,PRON	req-agree	NA
conj,NOUN,NOUN	NA	NA
dislocated,AUX,AUX	NA	req-agree
comp:pred,AUX,NOUN	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
det,NOUN,AUX	req-agree	req-agree
comp:pred,AUX,PRON	req-agree	NA
subj,VERB,ADJ	req-agree	req-agree
mod,NOUN,NUM	req-agree	req-agree
comp:obj,VERB,NUM	NA	req-agree
udep,VERB,NOUN	NA	NA
comp:obj,VERB,ADJ	NA	NA
udep,AUX,NOUN	NA	NA
comp:obj,ADJ,VERB	NA	req-agree
conj,ADJ,NOUN	NA	NA
orphan,NOUN,VERB	req-agree	NA
conj,ADJ,AUX	NA	req-agree
comp:obl,ADJ,ADJ	req-agree	NA
mod,PRON,PRON	NA	NA
udep,AUX,PRON	NA	NA
subj@pass,AUX,PROPN	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
comp:aux@pass,AUX,VERB	req-agree	req-agree
mod,NOUN,AUX	req-agree	NA
conj,AUX,VERB	req-agree	NA
appos,PRON,NOUN	NA	NA
det,ADJ,DET	NA	NA
comp:obl,VERB,ADJ	req-agree	NA
subj@pass,VERB,ADJ	req-agree	req-agree
comp:obl,ADJ,PRON	NA	NA
comp:pred,VERB,NOUN	req-agree	NA
mod,VERB,ADJ	req-agree	NA
subj,VERB,VERB	req-agree	req-agree
subj@pass,AUX,PRON	req-agree	req-agree
subj@pass,VERB,PRON	req-agree	NA
mod,DET,VERB	req-agree	req-agree
subj,AUX,ADJ	req-agree	req-agree
appos,NOUN,NOUN	NA	NA
mod,NOUN,PROPN	req-agree	NA
conj,PROPN,PROPN	NA	req-agree
subj,VERB,PROPN	req-agree	req-agree
mod,ADJ,ADJ	req-agree	NA
appos,ADJ,NOUN	NA	NA
udep,ADJ,NOUN	NA	NA
dislocated,VERB,VERB	req-agree	NA
mod,ADJ,VERB	req-agree	NA
appos,PROPN,NOUN	NA	req-agree
comp:pred,VERB,ADJ	req-agree	NA
parataxis,VERB,AUX	NA	req-agree
subj@pass,AUX,NOUN	req-agree	req-agree
comp:pred,AUX,PROPN	req-agree	NA
appos,NOUN,NUM	req-agree	NA
dislocated,VERB,PRON	req-agree	req-agree
comp:obj,VERB,PROPN	NA	NA
det,PROPN,DET	NA	req-agree
comp:obl,VERB,PROPN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
conj,NOUN,ADJ	req-agree	NA
mod,ADJ,PROPN	NA	NA
det,PROPN,PRON	NA	NA
conj,PROPN,VERB	req-agree	NA
subj,AUX,VERB	req-agree	req-agree
comp:aux,AUX,VERB	req-agree	req-agree
conj,ADJ,VERB	req-agree	req-agree
conj,VERB,AUX	req-agree	NA
mod,ADJ,NOUN	NA	NA
comp:pred,AUX,NUM	req-agree	NA
mod,NUM,NOUN	NA	NA
dislocated,AUX,ADJ	NA	req-agree
mod,PRON,VERB	req-agree	req-agree
subj@pass,AUX,VERB	req-agree	NA
comp:pred,VERB,PRON	NA	req-agree
conj,PRON,AUX	NA	NA
det,ADJ,AUX	NA	req-agree
conj,AUX,AUX	NA	NA
comp:pred,AUX,VERB	req-agree	req-agree
mod,PROPN,VERB	req-agree	NA
comp:pred,VERB,PROPN	req-agree	req-agree
mod,PROPN,PROPN	NA	req-agree
appos,PROPN,AUX	NA	req-agree
conj,ADJ,PROPN	NA	req-agree
subj@pass,VERB,VERB	req-agree	NA
subj,ADJ,ADJ	req-agree	req-agree
subj,ADJ,VERB	req-agree	req-agree
subj,ADJ,NOUN	req-agree	NA
appos,PRON,ADJ	req-agree	req-agree
mod,PRON,AUX	NA	req-agree
det,VERB,DET	req-agree	NA
comp:obl,VERB,VERB	NA	req-agree
comp:obj,ADJ,PRON	NA	req-agree
mod,AUX,ADJ	NA	NA
mod,AUX,AUX	NA	NA
mod,DET,AUX	NA	NA
parataxis,VERB,VERB	NA	NA
comp:obl,ADJ,NOUN	NA	NA
mod,AUX,VERB	req-agree	NA
subj@pass,AUX,ADJ	req-agree	req-agree
det,ADJ,PRON	NA	NA
subj,AUX,AUX	req-agree	req-agree
comp:obl,VERB,NUM	NA	req-agree
