rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,PRON	NA	NA
udep@tmod,VERB,NOUN	NA	NA
comp:obj,VERB,NOUN	NA	NA
udep,VERB,NOUN	NA	NA
udep@tmod,AUX,NOUN	NA	NA
subj,AUX,NOUN	NA	NA
udep,AUX,NOUN	NA	NA
comp:aux@q,AUX,VERB	NA	NA
udep,VERB,PRON	NA	NA
comp:pred,VERB,VERB	NA	NA
udep,VERB,PROPN	req-agree	NA
mod,NOUN,VERB	NA	NA
conj,VERB,VERB	NA	req-agree
subj,VERB,PROPN	req-agree	req-agree
comp:aux@q,AUX,PROPN	NA	req-agree
udep,VERB,AUX	NA	NA
udep,AUX,PROPN	req-agree	NA
mod@part,NOUN,PRON	NA	NA
subj,AUX,PRON	NA	NA
comp:pred,AUX,PRON	NA	req-agree
comp:obj,VERB,AUX	NA	NA
comp:pred,AUX,NOUN	NA	NA
mod,VERB,AUX	NA	NA
mod,NOUN,PROPN	req-agree	NA
subj,VERB,NOUN	NA	NA
det,NOUN,DET	NA	NA
subj@cop,AUX,NOUN	NA	NA
mod@part,DET,NOUN	NA	NA
udep,VERB,DET	NA	req-agree
udep@tmod,NOUN,ADP	NA	req-agree
mod,NOUN,PRON	NA	NA
compound,NOUN,VERB	NA	NA
mod,VERB,VERB	NA	NA
comp:pred,AUX,PROPN	req-agree	NA
comp:aux,AUX,NOUN	NA	NA
subj@cop,ADJ,VERB	NA	req-agree
comp:pred,AUX,VERB	NA	NA
comp:obj,VERB,VERB	NA	NA
mod,NOUN,NOUN	NA	NA
compound@redup,NOUN,NOUN	NA	req-agree
parataxis,VERB,VERB	NA	NA
comp:obj,VERB,PROPN	req-agree	NA
compound@redup,PROPN,PROPN	req-agree	req-agree
compound@redup,NOUN,AUX	NA	req-agree
unk@fixed,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
conj,PROPN,PROPN	req-agree	req-agree
compound,VERB,NOUN	NA	NA
comp:obj,VERB,PRON	NA	NA
subj,AUX,PROPN	req-agree	req-agree
dislocated,VERB,PROPN	NA	req-agree
dislocated,VERB,NOUN	NA	req-agree
subj@cop,PRON,VERB	NA	req-agree
comp:aux@q,AUX,PRON	NA	NA
comp:aux@q,AUX,NOUN	NA	NA
mod,ADJ,PRON	NA	req-agree
parataxis,NOUN,VERB	NA	req-agree
subj,NOUN,PROPN	NA	req-agree
comp:obj,ADP,PRON	NA	req-agree
comp:pred,AUX,ADP	NA	req-agree
udep,ADJ,NOUN	NA	req-agree
subj,ADJ,NOUN	NA	req-agree
udep,ADJ,PRON	NA	req-agree
udep,ADJ,PROPN	NA	req-agree
mod,ADJ,NOUN	NA	req-agree
mod@tmod,NOUN,NOUN	NA	req-agree
comp:aux,AUX,PRON	NA	NA
mod@part,PRON,NOUN	NA	NA
conj,NOUN,PRON	NA	NA
conj,PRON,NOUN	NA	NA
conj,PROPN,PRON	NA	req-agree
conj,PRON,PRON	NA	req-agree
conj,PRON,PROPN	NA	req-agree
mod,VERB,PROPN	NA	NA
subj,VERB,VERB	NA	req-agree
mod,PRON,NOUN	NA	NA
subj,NOUN,NOUN	NA	NA
mod,NUM,NOUN	NA	req-agree
subj,NOUN,PRON	NA	req-agree
udep,VERB,VERB	NA	NA
mod,VERB,NOUN	NA	NA
discourse,VERB,PROPN	NA	NA
comp:obl@agent,VERB,PROPN	NA	req-agree
comp:obl@agent,VERB,NOUN	NA	NA
udep@tmod,VERB,NUM	NA	req-agree
compound@redup,PRON,PRON	NA	req-agree
comp:obl@agent,VERB,PRON	NA	req-agree
mod,AUX,DET	NA	req-agree
unk@fixed,DET,NOUN	NA	req-agree
comp:obj,ADP,VERB	NA	req-agree
compound,VERB,ADP	NA	req-agree
compound,NOUN,NOUN	NA	NA
mod,VERB,DET	NA	NA
mod,PROPN,PRON	NA	req-agree
subj,PRON,NOUN	NA	NA
mod,VERB,PRON	NA	req-agree
comp:pred,VERB,NOUN	NA	NA
udep,VERB,NUM	NA	req-agree
comp:pred,VERB,PROPN	NA	NA
mod@part,NOUN,NOUN	NA	NA
mod@part,NUM,NOUN	NA	NA
comp:aux,AUX,NUM	NA	req-agree
comp:pred,VERB,PRON	NA	req-agree
flat,PROPN,PROPN	req-agree	req-agree
subj,PROPN,NOUN	NA	req-agree
mod,PROPN,NOUN	NA	NA
subj@cop,PRON,NOUN	NA	NA
comp:obj,NOUN,PRON	NA	req-agree
comp:obj,NOUN,NOUN	NA	NA
subj@cop,PROPN,NOUN	NA	req-agree
mod@part,PROPN,NOUN	NA	NA
det,PRON,DET	NA	NA
subj,VERB,NUM	NA	req-agree
conj,NUM,NOUN	NA	req-agree
compound,NOUN,PROPN	req-agree	req-agree
comp:obj,NOUN,PROPN	req-agree	req-agree
mod@comp,NOUN,NOUN	NA	req-agree
mod@part,NUM,NUM	NA	req-agree
mod,NUM,NUM	NA	req-agree
mod,NOUN,NUM	NA	req-agree
subj@cop,AUX,PROPN	req-agree	req-agree
appos,PRON,NOUN	NA	req-agree
discourse,VERB,NOUN	NA	NA
discourse,VERB,VERB	NA	NA
compound,NUM,NUM	NA	req-agree
mod@tmod,NUM,NOUN	NA	req-agree
conj,VERB,AUX	NA	NA
parataxis,AUX,VERB	NA	req-agree
mod@tmod,VERB,NOUN	NA	req-agree
mod,AUX,VERB	NA	NA
subj@cop,AUX,VERB	NA	NA
unk@fixed,DET,DET	NA	req-agree
subj@cop,NOUN,NOUN	NA	NA
conj,PROPN,NOUN	NA	req-agree
mod,PRON,PROPN	req-agree	req-agree
mod,PRON,PRON	NA	NA
udep,AUX,PRON	NA	NA
subj,AUX,VERB	NA	req-agree
subj,NOUN,AUX	NA	req-agree
compound,VERB,VERB	NA	req-agree
vocative,VERB,PROPN	NA	req-agree
vocative,PRON,PROPN	NA	req-agree
parataxis,PRON,VERB	NA	req-agree
subj@cop,NOUN,PRON	NA	req-agree
subj@cop,NOUN,VERB	NA	req-agree
subj,PRON,PRON	NA	req-agree
conj,VERB,PRON	NA	req-agree
mod,PRON,AUX	NA	req-agree
conj,NOUN,VERB	NA	NA
det,VERB,DET	NA	req-agree
det,NOUN,PRON	NA	req-agree
subj,PRON,PROPN	NA	req-agree
subj,NUM,NOUN	NA	req-agree
mod@part,PRON,PRON	NA	NA
subj,ADP,NOUN	NA	req-agree
comp:obj,VERB,ADP	NA	req-agree
udep@tmod,VERB,PRON	NA	NA
unk@fixed,PRON,NOUN	NA	req-agree
udep@tmod,NOUN,NOUN	NA	req-agree
conj,NOUN,AUX	NA	req-agree
mod,AUX,AUX	NA	NA
comp:aux,AUX,AUX	NA	req-agree
mod,PRON,VERB	NA	NA
udep@tmod,ADP,NOUN	NA	req-agree
udep,ADP,NOUN	NA	req-agree
comp:obj,ADP,AUX	NA	req-agree
udep@tmod,AUX,NUM	NA	NA
comp:pred,AUX,DET	NA	req-agree
mod,PROPN,PROPN	req-agree	NA
subj@cop,NOUN,AUX	NA	req-agree
comp:aux,AUX,VERB	NA	req-agree
comp:pred,NOUN,VERB	NA	req-agree
subj,VERB,AUX	NA	req-agree
subj@cop,AUX,NUM	NA	req-agree
comp:pred,AUX,NUM	NA	req-agree
subj@cop,AUX,AUX	NA	req-agree
comp:pred,VERB,AUX	NA	NA
mod,NOUN,AUX	NA	NA
subj,PROPN,PROPN	NA	req-agree
det,PROPN,DET	NA	req-agree
dislocated,VERB,PRON	NA	req-agree
mod,VERB,ADP	NA	req-agree
compound,VERB,PRON	NA	req-agree
vocative,VERB,NOUN	NA	req-agree
comp:obj,VERB,NUM	NA	req-agree
compound@redup,VERB,VERB	NA	req-agree
discourse,VERB,DET	NA	req-agree
unk@fixed,DET,PRON	NA	req-agree
mod,NOUN,DET	NA	req-agree
orphan,VERB,PROPN	NA	req-agree
orphan,VERB,NOUN	NA	req-agree
cc,NOUN,DET	NA	req-agree
cc,PROPN,DET	NA	req-agree
subj@cop,VERB,VERB	NA	NA
conj,NOUN,PROPN	req-agree	NA
parataxis,AUX,AUX	NA	req-agree
udep,AUX,VERB	NA	req-agree
appos,NOUN,NOUN	NA	NA
appos,PROPN,PROPN	req-agree	req-agree
appos,PROPN,NOUN	NA	req-agree
discourse,NOUN,PRON	NA	req-agree
udep,NOUN,NOUN	NA	NA
