rel,head-pos,child-pos	tree-label	gold-label
mod,VERB,VERB	NA	NA
comp:obl,VERB,PRON	NA	NA
conj,VERB,VERB	NA	NA
unk@expl,VERB,PRON	NA	NA
udep,VERB,PRON	NA	NA
comp:obj,VERB,PRON	NA	NA
subj,VERB,PRON	NA	req-agree
mod,PRON,VERB	NA	req-agree
conj,VERB,AUX	NA	NA
mod,AUX,VERB	NA	req-agree
comp:obj,AUX,VERB	NA	req-agree
subj,AUX,PRON	NA	req-agree
parataxis,VERB,VERB	NA	NA
comp:obl,AUX,PRON	NA	NA
conj,PRON,PRON	NA	NA
comp:obj,VERB,VERB	NA	NA
conj,AUX,VERB	NA	req-agree
subj,VERB,VERB	NA	req-agree
mod,VERB,AUX	NA	NA
subj,AUX,VERB	NA	req-agree
conj,AUX,AUX	NA	req-agree
unk@fixed,VERB,VERB	NA	req-agree
comp:obj,VERB,ADJ	NA	req-agree
subj@pass,AUX,VERB	NA	req-agree
dislocated,VERB,VERB	NA	NA
comp:pred,AUX,VERB	NA	NA
unk@expl,AUX,PRON	NA	req-agree
comp:obj,VERB,AUX	NA	NA
mod,AUX,AUX	NA	req-agree
parataxis,AUX,VERB	NA	NA
subj,VERB,ADJ	NA	NA
comp:obj,AUX,AUX	NA	req-agree
parataxis,AUX,AUX	NA	req-agree
dislocated,AUX,AUX	NA	req-agree
subj,AUX,AUX	NA	req-agree
unk,VERB,PRON	NA	NA
dislocated,VERB,AUX	NA	NA
comp:pred,AUX,PRON	NA	req-agree
parataxis,VERB,AUX	NA	NA
