rel,head-pos,child-pos	tree-label	gold-label
mod@poss,NOUN,PROPN	req-agree	NA
mod,NOUN,ADJ	NA	NA
compound,PROPN,NOUN	NA	req-agree
subj,VERB,PROPN	req-agree	req-agree
flat@name,PROPN,PROPN	req-agree	req-agree
compound,NOUN,NOUN	NA	NA
udep@tmod,ADJ,NOUN	NA	NA
mod@relcl,NOUN,ADJ	NA	NA
udep,VERB,NOUN	NA	NA
mod@poss,NOUN,NOUN	NA	NA
det,NOUN,DET	NA	NA
subj,AUX,NOUN	NA	NA
comp:pred,AUX,ADJ	NA	NA
mod,VERB,AUX	NA	NA
udep,NOUN,NOUN	NA	NA
subj,VERB,NOUN	NA	NA
comp:obj,VERB,VERB	NA	NA
compound,NOUN,PROPN	req-agree	NA
comp:obj,NOUN,NOUN	NA	NA
unk@fixed,NOUN,NOUN	NA	NA
comp:pred,AUX,NOUN	NA	NA
mod,NOUN,AUX	NA	req-agree
comp:pred,NOUN,NOUN	NA	NA
comp:pred,VERB,NOUN	NA	NA
udep,ADJ,NOUN	NA	NA
comp:obl,VERB,NOUN	NA	NA
subj,NOUN,NOUN	NA	NA
mod@poss,NOUN,PRON	NA	NA
conj,VERB,NOUN	NA	req-agree
conj,ADJ,ADJ	NA	req-agree
mod,NOUN,NUM	NA	req-agree
udep@tmod,VERB,NOUN	NA	NA
mod,VERB,NOUN	NA	NA
comp:obj,VERB,NOUN	NA	NA
mod@arg,ADJ,NOUN	NA	NA
mod,AUX,VERB	NA	NA
mod,AUX,AUX	NA	NA
mod,NUM,NUM	NA	req-agree
udep,AUX,NOUN	NA	NA
compound,AUX,ADJ	NA	NA
comp:obj,VERB,AUX	NA	NA
conj,AUX,VERB	NA	req-agree
udep@tmod,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
parataxis,VERB,VERB	NA	NA
conj,VERB,VERB	NA	NA
subj,AUX,PROPN	req-agree	req-agree
udep@tmod,AUX,NOUN	NA	NA
comp:aux,AUX,VERB	NA	NA
subj,AUX,PRON	NA	NA
comp:aux,AUX,NOUN	NA	NA
conj,VERB,AUX	NA	NA
clf,NOUN,NOUN	NA	req-agree
compound,NOUN,PRON	NA	NA
comp:obj,VERB,PROPN	req-agree	req-agree
subj,VERB,PRON	NA	NA
mod,VERB,PRON	NA	NA
compound,PRON,NOUN	NA	NA
conj,PRON,VERB	NA	req-agree
compound,NOUN,NUM	NA	NA
comp:pred,VERB,AUX	NA	NA
compound,ADJ,NOUN	NA	req-agree
comp:pred,VERB,ADJ	NA	req-agree
mod,NOUN,VERB	NA	req-agree
compound,PRON,PROPN	req-agree	req-agree
appos,NOUN,PRON	NA	req-agree
conj,ADJ,VERB	NA	req-agree
compound,PROPN,NUM	NA	req-agree
mod@poss,PROPN,PROPN	req-agree	req-agree
conj,NOUN,PROPN	req-agree	NA
comp:aux,AUX,ADJ	NA	NA
compound,NOUN,AUX	NA	req-agree
conj,ADJ,NOUN	NA	NA
conj,PROPN,PROPN	req-agree	req-agree
comp:obj,NOUN,PRON	NA	NA
comp:obl,VERB,PROPN	req-agree	req-agree
comp:obl,NOUN,NOUN	NA	NA
mod,ADJ,NUM	NA	req-agree
mod@poss,VERB,PROPN	NA	req-agree
comp:obj,ADJ,NOUN	NA	NA
mod,NOUN,ADV	NA	NA
comp:pred,NOUN,AUX	NA	NA
mod@poss,ADJ,NOUN	NA	NA
compound,NUM,NOUN	NA	req-agree
mod@emph,NOUN,ADV	NA	NA
parataxis,VERB,AUX	NA	req-agree
mod@relcl,NOUN,NOUN	NA	NA
unk@fixed,NOUN,ADJ	NA	req-agree
det@predet,NOUN,DET	NA	NA
mod,VERB,ADV	NA	NA
udep,NOUN,PROPN	req-agree	req-agree
mod,ADJ,ADJ	NA	req-agree
subj,PRON,NOUN	NA	NA
subj,ADJ,NOUN	NA	NA
comp:obl,VERB,PRON	NA	req-agree
comp:obl,NOUN,PROPN	req-agree	req-agree
unk@fixed,NOUN,VERB	NA	NA
mod@poss,ADJ,PROPN	req-agree	req-agree
comp:obl,ADJ,NOUN	NA	NA
mod@relcl,PROPN,ADJ	NA	req-agree
mod@relcl,PROPN,AUX	NA	req-agree
subj,NOUN,PROPN	req-agree	req-agree
comp:obj,NOUN,PROPN	req-agree	req-agree
conj,NOUN,VERB	NA	NA
compound,NOUN,ADJ	NA	NA
compound,ADJ,PROPN	req-agree	req-agree
comp:obj,ADJ,PRON	NA	NA
comp:obj,ADP,NOUN	NA	NA
comp:obl@x,NOUN,ADP	NA	NA
mod@arg,VERB,NOUN	NA	req-agree
compound,VERB,ADJ	NA	req-agree
mod@relcl,NOUN,VERB	NA	NA
subj,VERB,AUX	NA	req-agree
compound,AUX,NOUN	NA	req-agree
mod,NOUN,PROPN	req-agree	NA
comp:pred,AUX,PRON	NA	NA
det,ADJ,DET	NA	req-agree
udep@tmod,ADP,NOUN	NA	req-agree
mod,NOUN,PRON	NA	NA
mod@relcl,NOUN,AUX	NA	NA
mod,ADJ,NOUN	NA	req-agree
appos,NOUN,PROPN	req-agree	NA
udep,NOUN,ADP	NA	NA
mod,ADJ,ADV	NA	req-agree
conj,PROPN,NOUN	NA	NA
mod@relcl,PRON,ADJ	NA	req-agree
comp:aux,AUX,PRON	NA	req-agree
vocative,AUX,NOUN	NA	req-agree
subj,NOUN,PRON	NA	req-agree
mod@arg,NOUN,NOUN	NA	NA
det,PRON,DET	NA	req-agree
udep,NUM,NOUN	NA	req-agree
parataxis,AUX,AUX	NA	req-agree
parataxis,AUX,VERB	NA	NA
conj,NUM,NUM	NA	req-agree
mod@poss,AUX,NOUN	NA	NA
mod,NUM,ADV	NA	req-agree
comp:obj,AUX,NOUN	NA	NA
mod@poss,ADJ,PRON	NA	req-agree
mod,AUX,NOUN	NA	NA
comp:obl,ADJ,PRON	NA	NA
comp:pred,AUX,VERB	NA	req-agree
comp:obj,ADP,PROPN	req-agree	req-agree
mod,NOUN,ADP	NA	req-agree
comp:obj,VERB,PRON	NA	NA
parataxis,PRON,VERB	NA	req-agree
subj,PRON,PROPN	req-agree	req-agree
conj,ADJ,AUX	NA	req-agree
mod,PRON,ADJ	NA	NA
subj,ADJ,DET	NA	req-agree
udep,ADJ,AUX	NA	req-agree
mod@poss,NOUN,AUX	NA	req-agree
comp:pred,ADJ,NOUN	NA	NA
parataxis,NOUN,VERB	NA	NA
udep,ADJ,PROPN	req-agree	req-agree
comp:obj,ADJ,PROPN	req-agree	req-agree
mod,VERB,ADJ	NA	NA
mod@relcl,X,ADJ	NA	req-agree
comp:obj,VERB,X	NA	req-agree
flat,X,NOUN	NA	req-agree
