rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	NA	NA
mod,NOUN,ADJ	NA	req-agree
conj,NOUN,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
unk,NOUN,NOUN	NA	NA
mod,NOUN,PROPN	NA	NA
mod,PROPN,ADJ	NA	req-agree
conj,PROPN,PROPN	NA	NA
appos,NOUN,PROPN	NA	NA
flat,PROPN,PROPN	NA	NA
conj,ADJ,ADJ	NA	req-agree
mod,PROPN,NUM	NA	req-agree
udep,VERB,NOUN	NA	NA
conj,VERB,VERB	NA	req-agree
appos,NOUN,NOUN	NA	NA
mod,NOUN,NUM	NA	req-agree
conj,NUM,NUM	NA	req-agree
appos,PROPN,PROPN	NA	NA
mod,ADJ,NOUN	NA	NA
mod,PROPN,NOUN	NA	NA
subj,VERB,NOUN	NA	NA
mod,ADJ,PROPN	NA	req-agree
conj,PROPN,NOUN	NA	NA
mod,ADJ,ADJ	NA	req-agree
comp:obj,VERB,NUM	NA	req-agree
compound,NOUN,NOUN	NA	req-agree
conj,NOUN,ADJ	NA	req-agree
subj,ADJ,NOUN	NA	NA
parataxis,PROPN,NOUN	NA	NA
compound,NOUN,PROPN	NA	NA
mod,NOUN,PRON	NA	NA
mod,NOUN,DET	NA	req-agree
parataxis,NOUN,NOUN	NA	NA
comp:obj,NOUN,NOUN	NA	NA
comp:pred,AUX,ADJ	NA	req-agree
list,NOUN,NOUN	NA	NA
parataxis,PROPN,PROPN	NA	req-agree
list,PROPN,PROPN	NA	NA
comp:obj,VERB,NOUN	NA	NA
conj,NOUN,PROPN	NA	NA
mod,DET,NOUN	NA	NA
appos,PROPN,NOUN	NA	NA
det,ADJ,DET	NA	req-agree
mod@gov,NOUN,NUM	NA	req-agree
subj,NOUN,PROPN	NA	req-agree
subj,NOUN,PRON	NA	NA
unk,PROPN,PROPN	NA	req-agree
flat,NOUN,NOUN	NA	NA
flat,PROPN,ADJ	NA	req-agree
mod,ADJ,DET	NA	NA
flat,PROPN,NOUN	NA	NA
orphan,NOUN,NOUN	NA	NA
conj,PRON,NOUN	NA	NA
comp:obj,ADJ,NOUN	NA	req-agree
comp:obj,VERB,DET	NA	NA
subj,NOUN,NOUN	NA	NA
appos,ADJ,ADJ	NA	req-agree
comp:obj,VERB,PRON	NA	NA
appos,PROPN,ADJ	NA	req-agree
appos,ADJ,NOUN	NA	NA
appos,NUM,NOUN	NA	NA
appos,PROPN,NUM	NA	NA
mod,NUM,NOUN	NA	req-agree
mod,PROPN,PROPN	NA	req-agree
parataxis,ADJ,NOUN	NA	req-agree
list,NOUN,PROPN	NA	NA
appos,DET,NOUN	NA	NA
comp:obl,ADJ,NOUN	NA	NA
compound,ADJ,ADJ	NA	req-agree
