rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
comp:obj,VERB,NOUN	NA	NA
parataxis,NOUN,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
appos,NOUN,NOUN	NA	NA
comp:obj,VERB,PRON	req-agree	NA
subj,ADJ,PRON	req-agree	req-agree
det@poss,NOUN,DET	req-agree	req-agree
subj,VERB,NOUN	NA	req-agree
det,PRON,DET	NA	req-agree
conj,NOUN,VERB	req-agree	NA
conj,VERB,NOUN	NA	req-agree
subj@pass,VERB,NOUN	NA	req-agree
mod,NOUN,VERB	req-agree	req-agree
det,ADJ,DET	req-agree	req-agree
udep,NOUN,NOUN	NA	req-agree
comp:obl,VERB,PRON	req-agree	req-agree
conj,ADJ,NOUN	NA	req-agree
comp:pred,VERB,NOUN	req-agree	req-agree
det@predet,NOUN,DET	req-agree	req-agree
compound,NOUN,NOUN	NA	NA
subj,ADJ,NOUN	NA	req-agree
mod,PRON,ADJ	req-agree	req-agree
udep,VERB,NOUN	NA	NA
comp:obj,NOUN,PRON	req-agree	req-agree
parataxis,NOUN,PRON	req-agree	req-agree
unk,NOUN,NOUN	NA	NA
mod,PRON,VERB	req-agree	req-agree
parataxis,NOUN,SYM	req-agree	NA
