rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
det,NOUN,DET	req-agree	req-agree
mod,NOUN,NOUN	req-agree	NA
det,ADJ,DET	req-agree	req-agree
mod,NOUN,PRON	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
mod,ADJ,ADJ	req-agree	NA
appos,NOUN,ADJ	NA	req-agree
mod,NOUN,NUM	req-agree	req-agree
compound,NOUN,ADJ	req-agree	req-agree
comp:pred,NOUN,ADJ	req-agree	NA
udep,ADJ,NOUN	NA	NA
conj,NUM,NUM	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
mod,PRON,NOUN	NA	NA
compound,NOUN,NOUN	req-agree	req-agree
appos,PRON,PRON	req-agree	req-agree
comp:pred,ADJ,ADJ	req-agree	req-agree
orphan,NOUN,ADJ	req-agree	req-agree
conj,ADJ,NOUN	NA	NA
conj,DET,DET	req-agree	req-agree
conj,NOUN,ADJ	NA	req-agree
orphan,DET,NOUN	NA	NA
conj,DET,PRON	req-agree	NA
orphan,PRON,NOUN	NA	req-agree
conj,NOUN,PRON	NA	req-agree
det,DET,DET	req-agree	req-agree
conj,PRON,PRON	req-agree	req-agree
mod,DET,ADJ	NA	NA
conj,PRON,NOUN	req-agree	NA
det,NUM,DET	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
appos,NOUN,PRON	NA	req-agree
mod,NOUN,DET	req-agree	req-agree
mod,PRON,ADJ	NA	NA
compound,NUM,NUM	req-agree	req-agree
udep,NUM,NOUN	NA	NA
appos,PRON,ADJ	req-agree	req-agree
comp:obj,ADJ,PRON	req-agree	NA
mod,ADJ,PRON	NA	req-agree
mod,ADJ,NUM	NA	req-agree
mod,NUM,NOUN	NA	req-agree
conj,NOUN,DET	NA	req-agree
udep,DET,NOUN	NA	req-agree
appos,NUM,NOUN	NA	NA
mod,NUM,ADJ	NA	NA
orphan,NOUN,DET	req-agree	req-agree
udep,NUM,DET	req-agree	NA
mod,PRON,DET	NA	req-agree
appos,PRON,NOUN	NA	req-agree
appos,NOUN,NUM	req-agree	NA
conj,NUM,NOUN	NA	NA
udep,ADJ,PRON	req-agree	req-agree
appos,NOUN,DET	NA	NA
appos,NUM,NUM	req-agree	req-agree
udep,PRON,NOUN	NA	NA
conj,ADJ,DET	req-agree	req-agree
