rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	NA	req-agree
subj,VERB,NOUN	NA	NA
comp:obj,VERB,NOUN	NA	NA
mod,NOUN,ADJ	NA	req-agree
subj,AUX,NOUN	NA	NA
comp:pred,AUX,NOUN	NA	NA
subj,VERB,DET	NA	NA
mod,NOUN,VERB	NA	NA
subj,AUX,PRON	NA	req-agree
conj,NOUN,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
comp:pred,AUX,ADJ	NA	req-agree
conj,AUX,VERB	NA	NA
conj,ADJ,ADJ	NA	req-agree
unk,NOUN,NOUN	NA	req-agree
mod,NOUN,PROPN	NA	NA
mod,PROPN,ADJ	NA	req-agree
conj,PROPN,PROPN	NA	req-agree
mod,VERB,ADV	NA	req-agree
appos,NOUN,PROPN	NA	NA
flat,PROPN,PROPN	NA	req-agree
subj,VERB,PRON	NA	req-agree
conj,VERB,VERB	NA	NA
comp:obj,VERB,PRON	NA	NA
comp:obl,VERB,NOUN	NA	NA
mod,PROPN,NUM	NA	req-agree
comp:aux,AUX,VERB	NA	NA
subj,AUX,DET	NA	req-agree
mod,PROPN,AUX	NA	NA
udep,VERB,NOUN	NA	NA
appos,NOUN,NOUN	NA	NA
mod,NOUN,NUM	NA	NA
mod,NOUN,AUX	NA	NA
subj,AUX,PROPN	NA	NA
appos,PROPN,PROPN	NA	req-agree
comp:pred,VERB,NOUN	NA	NA
comp:obj,VERB,ADJ	NA	req-agree
mod,ADJ,NOUN	NA	NA
conj,VERB,AUX	NA	NA
subj,VERB,PROPN	NA	NA
mod,PROPN,NOUN	NA	NA
parataxis,VERB,VERB	NA	NA
comp:pred,NOUN,AUX	NA	req-agree
mod,ADJ,PROPN	NA	req-agree
conj,PROPN,NOUN	NA	NA
conj,AUX,AUX	NA	NA
det,VERB,DET	NA	req-agree
comp:pred,VERB,ADJ	NA	req-agree
mod,ADJ,ADJ	NA	req-agree
subj,AUX,ADJ	NA	req-agree
conj,AUX,PROPN	NA	NA
comp:pred,VERB,DET	NA	req-agree
parataxis,NOUN,VERB	NA	req-agree
comp:obj,VERB,NUM	NA	req-agree
discourse,VERB,VERB	NA	req-agree
compound,NOUN,NOUN	NA	req-agree
comp:obj,VERB,PROPN	NA	NA
mod,VERB,VERB	NA	NA
conj,NOUN,VERB	NA	req-agree
comp:obj,VERB,DET	NA	NA
udep,VERB,PROPN	NA	NA
mod,PROPN,VERB	NA	NA
comp:pred,AUX,PRON	NA	NA
conj,NOUN,ADJ	NA	req-agree
subj,ADJ,NOUN	NA	req-agree
subj,VERB,ADJ	NA	req-agree
mod,PROPN,PROPN	NA	NA
parataxis,PROPN,NOUN	NA	req-agree
compound,NOUN,PROPN	NA	req-agree
mod,NOUN,PRON	NA	NA
unk@fixed,PRON,VERB	NA	req-agree
comp:obl,VERB,PRON	NA	NA
appos,NOUN,AUX	NA	NA
conj,VERB,NOUN	NA	NA
mod,NOUN,DET	NA	req-agree
parataxis,NOUN,NOUN	NA	NA
comp:obj,NOUN,NOUN	NA	NA
comp:obj,NOUN,AUX	NA	req-agree
comp:aux,AUX,AUX	NA	req-agree
list,NOUN,NOUN	NA	req-agree
parataxis,PROPN,PROPN	NA	req-agree
list,PROPN,PROPN	NA	req-agree
subj,ADJ,DET	NA	NA
subj@pass,AUX,NOUN	NA	req-agree
comp:aux@pass,AUX,ADJ	NA	req-agree
conj,NOUN,PROPN	NA	NA
parataxis,AUX,NOUN	NA	NA
mod,DET,NOUN	NA	req-agree
udep,AUX,NOUN	NA	req-agree
cc,VERB,PRON	NA	req-agree
appos,PROPN,NOUN	NA	NA
conj,AUX,NOUN	NA	req-agree
udep,VERB,ADJ	NA	NA
det,ADJ,DET	NA	req-agree
mod@gov,NOUN,NUM	NA	req-agree
parataxis,VERB,NOUN	NA	req-agree
subj,NOUN,PROPN	NA	req-agree
subj,NOUN,PRON	NA	req-agree
comp:obl,VERB,DET	NA	NA
comp:pred,NOUN,VERB	NA	NA
appos,NOUN,VERB	NA	NA
comp:aux@pass,AUX,VERB	NA	req-agree
conj,VERB,PROPN	NA	req-agree
unk,PROPN,PROPN	NA	req-agree
flat,NOUN,NOUN	NA	req-agree
flat,PROPN,ADJ	NA	req-agree
mod,ADJ,DET	NA	NA
flat,PROPN,NOUN	NA	NA
comp:obl,VERB,PROPN	NA	NA
mod,VERB,ADJ	NA	NA
orphan,NOUN,NOUN	NA	req-agree
conj,PRON,NOUN	NA	req-agree
comp:obj,ADJ,NOUN	NA	req-agree
subj,NOUN,NOUN	NA	req-agree
mod,AUX,NOUN	NA	req-agree
appos,ADJ,ADJ	NA	req-agree
appos,PROPN,ADJ	NA	req-agree
udep,VERB,NUM	NA	NA
mod,ADJ,VERB	NA	req-agree
appos,ADJ,NOUN	NA	req-agree
conj,AUX,ADJ	NA	req-agree
appos,NUM,NOUN	NA	req-agree
mod,AUX,VERB	NA	NA
comp:pred,AUX,NUM	NA	req-agree
appos,PROPN,NUM	NA	req-agree
mod,NUM,NOUN	NA	NA
parataxis,VERB,ADJ	NA	NA
parataxis,ADJ,NOUN	NA	req-agree
list,NOUN,PROPN	NA	req-agree
appos,DET,NOUN	NA	req-agree
parataxis,VERB,AUX	NA	NA
mod,AUX,AUX	NA	req-agree
conj,NOUN,AUX	NA	req-agree
comp:obj,VERB,VERB	NA	req-agree
comp:obl,ADJ,NOUN	NA	req-agree
compound,ADJ,ADJ	NA	req-agree
mod,VERB,AUX	NA	NA
