rel,head-pos,child-pos	tree-label	gold-label
comp:obj,VERB,PRON	req-agree	NA
parataxis@discourse,AUX,VERB	NA	req-agree
comp:pred,AUX,ADJ	req-agree	NA
conj,ADJ,ADJ	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
subj,AUX,NOUN	req-agree	req-agree
conj,AUX,AUX	req-agree	NA
comp:aux,AUX,VERB	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
parataxis,AUX,AUX	NA	NA
discourse,AUX,ADJ	req-agree	req-agree
subj,VERB,NOUN	req-agree	req-agree
comp:aux@pass,AUX,VERB	req-agree	req-agree
parataxis,AUX,VERB	req-agree	NA
parataxis,ADJ,VERB	NA	req-agree
mod@relcl,PRON,AUX	req-agree	req-agree
comp:obj,VERB,NOUN	req-agree	NA
parataxis,VERB,VERB	req-agree	NA
comp:obj,VERB,VERB	NA	NA
subj,AUX,PRON	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
subj,VERB,PRON	req-agree	NA
comp:pred,VERB,NOUN	req-agree	req-agree
parataxis,NOUN,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
comp:obl,VERB,PRON	req-agree	NA
comp:obj,VERB,AUX	NA	req-agree
mod@relcl,NOUN,VERB	req-agree	NA
conj,NOUN,NOUN	req-agree	req-agree
appos,NOUN,NOUN	NA	NA
parataxis,NOUN,AUX	req-agree	NA
parataxis,VERB,AUX	NA	NA
parataxis@appos,AUX,NOUN	req-agree	req-agree
subj,ADJ,PRON	req-agree	req-agree
subj@pass,AUX,NOUN	NA	req-agree
conj,VERB,AUX	req-agree	req-agree
parataxis,VERB,NOUN	req-agree	NA
det@poss,NOUN,DET	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
conj,VERB,NOUN	req-agree	NA
conj,NOUN,VERB	req-agree	req-agree
unk@expl,VERB,PRON	req-agree	NA
conj,VERB,VERB	req-agree	NA
parataxis,AUX,NOUN	req-agree	NA
subj@pass,VERB,NOUN	NA	req-agree
parataxis@appos,VERB,VERB	NA	req-agree
vocative,AUX,NOUN	NA	req-agree
mod,VERB,VERB	NA	req-agree
mod,NOUN,VERB	req-agree	req-agree
det,ADJ,DET	req-agree	req-agree
udep,NOUN,NOUN	NA	NA
vocative@mention,VERB,NOUN	req-agree	NA
discourse,VERB,ADJ	req-agree	NA
parataxis@hashtag,VERB,ADJ	req-agree	NA
vocative,VERB,NOUN	req-agree	req-agree
appos,ADJ,NOUN	NA	req-agree
conj,ADJ,NOUN	NA	req-agree
det@predet,NOUN,DET	req-agree	req-agree
conj,AUX,VERB	req-agree	req-agree
mod,AUX,AUX	NA	NA
parataxis,NOUN,VERB	NA	req-agree
parataxis@obj,VERB,AUX	NA	req-agree
comp:pred,VERB,ADJ	req-agree	req-agree
parataxis@discourse,VERB,VERB	req-agree	NA
parataxis@appos,AUX,ADJ	req-agree	NA
list,ADJ,NOUN	NA	req-agree
mod@relcl,PRON,VERB	req-agree	req-agree
parataxis,ADJ,AUX	NA	req-agree
conj,PRON,PRON	NA	req-agree
compound,NOUN,NOUN	NA	NA
parataxis,VERB,ADJ	req-agree	NA
subj,ADJ,NOUN	req-agree	req-agree
dislocated,VERB,PRON	NA	NA
mod,PRON,ADJ	req-agree	req-agree
comp:aux,AUX,AUX	NA	req-agree
comp:pred,AUX,VERB	req-agree	req-agree
udep,VERB,NOUN	NA	NA
comp:obj,NOUN,PRON	req-agree	req-agree
det,VERB,DET	req-agree	NA
parataxis,NOUN,PRON	NA	req-agree
unk,NOUN,NOUN	NA	req-agree
udep,AUX,NOUN	NA	req-agree
orphan,AUX,PRON	req-agree	req-agree
mod@relcl,NOUN,AUX	NA	req-agree
parataxis@appos,NOUN,AUX	NA	NA
parataxis,AUX,PRON	NA	req-agree
mod,PRON,VERB	NA	req-agree
parataxis,NOUN,SYM	NA	NA
