rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
conj,NOUN,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
appos,NOUN,NOUN	NA	NA
mod,NOUN,PROPN	req-agree	NA
det,NOUN,DET	req-agree	req-agree
comp:obj,VERB,NOUN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
mod,PROPN,ADJ	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
mod,NOUN,NUM	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
comp:obj,ADJ,NOUN	NA	NA
comp:pred,AUX,NOUN	req-agree	NA
flat@name,PROPN,PROPN	req-agree	req-agree
comp:obj,ADJ,PRON	NA	NA
mod,PROPN,PROPN	req-agree	NA
conj,VERB,VERB	req-agree	req-agree
comp:pred,AUX,DET	req-agree	req-agree
udep,VERB,NOUN	NA	NA
comp:obl,VERB,PRON	NA	NA
appos,NOUN,PROPN	req-agree	req-agree
conj,PROPN,PROPN	req-agree	NA
udep,ADJ,NOUN	NA	NA
appos,PROPN,NOUN	req-agree	NA
conj,PROPN,NOUN	req-agree	NA
comp:obj,VERB,DET	NA	NA
mod,NOUN,PRON	req-agree	NA
comp:obj,VERB,PROPN	NA	NA
mod,DET,DET	req-agree	req-agree
mod,NOUN,DET	req-agree	NA
comp:obl,VERB,NOUN	NA	NA
mod,ADJ,DET	req-agree	req-agree
comp:aux,AUX,VERB	req-agree	req-agree
udep,VERB,ADJ	req-agree	req-agree
comp:obl,VERB,ADJ	NA	req-agree
comp:pred,VERB,ADJ	req-agree	req-agree
comp:obj,VERB,ADJ	NA	NA
mod,ADJ,NUM	req-agree	req-agree
mod,VERB,ADJ	req-agree	req-agree
appos,PROPN,PROPN	req-agree	req-agree
comp:obl,VERB,PROPN	req-agree	NA
mod,PROPN,NOUN	NA	req-agree
comp:pred,VERB,NOUN	req-agree	NA
parataxis,VERB,VERB	req-agree	req-agree
det,PROPN,DET	req-agree	req-agree
comp:pred,AUX,PROPN	req-agree	req-agree
mod,ADJ,NOUN	NA	NA
mod,PRON,DET	req-agree	req-agree
mod,DET,NUM	req-agree	req-agree
conj,NOUN,PRON	req-agree	req-agree
conj,NOUN,ADJ	req-agree	NA
conj,NOUN,PROPN	NA	req-agree
comp:obj,DET,NOUN	NA	NA
mod,PROPN,PRON	req-agree	req-agree
conj,PRON,PRON	req-agree	NA
comp:obj,ADJ,PROPN	NA	req-agree
