rel,head-pos,child-pos	tree-label	gold-label
conj,VERB,VERB	req-agree	NA
comp:obl,VERB,PRON	NA	NA
parataxis,VERB,VERB	req-agree	NA
comp:obj,VERB,PRON	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
comp:obj,VERB,VERB	req-agree	NA
conj,VERB,PRON	NA	NA
comp:pred,VERB,VERB	NA	NA
subj,AUX,PRON	req-agree	NA
conj,PRON,PRON	NA	NA
udep,VERB,PRON	NA	NA
conj,VERB,AUX	req-agree	req-agree
udep,VERB,AUX	NA	NA
mod,VERB,VERB	req-agree	NA
conj,AUX,VERB	req-agree	NA
subj,VERB,VERB	req-agree	NA
parataxis,AUX,VERB	req-agree	NA
conj,AUX,AUX	req-agree	req-agree
parataxis,VERB,AUX	NA	req-agree
mod,PRON,PRON	NA	NA
subj@pass,AUX,PRON	req-agree	req-agree
subj@pass,VERB,PRON	req-agree	req-agree
appos,VERB,VERB	NA	req-agree
comp:pred,AUX,PRON	NA	req-agree
comp:obj,VERB,AUX	NA	req-agree
