rel,head-pos,child-pos	tree-label	gold-label
comp:obj,VERB,VERB	NA	NA
comp:obl,VERB,PRON	NA	NA
subj,VERB,PRON	NA	req-agree
parataxis,VERB,VERB	NA	NA
conj,VERB,VERB	NA	NA
comp:obj,VERB,PRON	NA	NA
conj,PRON,PRON	NA	req-agree
mod,VERB,VERB	NA	NA
mod,AUX,VERB	NA	NA
parataxis,AUX,VERB	NA	req-agree
conj,VERB,AUX	NA	req-agree
subj,AUX,PRON	NA	req-agree
parataxis,AUX,AUX	NA	req-agree
conj,AUX,VERB	NA	req-agree
parataxis@discourse,VERB,VERB	NA	NA
subj,VERB,AUX	NA	req-agree
flat@repeat,VERB,VERB	NA	req-agree
udep,VERB,PRON	NA	req-agree
parataxis@discourse,AUX,VERB	NA	req-agree
subj,VERB,VERB	NA	req-agree
conj,AUX,AUX	NA	req-agree
conj@svc,VERB,VERB	NA	req-agree
