rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	NA
mod,NOUN,NOUN	NA	NA
mod,NOUN,ADJ	req-agree	req-agree
subj,VERB,NOUN	req-agree	NA
mod,PROPN,PROPN	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
comp:obl,VERB,NOUN	NA	NA
mod,PROPN,ADJ	req-agree	req-agree
mod,NOUN,PROPN	NA	NA
appos,NOUN,NOUN	NA	NA
comp:pred,AUX,ADJ	req-agree	NA
conj,VERB,AUX	req-agree	NA
subj,AUX,NOUN	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
mod,PROPN,NOUN	req-agree	req-agree
appos,PROPN,NOUN	req-agree	NA
subj,VERB,PROPN	req-agree	NA
flat,PROPN,PROPN	req-agree	req-agree
comp:obj,VERB,ADJ	req-agree	NA
parataxis,VERB,AUX	NA	NA
comp:aux@pass,AUX,ADJ	req-agree	req-agree
subj@pass,AUX,NOUN	req-agree	NA
comp:obj,VERB,VERB	NA	NA
mod,NOUN,VERB	req-agree	NA
comp:obj,VERB,PROPN	req-agree	NA
udep,VERB,DET	NA	NA
comp:obl,VERB,PRON	NA	NA
subj,VERB,DET	req-agree	NA
mod,NUM,ADJ	req-agree	req-agree
subj,VERB,NUM	req-agree	NA
conj,VERB,NUM	NA	NA
mod,ADJ,NOUN	NA	NA
subj,AUX,DET	req-agree	NA
comp:pred,AUX,NUM	NA	NA
parataxis,AUX,AUX	NA	req-agree
comp:pred,ADJ,PROPN	NA	NA
mod,NOUN,NUM	req-agree	NA
conj,AUX,AUX	NA	NA
comp:obj,VERB,DET	req-agree	NA
mod,NOUN,DET	NA	NA
comp:pred,VERB,ADJ	req-agree	NA
udep,AUX,NOUN	req-agree	NA
comp:obj,VERB,AUX	req-agree	req-agree
conj,PROPN,PROPN	req-agree	NA
mod,NOUN,PRON	NA	NA
mod,PRON,ADJ	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
mod,PROPN,VERB	req-agree	NA
subj,AUX,PROPN	req-agree	NA
det,NOUN,PRON	NA	NA
mod,NOUN,AUX	NA	NA
comp:pred,AUX,NOUN	req-agree	NA
udep,VERB,NOUN	NA	NA
subj@pass,AUX,PROPN	req-agree	NA
comp:obj,ADJ,NOUN	NA	NA
conj,PROPN,NOUN	req-agree	NA
conj,NOUN,PROPN	req-agree	NA
appos,NOUN,PROPN	req-agree	NA
mod,DET,VERB	NA	NA
comp:obj,VERB,PRON	NA	NA
appos,PROPN,PROPN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
compound,NOUN,NOUN	NA	req-agree
mod,VERB,VERB	req-agree	NA
subj@pass,VERB,DET	NA	NA
conj,ADJ,VERB	req-agree	NA
mod,DET,ADJ	req-agree	NA
comp:pred,VERB,NOUN	NA	NA
det,PROPN,DET	req-agree	req-agree
comp:obj,NOUN,NOUN	NA	NA
comp:obl@agent,ADJ,NOUN	NA	NA
det,ADJ,DET	req-agree	NA
comp:obl,VERB,PROPN	req-agree	NA
subj,VERB,ADJ	req-agree	req-agree
appos,ADJ,PROPN	req-agree	req-agree
appos,NUM,PROPN	NA	req-agree
comp:obj,VERB,NUM	NA	NA
mod,PROPN,NUM	req-agree	req-agree
appos,PROPN,NUM	req-agree	NA
flat,PROPN,NOUN	req-agree	NA
comp:pred,AUX,DET	NA	NA
mod,DET,AUX	NA	NA
mod,ADJ,PROPN	NA	NA
subj,AUX,PRON	req-agree	req-agree
udep,VERB,PROPN	NA	NA
mod,ADJ,ADJ	req-agree	req-agree
parataxis,AUX,VERB	NA	NA
subj@pass,AUX,DET	NA	NA
comp:pred,VERB,PROPN	NA	NA
subj@pass,VERB,NOUN	NA	NA
comp:obl,ADJ,NOUN	NA	NA
comp:pred,ADJ,NOUN	NA	NA
det,PRON,PRON	NA	req-agree
parataxis,VERB,VERB	NA	req-agree
comp:obl@agent,ADJ,PRON	NA	NA
comp:obl@agent,ADJ,PROPN	NA	NA
mod,PROPN,AUX	req-agree	NA
conj,VERB,DET	NA	NA
comp:obl,ADJ,PRON	NA	NA
subj,AUX,ADJ	req-agree	req-agree
conj,NOUN,AUX	NA	NA
flat,PROPN,ADJ	req-agree	req-agree
discourse,VERB,ADJ	req-agree	NA
subj@pass,AUX,PRON	NA	req-agree
mod,PRON,AUX	req-agree	req-agree
conj,AUX,VERB	req-agree	NA
compound,PROPN,PROPN	NA	req-agree
comp:obl,ADJ,PROPN	NA	NA
subj,NOUN,PROPN	NA	req-agree
conj,AUX,NOUN	NA	NA
comp:obj,ADJ,PROPN	NA	NA
flat,NOUN,PROPN	req-agree	NA
mod,ADJ,PRON	NA	NA
flat,NOUN,NOUN	req-agree	req-agree
subj@pass,ADJ,NOUN	NA	req-agree
mod,VERB,NOUN	NA	req-agree
appos,ADJ,ADJ	req-agree	req-agree
udep,NOUN,DET	NA	NA
mod,PROPN,DET	NA	req-agree
udep,ADJ,NOUN	NA	NA
appos,NOUN,ADJ	NA	req-agree
subj,ADJ,NOUN	NA	NA
det,DET,DET	req-agree	req-agree
conj,VERB,PROPN	NA	req-agree
conj,PRON,PROPN	req-agree	req-agree
appos,VERB,NOUN	NA	NA
