rel,head-pos,child-pos	tree-label	gold-label
udep,VERB,NOUN	req-agree	NA
comp:obj,VERB,NOUN	req-agree	NA
subj,VERB,PROPN	NA	req-agree
flat,PROPN,PROPN	NA	req-agree
conj,NOUN,NOUN	NA	req-agree
mod,ADJ,NOUN	NA	req-agree
mod,VERB,ADJ	req-agree	NA
comp:obj,VERB,VERB	req-agree	NA
subj,AUX,NOUN	NA	req-agree
subj,NOUN,NOUN	NA	req-agree
udep,VERB,PROPN	NA	NA
subj,VERB,NOUN	req-agree	req-agree
udep,VERB,PRON	req-agree	NA
udep,ADJ,NOUN	NA	req-agree
mod@poss,NOUN,PROPN	NA	req-agree
compound,NOUN,VERB	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
mod,NOUN,ADJ	NA	req-agree
comp:obj,VERB,PRON	req-agree	NA
subj,NOUN,VERB	req-agree	req-agree
mod,NOUN,NOUN	NA	req-agree
comp:obj,NOUN,NOUN	NA	req-agree
compound,NOUN,NOUN	NA	req-agree
conj,VERB,VERB	req-agree	NA
conj,VERB,NOUN	req-agree	NA
comp:obj,NOUN,PROPN	NA	req-agree
compound,PROPN,NOUN	NA	req-agree
udep,AUX,NOUN	req-agree	NA
comp:pred,AUX,ADJ	NA	NA
conj,NOUN,AUX	NA	NA
mod@poss,ADJ,PROPN	NA	req-agree
mod@poss,NOUN,NOUN	NA	req-agree
comp:pred,AUX,NOUN	req-agree	NA
flat,NOUN,PROPN	NA	req-agree
compound@redup,ADJ,ADJ	NA	req-agree
mod,NOUN,PROPN	NA	req-agree
mod,PROPN,NOUN	NA	req-agree
compound@redup,NOUN,NOUN	NA	req-agree
mod@poss,NOUN,PRON	req-agree	NA
conj,PROPN,VERB	req-agree	req-agree
mod,VERB,VERB	req-agree	NA
comp:obj,VERB,ADJ	req-agree	NA
subj,AUX,PROPN	NA	NA
conj,ADJ,AUX	NA	req-agree
mod,NOUN,PRON	req-agree	NA
udep,ADJ,PRON	NA	NA
mod@poss,ADJ,NOUN	NA	req-agree
compound@lvc,NOUN,VERB	req-agree	NA
mod@poss,NOUN,ADJ	NA	req-agree
compound,NOUN,PROPN	NA	req-agree
mod,PROPN,ADJ	NA	req-agree
mod,NOUN,NUM	NA	req-agree
comp:obj,ADJ,NOUN	NA	req-agree
compound,ADJ,NOUN	NA	req-agree
conj,ADJ,NOUN	NA	req-agree
flat,NOUN,NOUN	NA	req-agree
mod,NUM,NOUN	NA	req-agree
flat,NUM,NUM	NA	req-agree
conj,NUM,NUM	NA	req-agree
compound@redup,ADJ,NOUN	NA	req-agree
compound,VERB,NOUN	NA	NA
conj,NOUN,PROPN	NA	req-agree
compound,VERB,ADJ	NA	NA
subj,NOUN,PROPN	NA	req-agree
mod@poss,ADJ,ADJ	NA	req-agree
conj,ADJ,VERB	req-agree	NA
subj,AUX,PRON	NA	req-agree
conj,NOUN,VERB	req-agree	NA
compound,ADJ,VERB	req-agree	NA
compound@redup,PRON,PRON	req-agree	req-agree
mod,PRON,PRON	req-agree	req-agree
mod,ADJ,PRON	NA	NA
subj,ADJ,PRON	NA	NA
mod,VERB,AUX	req-agree	NA
conj,VERB,ADJ	req-agree	req-agree
subj,VERB,ADJ	req-agree	req-agree
comp:pred,VERB,NOUN	NA	req-agree
mod@poss,ADJ,PRON	NA	NA
comp:obj,VERB,PROPN	NA	NA
conj,PROPN,PROPN	NA	req-agree
flat,ADJ,NOUN	NA	req-agree
flat,PROPN,NOUN	NA	req-agree
mod,NOUN,VERB	req-agree	NA
mod,VERB,ADV	NA	req-agree
det,NOUN,PRON	req-agree	req-agree
mod@poss,PRON,NOUN	NA	req-agree
comp:obj,ADP,ADJ	NA	req-agree
mod,ADJ,ADJ	NA	req-agree
conj,AUX,NOUN	NA	req-agree
mod,PRON,NOUN	NA	NA
compound@lvc,ADJ,VERB	req-agree	NA
comp:obj,NOUN,PRON	req-agree	NA
comp:obj,ADP,NOUN	NA	req-agree
udep@poss,ADJ,ADP	NA	req-agree
mod@poss,NOUN,NUM	NA	req-agree
flat,NUM,NOUN	NA	req-agree
comp:aux@q,AUX,VERB	req-agree	NA
subj,AUX,NUM	NA	NA
subj,NOUN,ADJ	NA	req-agree
subj,PRON,NOUN	NA	req-agree
appos,PROPN,NOUN	NA	req-agree
udep,NUM,NOUN	NA	req-agree
comp:obj,VERB,NUM	NA	req-agree
subj,PRON,ADJ	NA	req-agree
conj,PRON,NOUN	NA	req-agree
udep,AUX,PRON	NA	NA
comp:aux@q,AUX,NOUN	req-agree	NA
flat,PROPN,ADJ	NA	req-agree
comp:aux@q,AUX,PROPN	req-agree	req-agree
udep,VERB,AUX	NA	NA
subj,NOUN,PRON	req-agree	NA
subj,AUX,ADJ	NA	req-agree
subj,PROPN,NOUN	NA	req-agree
subj,VERB,VERB	NA	NA
conj,ADJ,ADJ	NA	req-agree
compound,PROPN,PROPN	NA	req-agree
mod,NUM,NUM	NA	req-agree
mod,VERB,NUM	NA	NA
comp:pred,AUX,PRON	req-agree	NA
compound,PROPN,ADJ	NA	req-agree
compound,PROPN,VERB	req-agree	NA
comp:obj,ADJ,PRON	NA	NA
compound,VERB,VERB	NA	req-agree
mod,VERB,NOUN	NA	req-agree
comp:obj,VERB,AUX	req-agree	NA
conj,PROPN,NOUN	NA	req-agree
mod@poss,NOUN,VERB	req-agree	req-agree
subj,VERB,NUM	NA	req-agree
compound,NUM,NUM	NA	req-agree
compound@redup,NUM,NOUN	NA	req-agree
conj,NUM,NOUN	NA	req-agree
comp:pred,VERB,VERB	NA	NA
compound@redup,VERB,VERB	NA	req-agree
mod,PROPN,PROPN	NA	req-agree
comp:obj,ADJ,ADJ	NA	req-agree
conj,VERB,AUX	req-agree	NA
conj,NOUN,ADJ	NA	req-agree
compound,NUM,NOUN	NA	req-agree
conj,NOUN,PRON	req-agree	NA
conj,AUX,VERB	req-agree	NA
mod,ADJ,VERB	req-agree	req-agree
appos,ADJ,NOUN	NA	req-agree
comp:obj,VERB,ADP	NA	NA
