rel,head-pos,child-pos	tree-label	gold-label
comp:pred,AUX,NUM	NA	req-agree
mod,NOUN,ADJ	NA	req-agree
subj,AUX,NOUN	NA	req-agree
conj,NOUN,NOUN	NA	NA
appos,NOUN,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
subj,VERB,NOUN	NA	req-agree
det,NOUN,DET	NA	req-agree
conj,VERB,VERB	NA	NA
comp:obj,VERB,NOUN	NA	NA
subj@pass,AUX,DET	NA	req-agree
mod,NOUN,AUX	NA	NA
comp:aux@pass,AUX,ADJ	NA	req-agree
subj@pass,AUX,NOUN	NA	NA
subj,AUX,PROPN	NA	req-agree
comp:pred,AUX,NOUN	NA	NA
subj,VERB,DET	NA	req-agree
mod,NOUN,VERB	NA	NA
mod,NOUN,DET	NA	NA
comp:obj,ADJ,NOUN	NA	NA
comp:pred,AUX,ADJ	NA	req-agree
mod,NOUN,PROPN	NA	NA
conj,PROPN,PROPN	NA	NA
conj,ADJ,ADJ	NA	req-agree
comp:obj,VERB,PRON	NA	NA
subj,VERB,PROPN	NA	req-agree
udep,ADJ,NOUN	NA	NA
det,PROPN,DET	NA	req-agree
mod,PROPN,PROPN	NA	NA
mod,PROPN,NOUN	NA	NA
comp:aux,AUX,ADJ	NA	req-agree
mod,PROPN,ADJ	NA	req-agree
conj,PROPN,NOUN	NA	NA
comp:obj,VERB,DET	NA	NA
udep,ADJ,PROPN	NA	req-agree
flat,PROPN,PROPN	NA	NA
comp:obl,VERB,PROPN	NA	NA
udep,VERB,NOUN	NA	NA
comp:obj,VERB,PROPN	NA	NA
appos,PROPN,NOUN	NA	NA
comp:obj,ADJ,PROPN	NA	NA
conj,ADJ,VERB	NA	NA
comp:obl,VERB,NOUN	NA	NA
mod,PROPN,VERB	NA	NA
det@numgov,NOUN,DET	NA	NA
conj,NOUN,PROPN	NA	NA
mod,NOUN,NUM	NA	req-agree
mod,NUM,DET	NA	NA
mod,NUM,NOUN	NA	NA
conj,NUM,NUM	NA	req-agree
mod,ADJ,PROPN	NA	req-agree
comp:obj,ADJ,DET	NA	NA
subj,VERB,NUM	NA	req-agree
appos,NOUN,PROPN	NA	NA
appos,NUM,NOUN	NA	NA
appos,ADJ,NOUN	NA	req-agree
subj,VERB,PRON	NA	req-agree
orphan,NOUN,PROPN	NA	req-agree
subj,VERB,ADJ	NA	req-agree
udep,ADJ,NUM	NA	req-agree
det,NUM,DET	NA	req-agree
udep,AUX,NOUN	NA	NA
parataxis,AUX,VERB	NA	req-agree
comp:pred,NOUN,ADJ	NA	req-agree
mod,DET,ADJ	NA	req-agree
mod,NOUN,PRON	NA	NA
udep,VERB,DET	NA	NA
appos,ADJ,ADJ	NA	req-agree
comp:obl@agent,ADJ,NOUN	NA	NA
conj,ADJ,NOUN	NA	NA
mod,ADJ,ADJ	NA	req-agree
mod,ADJ,NOUN	NA	NA
subj,AUX,DET	NA	NA
comp:pred,AUX,PROPN	NA	NA
parataxis,VERB,VERB	NA	NA
subj@pass,AUX,PROPN	NA	req-agree
orphan,PROPN,PROPN	NA	req-agree
conj,VERB,AUX	NA	NA
comp:pred,VERB,NOUN	NA	req-agree
comp:pred,PROPN,DET	NA	req-agree
comp:obl,VERB,DET	NA	req-agree
udep,VERB,PRON	NA	NA
comp:obl,VERB,PRON	NA	NA
subj@pass,VERB,NOUN	NA	req-agree
comp:pred,VERB,ADJ	NA	req-agree
conj,NOUN,DET	NA	NA
mod,PRON,NOUN	NA	NA
conj,PRON,NOUN	NA	NA
det,PRON,DET	NA	req-agree
unk,DET,ADJ	NA	req-agree
comp:obj,VERB,VERB	NA	req-agree
udep,NOUN,NOUN	NA	NA
mod,DET,VERB	NA	req-agree
comp:pred,VERB,DET	NA	req-agree
comp:obj,VERB,NUM	NA	NA
conj,VERB,PROPN	NA	NA
udep,VERB,ADJ	NA	req-agree
conj,AUX,VERB	NA	req-agree
orphan,PROPN,ADJ	NA	NA
comp:obj,NOUN,NOUN	NA	NA
udep,VERB,NUM	NA	NA
mod,NUM,VERB	NA	req-agree
unk,PROPN,PROPN	NA	NA
conj,VERB,NOUN	NA	NA
unk,PROPN,NOUN	NA	NA
subj,AUX,PRON	NA	req-agree
conj,PRON,PROPN	NA	req-agree
orphan,NOUN,NOUN	NA	req-agree
udep,VERB,PROPN	NA	req-agree
unk,NOUN,ADJ	NA	NA
comp:pred,NOUN,DET	NA	req-agree
conj,NUM,NOUN	NA	req-agree
mod,NUM,ADJ	NA	req-agree
comp:obj,VERB,ADJ	NA	req-agree
appos,NOUN,DET	NA	NA
mod,ADJ,VERB	NA	req-agree
unk,VERB,ADJ	NA	req-agree
mod,ADV,ADJ	NA	req-agree
udep,VERB,ADV	NA	NA
conj,AUX,NOUN	NA	req-agree
conj,NOUN,AUX	NA	NA
