rel,head-pos,child-pos	tree-label	gold-label
comp:obj,VERB,PRON	NA	NA
parataxis,VERB,AUX	req-agree	NA
conj,AUX,VERB	req-agree	req-agree
conj,VERB,AUX	req-agree	NA
parataxis,VERB,VERB	req-agree	NA
conj,VERB,VERB	req-agree	NA
parataxis,AUX,VERB	req-agree	NA
parataxis,AUX,AUX	req-agree	NA
comp:obl,VERB,PRON	NA	NA
subj,VERB,PRON	req-agree	req-agree
conj,AUX,AUX	req-agree	NA
comp:obj,VERB,VERB	NA	NA
subj,AUX,VERB	req-agree	req-agree
udep,VERB,PRON	NA	NA
comp:obj,VERB,AUX	NA	NA
udep,AUX,PRON	req-agree	req-agree
mod,VERB,VERB	NA	req-agree
subj,AUX,PRON	req-agree	NA
comp:aux,AUX,AUX	req-agree	req-agree
conj,PRON,PRON	req-agree	req-agree
