rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,PRON	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
conj,PRON,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
mod,NOUN,ADJ	req-agree	req-agree
subj,AUX,PRON	req-agree	req-agree
mod@relcl,NOUN,AUX	NA	req-agree
comp:aux@tense,AUX,VERB	req-agree	NA
subj@pass,AUX,PRON	req-agree	req-agree
comp:obj,VERB,AUX	NA	req-agree
comp:aux@tense,AUX,AUX	NA	NA
comp:aux@pass,AUX,VERB	req-agree	NA
subj,AUX,NOUN	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
subj,VERB,NOUN	req-agree	req-agree
mod,NOUN,VERB	req-agree	req-agree
conj,VERB,VERB	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
comp:obj,VERB,NOUN	NA	NA
subj@expl,AUX,PRON	req-agree	req-agree
conj,VERB,AUX	NA	NA
subj@expl,VERB,PRON	req-agree	req-agree
conj,DET,DET	NA	NA
comp:pred,AUX,ADJ	req-agree	req-agree
mod@relcl,NOUN,VERB	req-agree	NA
subj,VERB,DET	NA	req-agree
unk@fixed,DET,PRON	NA	req-agree
conj,ADJ,ADJ	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	NA
mod,AUX,ADJ	req-agree	req-agree
mod,VERB,NOUN	NA	NA
subj@pass,AUX,NOUN	req-agree	req-agree
comp:pred,AUX,PRON	req-agree	req-agree
mod@relcl,PRON,VERB	req-agree	NA
mod,VERB,PRON	NA	req-agree
comp:obj,PRON,NOUN	NA	req-agree
subj@caus,AUX,NOUN	NA	req-agree
comp:obj@agent,AUX,NOUN	NA	req-agree
comp:obj,VERB,PRON	req-agree	NA
mod,PRON,ADJ	req-agree	req-agree
conj,AUX,AUX	NA	NA
unk@fixed,DET,NOUN	NA	NA
comp:obj@lvc,VERB,NOUN	NA	NA
conj,AUX,VERB	req-agree	NA
parataxis,AUX,VERB	NA	NA
mod,AUX,VERB	req-agree	NA
appos,NOUN,NOUN	NA	NA
comp:obl,VERB,PRON	NA	NA
parataxis,VERB,VERB	NA	NA
udep,AUX,NOUN	NA	NA
parataxis,AUX,NOUN	NA	req-agree
mod@relcl,PRON,AUX	NA	NA
det,PRON,DET	req-agree	req-agree
comp@fixed,VERB,PRON	NA	req-agree
mod,ADJ,PRON	NA	req-agree
mod,ADJ,NOUN	NA	NA
mod,VERB,VERB	req-agree	req-agree
udep,VERB,NOUN	NA	NA
subj,ADJ,NOUN	req-agree	req-agree
parataxis,AUX,ADJ	req-agree	req-agree
comp:obj@agent,VERB,NOUN	NA	req-agree
dislocated,VERB,PRON	NA	req-agree
subj@caus,AUX,PRON	NA	req-agree
comp:obl@agent,AUX,PRON	NA	req-agree
subj@pass,AUX,DET	req-agree	NA
parataxis,AUX,AUX	NA	NA
comp:obj,VERB,VERB	NA	NA
parataxis,VERB,PRON	NA	req-agree
mod,AUX,NOUN	NA	req-agree
parataxis,NOUN,AUX	NA	NA
det,ADJ,DET	req-agree	req-agree
dislocated,VERB,NOUN	NA	NA
unk@fixed,ADJ,NOUN	NA	req-agree
appos,NOUN,PRON	NA	req-agree
dislocated,AUX,NOUN	NA	NA
parataxis,VERB,NOUN	NA	req-agree
conj,AUX,PRON	NA	NA
parataxis,NOUN,VERB	NA	req-agree
comp:pred,AUX,VERB	req-agree	req-agree
conj,NOUN,VERB	NA	NA
conj,ADJ,AUX	NA	req-agree
mod,NOUN,PRON	NA	req-agree
parataxis,VERB,AUX	NA	NA
conj,AUX,NOUN	NA	req-agree
conj,ADJ,NOUN	NA	req-agree
conj,ADJ,VERB	req-agree	NA
mod,ADJ,DET	NA	NA
conj,NOUN,ADJ	req-agree	req-agree
comp:pred,VERB,NOUN	req-agree	NA
comp:cleft,AUX,VERB	req-agree	req-agree
appos,NOUN,VERB	NA	NA
mod,VERB,ADJ	req-agree	req-agree
appos,NOUN,ADJ	req-agree	req-agree
