rel,head-pos,child-pos	tree-label	gold-label
compound,PRON,DET	NA	NA
comp@pass,AUX,PRON	req-agree	req-agree
comp:obl,VERB,PRON	req-agree	NA
det,PRON,DET	NA	NA
subj@pass,AUX,PRON	req-agree	req-agree
unk@expl,AUX,PRON	req-agree	NA
conj,AUX,AUX	req-agree	NA
comp:obj,VERB,PRON	req-agree	NA
mod@pmod,VERB,AUX	NA	req-agree
mod,VERB,VERB	req-agree	NA
conj,VERB,VERB	req-agree	NA
subj,AUX,PRON	req-agree	NA
mod,VERB,AUX	NA	req-agree
comp:obl,VERB,AUX	NA	NA
comp:pred,AUX,PRON	req-agree	NA
conj,VERB,AUX	req-agree	NA
subj,VERB,PRON	req-agree	NA
unk@expl,VERB,PRON	req-agree	NA
subj,AUX,DET	req-agree	NA
conj,AUX,VERB	req-agree	NA
parataxis,VERB,AUX	NA	NA
mod,AUX,AUX	req-agree	NA
appos,VERB,AUX	req-agree	req-agree
mod,AUX,VERB	req-agree	NA
comp@pass,VERB,PRON	req-agree	req-agree
mod@tcl,AUX,VERB	req-agree	req-agree
mod,PRON,VERB	req-agree	NA
mod@tcl,AUX,AUX	req-agree	NA
mod,PRON,AUX	req-agree	NA
subj@pass,AUX,DET	req-agree	req-agree
subj,VERB,AUX	req-agree	NA
comp:aux,AUX,VERB	NA	NA
conj,PRON,PRON	req-agree	NA
mod,DET,VERB	req-agree	req-agree
comp:obj,VERB,AUX	req-agree	NA
mod@tcl,VERB,VERB	req-agree	NA
subj@pass,AUX,VERB	NA	req-agree
subj,AUX,VERB	req-agree	req-agree
parataxis,VERB,VERB	NA	NA
comp:pred,AUX,DET	req-agree	req-agree
udep,VERB,PRON	NA	NA
subj,VERB,VERB	req-agree	req-agree
subj@pass,VERB,PRON	req-agree	req-agree
comp:obj,VERB,VERB	req-agree	NA
mod,VERB,PRON	req-agree	req-agree
comp:pred,AUX,AUX	req-agree	req-agree
subj,AUX,AUX	req-agree	req-agree
appos,PRON,PRON	req-agree	req-agree
appos,VERB,VERB	NA	req-agree
parataxis,AUX,AUX	NA	NA
comp:pred,VERB,VERB	NA	NA
det,PRON,PRON	req-agree	req-agree
subj@pass,AUX,AUX	req-agree	NA
parataxis,AUX,VERB	NA	NA
comp:pred,VERB,AUX	NA	NA
subj,VERB,DET	req-agree	req-agree
comp:obj@pmod,VERB,AUX	NA	req-agree
udep,AUX,PRON	NA	NA
comp:pred,AUX,VERB	req-agree	NA
conj,AUX,PRON	req-agree	req-agree
mod@tcl,VERB,AUX	req-agree	NA
comp:obj,VERB,DET	NA	NA
conj,VERB,PRON	req-agree	req-agree
det,VERB,DET	req-agree	req-agree
udep,AUX,DET	NA	NA
comp:pred,VERB,PRON	NA	req-agree
vocative,VERB,PRON	req-agree	NA
