rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
appos,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
mod@poss,NOUN,NOUN	NA	NA
mod,NOUN,NUM	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
mod@poss,NOUN,PRON	req-agree	req-agree
det,ADJ,DET	req-agree	NA
conj,ADJ,NOUN	NA	NA
subj,ADJ,NOUN	NA	NA
appos,PRON,NOUN	NA	NA
subj,NOUN,NOUN	NA	NA
comp:obj,PRON,NOUN	NA	req-agree
conj,ADJ,ADJ	req-agree	req-agree
conj,PRON,PRON	req-agree	req-agree
comp:obl,NOUN,PRON	req-agree	req-agree
conj,PRON,NOUN	NA	NA
mod,PRON,NOUN	NA	req-agree
mod,ADJ,ADJ	req-agree	NA
det,ADJ,PRON	req-agree	req-agree
unk@fixed,DET,NOUN	NA	req-agree
comp:obj,NOUN,NOUN	NA	NA
unk@fixed,DET,ADJ	req-agree	req-agree
udep,NOUN,PRON	req-agree	NA
det,NOUN,PRON	req-agree	req-agree
comp:obj,ADJ,PRON	req-agree	NA
orphan,NOUN,NOUN	NA	NA
unk@fixed,ADJ,NOUN	NA	req-agree
unk@fixed,NOUN,ADJ	req-agree	req-agree
mod,NOUN,DET	req-agree	req-agree
udep,NOUN,NOUN	NA	req-agree
unk@fixed,PRON,NOUN	NA	req-agree
conj,NOUN,ADJ	req-agree	NA
det,DET,PRON	req-agree	req-agree
conj,NOUN,PRON	req-agree	req-agree
comp:pred,NOUN,NOUN	NA	req-agree
comp:pred,VERB,ADJ	req-agree	req-agree
