rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
subj,VERB,NOUN	req-agree	req-agree
subj,AUX,NOUN	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
comp:obj,ADJ,DET	NA	NA
comp:pred,AUX,ADJ	req-agree	NA
mod,NOUN,VERB	NA	NA
conj,NOUN,NOUN	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
comp:obj,VERB,DET	req-agree	NA
conj,VERB,VERB	NA	NA
comp:obj,VERB,NOUN	NA	NA
det,NOUN,DET	req-agree	req-agree
comp:pred,NOUN,DET	req-agree	req-agree
mod,NOUN,PRON	NA	req-agree
comp:obj,VERB,PRON	NA	NA
mod@gov,NOUN,NUM	NA	NA
subj,VERB,DET	req-agree	req-agree
subj@pass,VERB,NOUN	NA	NA
mod,NOUN,NUM	NA	req-agree
comp:pred,AUX,NOUN	req-agree	req-agree
comp:obj,ADJ,NOUN	NA	NA
comp:obl@agent,ADJ,NOUN	NA	NA
mod,NOUN,AUX	NA	NA
comp:obl@agent,VERB,NOUN	NA	NA
udep,ADJ,NOUN	NA	NA
mod,VERB,AUX	NA	req-agree
conj,AUX,VERB	NA	req-agree
conj,VERB,AUX	NA	NA
udep,VERB,NOUN	NA	NA
comp:obj,NOUN,NOUN	NA	req-agree
udep,VERB,DET	req-agree	NA
appos,NOUN,NOUN	NA	req-agree
subj,AUX,DET	req-agree	req-agree
conj,AUX,NOUN	NA	req-agree
comp:aux@pass,AUX,ADJ	req-agree	req-agree
parataxis,VERB,VERB	NA	req-agree
mod,ADJ,NOUN	NA	req-agree
mod,DET,VERB	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
comp:pred,VERB,DET	NA	req-agree
comp:obl,VERB,NOUN	NA	NA
mod,NOUN,DET	NA	NA
udep,AUX,NOUN	NA	req-agree
parataxis,VERB,AUX	NA	req-agree
comp:obj,ADJ,PRON	NA	req-agree
parataxis,NOUN,AUX	NA	req-agree
conj,ADJ,AUX	NA	req-agree
subj,NOUN,NOUN	req-agree	req-agree
subj,VERB,NUM	req-agree	req-agree
subj@pass,AUX,NOUN	NA	NA
mod,VERB,ADJ	NA	req-agree
comp:obj,VERB,VERB	NA	NA
comp:pred,NOUN,ADJ	req-agree	req-agree
comp:obl,VERB,PRON	NA	req-agree
