rel,head-pos,child-pos	tree-label	gold-label
appos,NOUN,PROPN	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
comp:aux,AUX,VERB	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
conj,VERB,VERB	req-agree	NA
subj,VERB,NOUN	req-agree	NA
comp:obl,VERB,PRON	NA	NA
subj,VERB,PRON	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
flat@name,PROPN,PROPN	req-agree	req-agree
subj,VERB,PROPN	req-agree	NA
appos,PROPN,NOUN	req-agree	NA
comp:obj,VERB,PRON	req-agree	NA
comp:obj,VERB,VERB	NA	NA
subj,AUX,PRON	req-agree	req-agree
comp:obj,VERB,PROPN	req-agree	NA
mod,NOUN,VERB	req-agree	NA
udep,VERB,PROPN	req-agree	NA
mod,NOUN,NUM	req-agree	NA
flat,NUM,NUM	req-agree	req-agree
mod,NUM,NOUN	req-agree	NA
comp:obl,VERB,PROPN	req-agree	NA
det,NOUN,DET	req-agree	req-agree
mod,PROPN,VERB	req-agree	NA
udep,VERB,NOUN	req-agree	NA
udep,AUX,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
subj,VERB,ADJ	req-agree	req-agree
unk@expl,VERB,PRON	req-agree	NA
comp:aux,AUX,AUX	req-agree	req-agree
comp:obl,VERB,NOUN	NA	NA
udep,NOUN,NOUN	NA	NA
subj,AUX,NOUN	req-agree	NA
subj,AUX,PROPN	req-agree	NA
mod,ADJ,NOUN	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
mod,NOUN,NOUN	req-agree	NA
vocative,VERB,NOUN	NA	NA
appos,PRON,NOUN	req-agree	NA
appos,PRON,PROPN	req-agree	req-agree
appos,PRON,ADJ	req-agree	NA
comp:pred,AUX,PRON	NA	NA
comp:obj,VERB,AUX	NA	NA
vocative,PRON,NOUN	req-agree	req-agree
comp:pred,VERB,NOUN	NA	NA
det,NOUN,PRON	NA	NA
mod,PRON,ADJ	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
flat,DET,ADJ	req-agree	req-agree
appos,ADJ,PROPN	req-agree	req-agree
subj,AUX,ADJ	req-agree	req-agree
mod,AUX,VERB	req-agree	NA
conj,PROPN,PROPN	req-agree	req-agree
comp:obj,VERB,ADJ	NA	NA
det,ADJ,DET	req-agree	NA
dislocated,VERB,VERB	NA	NA
subj,VERB,VERB	req-agree	NA
flat,ADJ,ADJ	req-agree	req-agree
mod,NOUN,PROPN	req-agree	NA
mod,VERB,AUX	req-agree	NA
mod,VERB,VERB	req-agree	NA
conj,PROPN,NOUN	NA	NA
conj,NOUN,PROPN	NA	NA
conj,PROPN,ADJ	req-agree	NA
conj,VERB,NOUN	NA	NA
conj,AUX,ADJ	NA	req-agree
comp:obj,ADJ,VERB	req-agree	NA
conj,NOUN,ADJ	NA	NA
comp:pred,VERB,VERB	req-agree	NA
udep,AUX,PRON	NA	NA
vocative,VERB,VERB	NA	req-agree
dislocated,NOUN,PROPN	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
comp:obl@agent,VERB,NOUN	NA	NA
unk,VERB,PRON	NA	NA
comp:pred,AUX,VERB	req-agree	req-agree
subj@pass,AUX,ADJ	req-agree	req-agree
subj,PROPN,PROPN	req-agree	req-agree
udep,AUX,PROPN	NA	req-agree
unk,VERB,PROPN	NA	NA
mod,ADJ,ADJ	NA	NA
subj,NOUN,PRON	req-agree	req-agree
appos,ADJ,NOUN	req-agree	NA
mod,PRON,NOUN	NA	NA
mod,NUM,NUM	req-agree	req-agree
comp:obl,VERB,ADJ	NA	NA
conj,VERB,AUX	NA	NA
unk@expl,AUX,PRON	req-agree	NA
det,PROPN,DET	req-agree	req-agree
orphan,NOUN,PROPN	req-agree	req-agree
comp:obj,NOUN,AUX	req-agree	NA
