rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,PRON	req-agree	req-agree
udep,VERB,PRON	NA	NA
conj,AUX,VERB	req-agree	NA
conj,AUX,AUX	req-agree	NA
comp:obj,VERB,PRON	NA	NA
udep,AUX,PRON	NA	NA
conj,VERB,AUX	req-agree	NA
comp:obl,VERB,PRON	NA	NA
comp:obj,VERB,AUX	NA	NA
conj,VERB,VERB	req-agree	NA
discourse,VERB,PRON	NA	req-agree
comp:obj,VERB,VERB	NA	NA
subj,AUX,PRON	req-agree	req-agree
subj,VERB,DET	req-agree	req-agree
orphan,VERB,VERB	NA	NA
parataxis,VERB,VERB	NA	NA
appos,VERB,VERB	req-agree	req-agree
orphan,PRON,VERB	NA	NA
conj,VERB,PRON	req-agree	NA
subj,VERB,VERB	req-agree	NA
conj,PRON,PRON	NA	NA
unk,VERB,VERB	NA	NA
mod,PRON,AUX	NA	req-agree
