rel,head-pos,child-pos	tree-label	gold-label
comp:obj,NOUN,NOUN	NA	NA
mod,NOUN,ADJ	req-agree	req-agree
subj,AUX,NOUN	req-agree	req-agree
parataxis@obj,VERB,AUX	NA	NA
mod@flat,PROPN,ADJ	req-agree	NA
subj,VERB,NOUN	req-agree	NA
mod,NOUN,PROPN	NA	NA
appos,NOUN,PROPN	NA	req-agree
flat,PROPN,PROPN	req-agree	req-agree
subj,VERB,DET	req-agree	req-agree
mod@relcl,DET,VERB	NA	NA
comp:obj,VERB,NOUN	NA	NA
mod@flat,NOUN,ADJ	req-agree	req-agree
det@poss,NOUN,DET	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
mod@arg,NOUN,NOUN	req-agree	NA
conj,VERB,VERB	NA	NA
comp:obl,VERB,NOUN	NA	NA
flat,NOUN,PROPN	req-agree	NA
subj@pass,AUX,NOUN	req-agree	NA
comp:aux@pass,AUX,ADJ	req-agree	req-agree
subj,AUX,PRON	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
subj,VERB,PRON	req-agree	req-agree
mod@relcl,PRON,VERB	NA	NA
mod,NOUN,NUM	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
det,NOUN,DET	req-agree	req-agree
unk@fixed,DET,ADJ	req-agree	req-agree
mod@arg,NOUN,PROPN	NA	NA
conj,PROPN,NOUN	req-agree	NA
mod@flat,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
det@numgov,NOUN,DET	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
mod@gov,NOUN,NUM	req-agree	req-agree
flat,NUM,NOUN	req-agree	NA
parataxis@obj,VERB,VERB	NA	NA
appos,PROPN,PROPN	NA	req-agree
comp:obl,NOUN,NOUN	NA	NA
parataxis@insert,VERB,AUX	NA	req-agree
subj,AUX,PROPN	req-agree	NA
comp:pred,AUX,NOUN	req-agree	NA
conj,AUX,AUX	NA	NA
comp:aux@clitic,AUX,VERB	req-agree	req-agree
subj,VERB,PROPN	req-agree	NA
comp:obj,VERB,PROPN	req-agree	NA
mod,NOUN,PRON	NA	NA
unk@fixed,PRON,ADJ	req-agree	req-agree
subj,VERB,ADJ	req-agree	req-agree
conj,VERB,NOUN	NA	req-agree
comp:obj,ADJ,NOUN	NA	NA
mod@relcl,PRON,AUX	NA	NA
mod@arg,NOUN,ADJ	NA	NA
flat,ADJ,PROPN	req-agree	req-agree
mod,PROPN,ADJ	req-agree	NA
conj,PRON,PROPN	NA	req-agree
comp:obl,ADJ,PROPN	NA	NA
conj,PROPN,PROPN	NA	NA
mod,PROPN,PROPN	NA	req-agree
comp:aux,AUX,VERB	NA	req-agree
mod,PRON,ADJ	req-agree	req-agree
comp:obl,VERB,PROPN	NA	NA
mod,DET,NOUN	NA	req-agree
appos,PROPN,NOUN	req-agree	NA
mod@flat,ADJ,NOUN	NA	req-agree
mod@relcl,NOUN,VERB	NA	NA
conj,NOUN,PROPN	NA	NA
det@numgov,ADJ,DET	req-agree	req-agree
comp:obl,ADJ,NOUN	NA	NA
parataxis@insert,NOUN,NOUN	NA	req-agree
comp:pred@pred,VERB,NOUN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
comp:pred,AUX,PRON	NA	NA
comp:obj,VERB,VERB	req-agree	NA
parataxis@insert,AUX,NOUN	NA	NA
mod,VERB,VERB	NA	NA
mod@relcl,PROPN,VERB	NA	NA
mod@relcl,PROPN,AUX	NA	NA
parataxis@insert,VERB,NOUN	NA	req-agree
mod@poss,NOUN,NOUN	NA	NA
mod,PROPN,NOUN	NA	NA
subj,NOUN,NOUN	NA	NA
conj,VERB,AUX	NA	NA
udep,ADJ,NOUN	NA	NA
mod,NOUN,DET	req-agree	req-agree
mod,DET,ADJ	req-agree	req-agree
comp:obj,NOUN,PRON	NA	NA
vocative,VERB,NOUN	req-agree	req-agree
comp:obl,VERB,PRON	NA	NA
mod@flat,PROPN,NOUN	req-agree	req-agree
comp:obj,VERB,DET	NA	NA
mod@relcl,NOUN,AUX	NA	NA
subj,ADJ,PRON	req-agree	req-agree
mod@relcl,NOUN,ADJ	req-agree	req-agree
conj,AUX,VERB	NA	NA
comp:pred,AUX,DET	req-agree	req-agree
comp:obj,VERB,AUX	NA	NA
comp:pred@pred,VERB,ADJ	req-agree	req-agree
comp:obj,ADJ,PROPN	NA	req-agree
comp:obl,ADJ,PRON	NA	NA
conj,PRON,NOUN	NA	req-agree
udep,VERB,NOUN	NA	NA
det@nummod,NOUN,DET	req-agree	req-agree
subj@pass,AUX,PRON	req-agree	req-agree
mod@arg,PROPN,NOUN	NA	req-agree
conj,NUM,NUM	req-agree	req-agree
mod,ADJ,ADJ	req-agree	req-agree
mod,NOUN,VERB	NA	NA
subj,VERB,NUM	req-agree	NA
subj,AUX,DET	req-agree	NA
udep,AUX,NOUN	NA	NA
mod,NOUN,AUX	NA	NA
comp:obj,NOUN,PROPN	req-agree	req-agree
comp:obl,VERB,DET	NA	NA
mod@poss,NOUN,PROPN	NA	req-agree
comp:aux,AUX,ADJ	req-agree	req-agree
subj@pass,AUX,NUM	req-agree	NA
udep,VERB,ADJ	req-agree	NA
mod@arg,NOUN,DET	req-agree	req-agree
mod@relcl,ADJ,VERB	NA	req-agree
udep,VERB,PRON	NA	req-agree
mod,AUX,VERB	NA	NA
comp:pred,VERB,ADJ	req-agree	req-agree
conj,ADJ,VERB	NA	req-agree
comp:pred,VERB,AUX	NA	req-agree
conj,PROPN,ADJ	req-agree	NA
parataxis@insert,PROPN,PROPN	NA	NA
mod,PRON,DET	req-agree	req-agree
mod,PROPN,NUM	req-agree	req-agree
comp:aux@clitic,AUX,AUX	req-agree	req-agree
appos,PROPN,ADJ	req-agree	req-agree
comp:obj,DET,NOUN	NA	req-agree
conj,AUX,PROPN	NA	req-agree
mod,PROPN,VERB	NA	req-agree
conj,ADJ,NOUN	req-agree	req-agree
comp:pred,AUX,NUM	req-agree	req-agree
mod@relcl,NUM,VERB	NA	req-agree
comp:obj,NOUN,VERB	NA	req-agree
comp:obj,VERB,ADJ	req-agree	req-agree
comp:obj,ADJ,PRON	NA	NA
udep,VERB,AUX	NA	req-agree
subj@pass,AUX,PROPN	NA	NA
mod@arg,NOUN,PRON	NA	NA
comp:obl,NOUN,PROPN	NA	NA
flat,NUM,NUM	req-agree	req-agree
conj,NOUN,PRON	NA	req-agree
comp:obj,PRON,AUX	NA	req-agree
subj@pass,AUX,DET	req-agree	req-agree
conj,NOUN,VERB	NA	NA
mod@relcl,VERB,VERB	NA	req-agree
udep,AUX,ADJ	req-agree	req-agree
mod,NUM,ADJ	req-agree	req-agree
det,NUM,DET	req-agree	req-agree
mod@relcl,DET,AUX	NA	req-agree
det,PROPN,DET	req-agree	req-agree
comp:obj,VERB,NUM	NA	NA
mod,ADJ,NUM	req-agree	req-agree
conj,NOUN,NUM	req-agree	req-agree
udep,ADJ,PRON	NA	NA
comp:obl,VERB,ADJ	req-agree	req-agree
subj@pass,ADJ,NOUN	NA	req-agree
udep,ADJ,ADJ	req-agree	req-agree
comp:obj,NOUN,DET	NA	NA
