rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,PROPN	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
mod,NOUN,PROPN	req-agree	NA
mod,NOUN,NOUN	req-agree	NA
conj,VERB,AUX	NA	NA
comp:aux@pass,AUX,VERB	req-agree	req-agree
subj,NOUN,NOUN	req-agree	NA
flat,ADJ,NOUN	NA	req-agree
subj,VERB,NOUN	req-agree	NA
parataxis,NOUN,VERB	NA	NA
comp:pred,VERB,NOUN	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
comp:obl,VERB,PROPN	req-agree	NA
appos,NOUN,PROPN	req-agree	NA
flat@name,PROPN,PROPN	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
comp:obl,VERB,NOUN	NA	NA
comp:pred,VERB,NUM	NA	NA
mod,ADJ,ADJ	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	NA
det,NOUN,DET	req-agree	req-agree
parataxis,VERB,VERB	NA	NA
mod,NOUN,VERB	req-agree	req-agree
udep,VERB,ADJ	req-agree	NA
mod,NOUN,NUM	NA	req-agree
subj@pass,AUX,NOUN	req-agree	req-agree
conj,AUX,VERB	req-agree	NA
mod@relcl,NOUN,VERB	req-agree	NA
subj,ADJ,NOUN	req-agree	req-agree
appos,PROPN,ADJ	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
comp:obj,VERB,PROPN	NA	NA
comp:obl,VERB,PRON	NA	NA
subj,VERB,ADJ	req-agree	req-agree
appos,PROPN,NOUN	req-agree	req-agree
parataxis,NOUN,NOUN	NA	req-agree
conj,NOUN,VERB	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
subj@pass,AUX,PROPN	req-agree	req-agree
conj,AUX,AUX	req-agree	NA
mod@relcl,VERB,VERB	req-agree	NA
appos,NOUN,ADJ	req-agree	NA
conj,ADJ,NOUN	NA	NA
conj,NOUN,PROPN	NA	req-agree
conj,PROPN,NOUN	NA	NA
appos,NOUN,NOUN	req-agree	NA
mod,PROPN,VERB	req-agree	req-agree
conj,VERB,ADJ	req-agree	req-agree
parataxis,VERB,PRON	NA	NA
comp:obj,VERB,PRON	NA	NA
subj,AUX,NOUN	req-agree	NA
comp:pred,AUX,NOUN	req-agree	req-agree
appos,PRON,NOUN	req-agree	req-agree
udep,ADJ,NUM	NA	req-agree
mod@relcl,PROPN,VERB	req-agree	NA
flat@foreign,NOUN,NOUN	NA	req-agree
subj,NOUN,PROPN	NA	req-agree
comp:aux@pass,AUX,ADJ	req-agree	req-agree
det,VERB,DET	req-agree	req-agree
subj,VERB,VERB	req-agree	req-agree
subj,PROPN,NOUN	req-agree	req-agree
conj,VERB,PROPN	req-agree	req-agree
conj,PROPN,PROPN	req-agree	NA
list,ADJ,PROPN	req-agree	NA
list,ADJ,ADJ	req-agree	req-agree
conj,NOUN,NUM	NA	req-agree
conj,NUM,NOUN	NA	req-agree
mod@relcl,NOUN,AUX	NA	NA
udep,AUX,ADJ	req-agree	req-agree
parataxis,VERB,AUX	NA	NA
comp:obl@agent,VERB,NOUN	NA	NA
flat@foreign,PROPN,ADJ	req-agree	NA
flat@foreign,PROPN,NOUN	NA	NA
flat@name,PROPN,NOUN	NA	req-agree
list,PROPN,ADJ	req-agree	req-agree
udep,VERB,NOUN	NA	NA
subj,ADJ,PRON	req-agree	req-agree
subj@pass,VERB,NOUN	req-agree	req-agree
subj@pass,AUX,PRON	req-agree	req-agree
conj,ADJ,NUM	req-agree	req-agree
conj,NUM,ADJ	req-agree	req-agree
mod,PROPN,NOUN	NA	NA
appos,PROPN,PROPN	req-agree	req-agree
parataxis,ADJ,VERB	NA	NA
comp:pred,VERB,PROPN	req-agree	req-agree
mod,ADJ,PRON	NA	req-agree
comp:obj,PRON,VERB	NA	req-agree
conj,VERB,NOUN	NA	req-agree
comp:pred,AUX,ADJ	req-agree	req-agree
subj,NUM,PROPN	req-agree	req-agree
unk@fixed,DET,NOUN	req-agree	req-agree
subj@pass,AUX,ADJ	req-agree	req-agree
