rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
mod,NOUN,PROPN	NA	NA
unk,NOUN,NOUN	NA	NA
subj,VERB,DET	req-agree	NA
mod,NOUN,VERB	req-agree	NA
comp:aux@pass,AUX,ADJ	req-agree	req-agree
subj@pass,AUX,NOUN	req-agree	NA
mod,DET,AUX	NA	NA
comp:obl@agent,ADJ,NOUN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
unk,VERB,NOUN	NA	NA
comp:obj,ADJ,NOUN	NA	NA
flat,PROPN,PROPN	req-agree	req-agree
appos,PROPN,NOUN	req-agree	NA
appos,NOUN,NOUN	req-agree	NA
mod,PROPN,NOUN	req-agree	NA
subj,VERB,NOUN	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
conj,ADJ,VERB	req-agree	NA
subj@pass,VERB,NOUN	NA	NA
mod,PROPN,PROPN	req-agree	NA
det,NOUN,DET	req-agree	NA
comp:obl,VERB,NOUN	NA	NA
mod,NOUN,NUM	req-agree	NA
comp:pred,NOUN,ADJ	req-agree	NA
udep,VERB,NOUN	NA	NA
subj,VERB,PRON	req-agree	NA
conj,VERB,VERB	req-agree	NA
udep,VERB,PRON	NA	NA
mod,DET,ADJ	req-agree	NA
comp:obj,VERB,PRON	NA	NA
udep,AUX,NOUN	req-agree	NA
comp:obj,NOUN,NOUN	NA	NA
subj,AUX,DET	req-agree	NA
comp:pred,AUX,ADJ	req-agree	NA
unk,PROPN,PROPN	req-agree	NA
udep,ADJ,NUM	NA	NA
comp:obj,VERB,DET	NA	NA
conj,NOUN,DET	req-agree	NA
mod,DET,VERB	req-agree	NA
mod,PROPN,ADJ	req-agree	req-agree
subj,VERB,PROPN	req-agree	NA
comp:pred,AUX,NOUN	req-agree	NA
comp:obl,VERB,DET	NA	NA
appos,DET,NOUN	req-agree	NA
flat,NOUN,PROPN	req-agree	req-agree
conj,DET,ADJ	req-agree	NA
conj,PROPN,PROPN	req-agree	NA
comp:obj,VERB,PROPN	req-agree	NA
mod,NOUN,DET	NA	NA
subj,AUX,NOUN	req-agree	NA
orphan,NOUN,NOUN	NA	NA
conj,PROPN,NOUN	req-agree	NA
