rel,head-pos,child-pos	tree-label	gold-label
subj,NOUN,NOUN	NA	NA
mod,NOUN,ADJ	NA	req-agree
mod,NOUN,NOUN	NA	NA
unk@expl,NOUN,PRON	NA	req-agree
conj,NOUN,NOUN	NA	NA
det,NOUN,DET	NA	req-agree
subj,VERB,NOUN	NA	req-agree
comp:obj,VERB,NOUN	NA	NA
subj,VERB,PRON	NA	req-agree
parataxis,VERB,VERB	NA	NA
subj,VERB,DET	NA	req-agree
mod@relcl,NOUN,VERB	NA	NA
comp:obj,VERB,PRON	NA	NA
comp:obj,VERB,VERB	NA	NA
comp:obl,VERB,PRON	NA	NA
comp:pred@sp,VERB,NOUN	NA	NA
udep,AUX,NOUN	NA	NA
mod,NOUN,PROPN	NA	NA
mod@sp,VERB,ADJ	NA	req-agree
subj,VERB,PROPN	NA	req-agree
flat@name,PROPN,PROPN	NA	req-agree
udep,VERB,DET	NA	NA
subj,NOUN,PRON	NA	NA
parataxis,VERB,NOUN	NA	NA
conj,PROPN,PROPN	NA	NA
vocative,VERB,NOUN	NA	NA
comp:obj,ADJ,DET	NA	req-agree
mod@relcl,DET,VERB	NA	NA
appos,NOUN,ADJ	NA	NA
conj,ADJ,ADJ	NA	req-agree
parataxis,VERB,ADJ	NA	NA
subj,ADJ,NOUN	NA	req-agree
appos,PRON,PROPN	NA	NA
conj,PROPN,NOUN	NA	NA
conj,NOUN,PROPN	NA	NA
mod,PROPN,ADJ	NA	req-agree
mod,NOUN,PRON	NA	NA
det,PRON,DET	NA	req-agree
comp:obj,VERB,PROPN	NA	NA
appos,PROPN,NOUN	NA	NA
subj,AUX,PRON	NA	req-agree
comp:pred,AUX,NOUN	NA	NA
udep,VERB,PRON	NA	NA
comp:obj,PRON,PRON	NA	req-agree
conj,VERB,VERB	NA	NA
udep,VERB,NOUN	NA	NA
mod,NOUN,DET	NA	NA
udep,ADJ,PROPN	NA	NA
appos,NOUN,NOUN	NA	NA
comp:pred,AUX,PRON	NA	req-agree
parataxis,PRON,AUX	NA	req-agree
subj,AUX,NOUN	NA	NA
conj,VERB,AUX	NA	req-agree
comp:pred,AUX,ADJ	NA	req-agree
flat@title,NOUN,NOUN	NA	NA
flat@title,NOUN,PROPN	NA	req-agree
compound,NOUN,NOUN	NA	NA
udep,ADJ,PRON	NA	NA
comp:obj,ADJ,NOUN	NA	NA
compound,ADJ,NOUN	NA	NA
udep,ADJ,NOUN	NA	NA
conj,NOUN,ADJ	NA	NA
conj,DET,ADJ	NA	req-agree
comp:obl,VERB,NOUN	NA	NA
comp:obj,VERB,DET	NA	NA
conj,PRON,PRON	NA	req-agree
comp:obj,ADJ,PRON	NA	NA
mod@det,ADJ,DET	NA	req-agree
conj,ADJ,VERB	NA	req-agree
conj,ADJ,DET	NA	NA
parataxis@rel,ADJ,VERB	NA	req-agree
mod,NOUN,NUM	NA	NA
goeswith,NUM,ADJ	NA	NA
mod,VERB,VERB	NA	NA
mod,AUX,VERB	NA	req-agree
parataxis,NOUN,AUX	NA	NA
flat@title,NOUN,VERB	NA	NA
conj,DET,DET	NA	req-agree
subj,ADJ,PRON	NA	req-agree
mod,NOUN,VERB	NA	NA
orphan,NOUN,NOUN	NA	NA
