rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
mod,NOUN,NUM	req-agree	req-agree
det,ADJ,DET	req-agree	req-agree
conj,NOUN,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
comp:obj,VERB,NOUN	NA	NA
udep,VERB,NOUN	NA	NA
conj,PRON,NOUN	NA	NA
comp:aux,AUX,VERB	NA	NA
appos,NOUN,NOUN	NA	NA
appos,DET,NOUN	NA	NA
mod,DET,NUM	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
comp:obj,VERB,ADJ	req-agree	NA
det,DET,DET	req-agree	req-agree
mod,DET,NOUN	NA	NA
appos,NOUN,PRON	req-agree	NA
mod,VERB,DET	NA	NA
subj,VERB,NOUN	req-agree	req-agree
mod,DET,ADJ	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
mod,ADJ,ADJ	req-agree	req-agree
conj,VERB,VERB	req-agree	req-agree
comp:obj,ADJ,NUM	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
comp:pred,AUX,ADJ	NA	NA
det,VERB,DET	req-agree	NA
mod,NUM,PRON	req-agree	req-agree
conj,PRON,PRON	req-agree	req-agree
comp:obj,ADJ,NOUN	NA	NA
mod,ADJ,PRON	req-agree	req-agree
comp:obl,VERB,ADJ	req-agree	req-agree
appos,NUM,NOUN	NA	NA
compound,DET,DET	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
comp:obl,VERB,NOUN	NA	req-agree
comp:pred,AUX,PRON	NA	NA
comp:pred,VERB,ADJ	req-agree	req-agree
subj,ADJ,NOUN	req-agree	req-agree
mod,ADJ,DET	NA	req-agree
mod,NOUN,PRON	req-agree	req-agree
appos,NOUN,ADJ	req-agree	req-agree
comp:pred,DET,NOUN	NA	NA
appos,PRON,PRON	req-agree	req-agree
unk,NOUN,PRON	req-agree	req-agree
comp:pred,AUX,NOUN	NA	NA
conj,NOUN,PRON	req-agree	req-agree
comp:obj,NOUN,ADJ	req-agree	NA
conj,VERB,ADJ	req-agree	NA
orphan,NOUN,NOUN	NA	req-agree
comp:obj,AUX,NOUN	NA	NA
comp:obj,PRON,NOUN	NA	NA
mod,NUM,ADJ	req-agree	req-agree
comp:obj,NOUN,NOUN	NA	req-agree
conj,NOUN,NUM	req-agree	NA
mod,PRON,NOUN	NA	NA
